Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllabl,TargetSyl,PositionSource,Position Target,Process,TargetOrthography,Translation,Reference,Notes
Angolar,viˈnagi,viˈnagɾɨ,viˈ.na.gi,viˈ.na.gɾɨ,na,na,2,2,,vinagre,vinegar,Bandeira2017[366-412],
Angolar,viˈnagi,viˈnagɾɨ,viˈ.na.gi,viˈ.na.gɾɨ,gi,gɾɨ,3,3,,vinagre,vinegar,Bandeira2017[366-412],
Angolar,ˈkɔkɔ,ˈkoɾnu,ˈkɔ.kɔ,ˈkoɾ.nu,ˈkɔ,ˈkoɾ,1,1,,corno,horn,Bandeira2017[366-412],
Angolar,ˈkɔkɔ,ˈkoɾnu,ˈkɔ.kɔ,ˈkoɾ.nu,kɔ,nu,2,2,,corno,horn,Bandeira2017[366-412],
Angolar,ˈbɛgɐ,bɐˈʀigɐ,ˈbɛ.gɐ,bɐˈ.ʀi.gɐ,ˈbɛ,bɐˈ,1,1,,barriga,belly,Bandeira2017[366-412],
Angolar,ˈbɛgɐ,bɐˈʀigɐ,ˈbɛ.gɐ,bɐˈ.ʀi.gɐ,-,ʀi,-,2,,barriga,belly,Bandeira2017[366-412],
Angolar,ˈbɛgɐ,bɐˈʀigɐ,ˈbɛ.gɐ,bɐˈ.ʀi.gɐ,gɐ,gɐ,2,3,,barriga,belly,Bandeira2017[366-412],
Angolar,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.ɡɐ.du,ˈfi,ˈfi,1,1,,fígado,liver,Bandeira2017[366-412],
Angolar,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.ɡɐ.du,ga,ɡɐ,2,2,,fígado,liver,Bandeira2017[366-412],
Angolar,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.ɡɐ.du,du,du,3,3,,fígado,liver,Bandeira2017[366-412],
Angolar,kaˈbelu,kɐˈbelu,kaˈ.be.lu,kɐˈ.belu,kaˈ,kɐˈ,1,1,,cabelo,hair,Bandeira2017[366-412],
Angolar,kaˈbelu,kɐˈbelu,kaˈ.be.lu,kɐˈ.belu,be,be,2,2,,cabelo,hair,Bandeira2017[366-412],
Angolar,kaˈbelu,kɐˈbelu,kaˈ.be.lu,kɐˈ.belu,lu,lu,3,3,,cabelo,hair,Bandeira2017[366-412],
Angolar,ˈnte,ˈfɾõtɨ,ˈn.te,ˈfɾõ.tɨ,ˈn,ˈfɾõ,1,1,,fronte,head,Bandeira2017[366-412],
Angolar,ˈnte,ˈfɾõtɨ,ˈn.te,ˈfɾõ.tɨ,te,tɨ,2,2,,fronte,head,Bandeira2017[366-412],
Angolar,kɔˈθɔ,kuɾɐˈsɐ̃w̃,kɔ.ˈθɔ,ku.ɾɐ.ˈsɐ̃w̃,kɔ,ku,1,1,,coração,heart,Bandeira2017[366-412],
Angolar,kɔˈθɔ,kuɾɐˈsɐ̃w̃,kɔ.ˈθɔ,ku.ɾɐ.ˈsɐ̃w̃,-,ɾɐ,-,2,,coração,heart,Bandeira2017[366-412],
Angolar,kɔˈθɔ,kuɾɐˈsɐ̃w̃,kɔ.ˈθɔ,ku.ɾɐ.ˈsɐ̃w̃,ˈθɔ,ˈsɐ̃w̃,2,3,,coração,heart,Bandeira2017[366-412],
Angolar,kuˈpi,ˈkuʃpu,kuˈ.pi,ˈkuʃ.pu,kuˈ,ˈkuʃ,1,1,,cuspo,spit,Bandeira2017[366-412],
Angolar,kuˈpi,ˈkuʃpu,kuˈ.pi,ˈkuʃ.pu,pi,pu,2,2,,cuspo,spit,Bandeira2017[366-412],
Angolar,ˈlũga,ˈlĩɡuɐ,ˈlũ.ga,ˈlĩ.ɡuɐ,ˈlũ,ˈlĩ,1,1,,língua,tongue,Bandeira2017[366-412],
Angolar,ˈlũga,ˈlĩɡuɐ,ˈlũ.ga,ˈlĩ.ɡuɐ,ga,ɡuɐ,2,2,,língua,tongue,Bandeira2017[366-412],
Angolar,ˈmo,ˈmɐ̃w̃,ˈmo,ˈmɐ̃w̃,ˈmo,ˈmɐ̃w̃,1,1,,mão,hand,Bandeira2017[366-412],
Angolar,ˈθɐ̃gɪ,ˈsɐ̃ɡɨ,ˈθɐ̃.gɪ,ˈsɐ̃.ɡɨ,ˈθɐ̃,ˈsɐ̃,1,1,,sangue,blood,Bandeira2017[366-412],
Angolar,ˈθɐ̃gɪ,ˈsɐ̃ɡɨ,ˈθɐ̃.gɪ,ˈsɐ̃.ɡɨ,gɪ,ɡɨ,2,2,,sangue,blood,Bandeira2017[366-412],
Angolar,kaˈθo,kɐˈʃoʀu,kaˈ.θo,kɐ.ˈʃo.ʀu,kaˈ,kɐ,1,1,,cachorro,dog,Bandeira2017[366-412],
Angolar,kaˈθo,kɐˈʃoʀu,kaˈ.θo,kɐ.ˈʃo.ʀu,θo,ˈʃo,2,2,,cachorro,dog,Bandeira2017[366-412],
Angolar,kaˈθo,kɐˈʃoʀu,kaˈ.θo,kɐ.ˈʃo.ʀu,-,ʀu,3,3,,cachorro,dog,Bandeira2017[366-412],
Angolar,ˈkabɐ,ˈkabɾɐ,ˈka.bɐ,ˈka.bɾɐ,ˈka,ˈka,1,1,,cabra,goat,Bandeira2017[366-412],
