Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,Source word length,TargetWord length,SourceWordSyl length,TargetWordSyl length,Word diff,Word bigger,Syll diff,SylNum bigger,TargetOrthography,Translation,Reference,Notes
Kannur,kunsɛ,kuɲɨseɾ,kun'sɛ,ku'ɲɨˈseɾ,5,7,2,3,-2,Target,-1,Target,conhecer,know,Clements2012[37-41],
Kannur,sabɛ,sɐbeɾ,sa'bɛ,sɐˈbeɾ,4,5,2,2,-1,Target,0,Equal,saber,know,Clements2012[37-41],
Kannur,ɾihɛ,ʁiɾ,ɾi'hɛ,ʁiɾ,4,3,2,1,1,Source,1,Source,rir,laugh,Clements2012[37-41],
Kannur,ɾiɛ,ʁiɾ,ɾi'ɛ,ʁiɾ,3,3,2,1,0,Equal,1,Source,rir,laugh,Clements2012[37-41],
Kannur,fɔʎə,foʎɐ,fɔ'ʎə,ˈfoʎɐ,4,4,2,2,0,Equal,0,Equal,folha,leaf,Clements2012[37-41],
Kannur,left, ʃkeɾdɐ,left, ʃˈkeɾ'dɐ,4,7,1,3,-3,Target,-2,Target,à esquerda,leftside,Clements2012[37-41],English origin
Kannur,pɛ,peɾnɐ ,pɛ,ˈpeɾnɐ ,2,6,1,2,-4,Target,-1,Target,perna,leg,Clements2012[37-41],
Kannur,dɛtɛ, dɐjtadu ,dɛ'tɛ, dɐjˈta'du ,4,9,2,3,-5,Target,-1,Target,estar deitado,lie,Clements2012[37-41],
Kannur,liveɾ,figɐdu ,li'veɾ,ˈfigɐ'du ,5,7,2,3,-2,Target,-1,Target,,liver,Clements2012[37-41],English origin
Kannur,kumpɾidə,kõpɾidu,kum'pɾi'də,kõˈpɾi'du,8,8,3,3,0,Equal,0,Equal,comprido,long,Clements2012[37-41],
Kannur,pioji, pioʎu,pio'ji, piˈo'ʎu,5,6,2,3,-1,Target,-1,Target,piolho,louse,Clements2012[37-41],
Kannur,ɔmi,omɐ̃j,ɔ'mi,ˈomɐ̃j,3,5,2,2,-2,Target,0,Equal,homem,man,Clements2012[37-41],
Kannur,bəstantə,mũjtuʃ,bəs'tan'tə,ˈmũjtuʃ,8,7,3,2,1,Source,1,Source,muitos,many,Clements2012[37-41],Not cognates
Kannur,kaɾni,kaɾnɨ,kaɾ'ni,ˈkaɾnɨ,5,5,2,2,0,Equal,0,Equal,carne,meat,Clements2012[37-41],
Kannur,luʋaɾə,luaɾ,lu'ʋa'ɾə,luˈaɾ,6,4,3,2,2,Source,1,Source,luar,moonlight,Clements2012[37-41],
Kannur,luʋə,luɐ,luʋ'ə,luɐ,4,3,2,1,1,Source,1,Source,lua,moon,Clements2012[37-41],
Kannur,maj,mɐ̃j̃,maj,mɐ̃j̃,3,5,1,1,-2,Target,0,Equal,mãe,mother,Clements2012[37-41],
Kannur,montaɲə,mõtɐɲɐ,mon'ta'ɲə,mõˈtɐ'ɲɐ,7,7,3,3,0,Equal,0,Equal,montanha,mountain,Clements2012[37-41],
Kannur,bɔkə,bokɐ ,bɔ'kə,ˈbokɐ ,4,5,2,2,-1,Target,0,Equal,boca,mouth,Clements2012[37-41],
Kannur,,nomɨ,nɔ'mi,ˈnomɨ,0,4,6,2,-4,Target,4,Source,nome,name,Clements2012[37-41],
Kannur,idungija,ʃtɾɐjtu,i'dun'gija,ʃˈtɾɐj'tu,8,7,3,3,1,Source,0,Equal,estreito,narrow,Clements2012[37-41],Malayam origin
Kannur,pɛɾtə,peɾtu ,pɛɾ'tə,ˈpeɾtu ,5,6,2,2,-1,Target,0,Equal,perto,near,Clements2012[37-41],
Kannur,piskos,pɨʃkosu,pis'kos,pɨʃˈko'su,6,7,2,3,-1,Target,-1,Target,pescoço,neck,Clements2012[37-41],
Kannur,gaɾgantə,gɐɾgãtɐ,gaɾ'gan'tə,gɐɾˈgã'tɐ,8,7,3,3,1,Source,0,Equal,garganta,throat,Clements2012[37-41],
Kannur,gaɾgæntə,gɐɾgãtɐ,gaɾ'gæn'tə,gɐɾˈgã'tɐ,8,7,3,3,1,Source,0,Equal,garganta,throat,Clements2012[37-41],
Kannur,nɔʋə,novu ,nɔ'ʋə,ˈnovu ,4,5,2,2,-1,Target,0,Equal,novo,new,Clements2012[37-41],
Kannur,nojti,nojtɨ ,noj'ti,ˈnojtɨ ,5,6,2,2,-1,Target,0,Equal,noite,night,Clements2012[37-41],
Kannur,naɾis,nɐɾiʒ,na'ɾis,nɐˈɾiʒ,5,5,2,2,0,Equal,0,Equal,nariz,nose,Clements2012[37-41],
Kannur,na,nɐ̃w,na,nɐ̃w,2,4,1,1,-2,Target,0,Equal,não,not,Clements2012[37-41],
Kannur,nu,nɐ̃w,nu,nɐ̃w,2,4,1,1,-2,Target,0,Equal,não,not,Clements2012[37-41],
Kannur,ʋæli,veʎu,ʋæ'li,ˈveʎu,4,4,2,2,0,Equal,0,Equal,velho,old,Clements2012[37-41],
Kannur,ʋeliz,vɨʎisɨ,ʋe'liz,vɨˈʎi'sɨ,5,6,2,3,-1,Target,-1,Target,velhice,old age,Clements2012[37-41],
Kannur,uŋa,ũ ,u'ŋa,ũ ,3,3,2,1,0,Equal,1,Source,um,one,Clements2012[37-41],
Kannur,dusɾɛ,otɾu,dus'ɾɛ,ˈotɾu,5,4,2,2,1,Source,0,Equal,,other,Clements2012[37-41],
Kannur,otɾə,otɾu,o'tɾə,ˈotɾu,4,4,2,2,0,Equal,0,Equal,outro,other,Clements2012[37-41],
Kannur,peso,pɨsoɐ ,pe'so,pɨˈso'ɐ ,4,6,2,3,-2,Target,-1,Target,pessoa,person,Clements2012[37-41],
Kannur,bɾinkə,bɾĩkaɾ,bɾin'kə,bɾĩˈkaɾ,6,7,2,2,-1,Target,0,Equal,brincar,play,Clements2012[37-41],
Kannur,pwisɛ,puʃaɾ,pwi'sɛ,puˈʃaɾ,5,5,2,2,0,Equal,0,Equal,puxar,pull,Clements2012[37-41],
Kannur,puʃɛ,ẽpuʁaɾ,pu'ʃɛ,ẽ'puˈʁaɾ,4,7,2,3,-3,Target,-1,Target,empurrar,push,Clements2012[37-41],not cognates. May come from english “push”
Kannur,t̠ʃuʋə,ʃuvɐ,t̠ʃu'ʋə,ˈʃuvɐ,4,4,2,2,0,Equal,0,Equal,chuva,rain,Clements2012[37-41],
Kannur,bɾəmɛl,vɨɾmɐjʎu,bɾə'mɛl,vɨɾˈmɐj'ʎu,6,8,2,3,-2,Target,-1,Target,vermelho,red,Clements2012[37-41],
Kannur,d̠ʒustə,ʒuʃtu,d̠ʒus'tə,ˈʒuʃtu,5,5,2,2,0,Equal,0,Equal,justo,correct,Clements2012[37-41],
Kannur,ɾightside,à diɾɐjtɐ,ɾight'side,à' diˈɾɐj'tɐ,9,9,2,4,0,Equal,-2,Target,à direita,rightside,Clements2012[37-41],English origin
Kannur,ɾivəɾ,ʁibɐjɾu,ɾi'vəɾ,ʁiˈbɐj'ɾu,5,7,2,3,-2,Target,-1,Target,ribeiro,river,Clements2012[37-41],English origin
Kannur,kamiɲə,kɐmiɲu,ka'mi'ɲə,kɐˈmi'ɲu,6,6,3,3,0,Equal,0,Equal,caminho,road,Clements2012[37-41],
Kannur,ɾoot,ʁɐiʃ ,ɾoot,ʁɐˈiʃ ,4,5,1,2,-1,Target,-1,Target,raiz,root,Clements2012[37-41],English origin
Kannur,kɔɾdə,kɔɾdɐ,kɔɾ'də,ˈkɔɾdɐ,5,5,2,2,0,Equal,0,Equal,corda,rope,Clements2012[37-41],
Kannur,apodɾə,podɾɨ ,a'po'dɾə,ˈpodɾɨ ,6,6,3,2,0,Equal,1,Source,podre,rotten,Clements2012[37-41],
Kannur,podɾid,podɾɨ ,po'dɾi'd,ˈpodɾɨ ,6,6,3,2,0,Equal,1,Source,podre,rotten,Clements2012[37-41],
Kannur,ɾɛdondə,ʁɨdõdu,ɾɛ'don'də,ʁɨˈdõ'du,7,7,3,3,0,Equal,0,Equal,redondo,round,Clements2012[37-41],
Kannur,ɾub,ʃfɾɨgaɾ,ɾub,ʃ'fɾɨˈgaɾ,3,7,1,3,-4,Target,-2,Target,esfregar,rub,Clements2012[37-41],English origin
Kannur,sal,sal,sal,sal,3,3,1,1,0,Equal,0,Equal,sal,salt,Clements2012[37-41],
Kannur,baʀə,baʁu ,ba'ʀə,ba'ʁu ,4,5,2,2,-1,Target,0,Equal,areia,sand,Clements2012[37-41],
Kannur,fala,fɐlaɾ,fa'la,fɐˈlaɾ,4,5,2,2,-1,Target,0,Equal,falar,say,Clements2012[37-41],
Kannur,ɾaɲæ,aʁɐɲaɾ,ɾa'ɲæ,a'ʁɐˈɲaɾ,4,6,2,3,-2,Target,-1,Target,arranhar,scratch,Clements2012[37-41],
Kannur,ɾaspɛ,ʁɐʃpaɾ,ɾas'pɛ,ʁɐʃˈpaɾ,5,6,2,2,-1,Target,0,Equal,raspar,scratch,Clements2012[37-41],
Kannur,maɾə,maɾ,ma'ɾə,maɾ,4,3,2,1,1,Source,1,Source,mar,sea,Clements2012[37-41],
Kannur,paɾsɛ,pɐɾɨseɾ,paɾ'sɛ,pɐ'ɾɨˈseɾ,5,7,2,3,-2,Target,-1,Target,parecer,see,Clements2012[37-41],
Kannur,fɾujtɛ,fɾutɐ,fɾuj'tɛ,ˈfɾutɐ,6,5,2,2,1,Source,0,Equal,fruita,seed,Clements2012[37-41],
Kannur,kuze,kuzeɾ,ku'ze,kuˈzeɾ,4,5,2,2,-1,Target,0,Equal,coser,sew,Clements2012[37-41],
Kannur,agud,ɐgudu ,a'gud,ɐˈgu'du ,4,6,2,3,-2,Target,-1,Target,agudo,sharp,Clements2012[37-41],
Kannur,kuɾtə,kuɾtu,kuɾ'tə,ˈkuɾtu,5,5,2,2,0,Equal,0,Equal,curto,short,Clements2012[37-41],
Kannur,kantɛ,kɐ̃taɾ,kan'tɛ,kɐ̃ˈtaɾ,5,6,2,2,-1,Target,0,Equal,cantar,sing,Clements2012[37-41],
Kannur,santɛ,sẽtaɾ,san'tɛ,sẽˈtaɾ,5,6,2,2,-1,Target,0,Equal,sentar,sit,Clements2012[37-41],
Kannur,pæli,peɫɨ,pæ'li,ˈpeɫɨ,4,4,2,2,0,Equal,0,Equal,pele,skin,Clements2012[37-41],
Kannur,heaven,sɛw ,he'aven,sɛw ,6,4,2,1,2,Source,1,Source,,sky,Clements2012[37-41],English origin
