Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Papia Kristang,alguˈdaŋ,alguˈdɐ̃w̃,al.gu.ˈdaŋ,al.gu.ˈdɐ̃w̃,al,al,1,1,,algodão,cotton,Baxter1990[7-21],
Papia Kristang,alguˈdaŋ,alguˈdɐ̃w̃,al.gu.ˈdaŋ,al.gu.ˈdɐ̃w̃,gu,gu,2,2,,algodão,cotton,Baxter1990[7-21],
Papia Kristang,alguˈdaŋ,alguˈdɐ̃w̃,al.gu.ˈdaŋ,al.gu.ˈdɐ̃w̃,ˈdaŋ,ˈdɐ̃w̃,3,3,,algodão,cotton,Baxter1990[7-21],
Papia Kristang,ˈsuzu,ˈsuʒu,ˈsu.zu,ˈsu.ʒu,ˈsu,ˈsu,1,1,,sujo,dirty,Baxter1990[7-21],
Papia Kristang,ˈsuzu,ˈsuʒu,ˈsu.zu,ˈsu.ʒu,zu,ʒu,2,2,,sujo,dirty,Baxter1990[7-21],
Papia Kristang,faj,fɐˈzeɾ,faj,fɐ.ˈzeɾ,faj,fɐ,1,1,,fazer,do,Baxter1990[7-21],
Papia Kristang,faj,fɐˈzeɾ,faj,fɐ.ˈzeɾ,-,ˈzeɾ,-,2,,fazer,do,Baxter1990[7-21],
Papia Kristang,kat̠ʃˈoru,kɐˈʃoʀu,ka.t̠ʃˈo.ru,kɐ.ˈʃo.ʀu,ka,kɐ,1,1,,cachorro,dog,Baxter1990[7-21],
Papia Kristang,kat̠ʃˈoru,kɐˈʃoʀu,ka.t̠ʃˈo.ru,kɐ.ˈʃo.ʀu,t̠ʃˈo,ˈʃo,2,2,,cachorro,dog,Baxter1990[7-21],
Papia Kristang,kat̠ʃˈoru,kɐˈʃoʀu,ka.t̠ʃˈo.ru,kɐ.ˈʃo.ʀu,ru,ʀu,3,3,,cachorro,dog,Baxter1990[7-21],
Papia Kristang,beˈbe,bɨˈbeɾ,be.ˈbe,bɨ.ˈbeɾ,be,bɨ,1,1,,beber,drink,Baxter2004,
