Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,TargetOrthography,Translation,Reference,Notes,SourceWordLenght,"
TargetWordLenght",SourceWordSyl,TargetWordSyl,WordDiff,WordBigger,SyllDiff,SylBigger
Papia Kristang,nˈte,nɐ̃w̃ˈtɐ̃j̃,n.ˈte,nɐ̃w̃.ˈtɐ̃j̃,não tem,not have,Baxter1990[7-21],,3,8,2,2,-5,Target,0,Equal
Papia Kristang,aˈzeti,ɐˈzɐjtɨ,a.ˈze.ti,ɐ.ˈzɐj.tɨ,azeite,oil,Baxter1990[7-21],,5,6,3,3,-1,Target,0,Equal
Papia Kristang,ˈɔ:tu,ˈotɾu,ˈɔ:.tu,ˈo.tɾu,outro,other,Baxter1990[7-21],,4,4,2,2,0,Equal,0,Equal
Papia Kristang,d̠ʒenti,ˈʒẽtɨ,ˈd̠ʒen.ti,ˈʒẽ.tɨ,gente,person,Baxter1990[7-21],,5,5,3,2,0,Equal,1,Source
Papia Kristang,boˈta,buˈtaɾ,bo.ˈta,bu.ˈtaɾ,botar,put,Baxter1990[7-21],,4,5,2,2,-1,Target,0,Equal
Papia Kristang,ˈt̠ʃua,ˈʃuvɐ,ˈt̠ʃu.a,ˈʃu.vɐ,chuva,rain,Baxter1990[7-21],,3,4,2,2,-1,Target,0,Equal
Papia Kristang,bruˈmilu,vɨɾˈmɐjʎu,bru.ˈmi.lu,vɨɾ.ˈmɐj.ʎu,vermelho,red,Baxter2004,,7,8,3,3,-1,Target,0,Equal
Papia Kristang,raˈis,ʀɐˈiʃ,ra.ˈis,ʀɐ.ˈiʃ,raíz,root,Baxter2004,,4,4,2,2,0,Equal,0,Equal
Papia Kristang,aˈria,ɐˈrɐjɐ,a.ˈri.a,ɐ.ˈrɐ.jɐ,areia,sand,Baxter2004,,4,5,3,3,-1,Target,0,Equal
Papia Kristang,faˈla,fɐˈlaɾ,fa.ˈla,fɐ.ˈlaɾ,falar,say,Baxter2004,,4,5,2,2,-1,Target,0,Equal
Papia Kristang,kaˈrosu,kɐˈrosu,ka.ˈro.su,kɐ.ˈro.su,caroço,seed,Baxter2004,,6,6,3,3,0,Equal,0,Equal
Papia Kristang,busˈka,buʃˈkaɾ,bus.ˈka,buʃ.ˈkaɾ,buscar,seek,Baxter1990[7-21],,5,6,2,2,-1,Target,0,Equal
Papia Kristang,ˈpɛli,ˈpɛl,ˈpɛ.li,ˈpɛl,pele,skin,Baxter2004,,4,3,2,1,1,Source,1,Source
Papia Kristang,keˈninu,pɨkɨˈninu,ke.ˈni.nu,pɨ.kɨ.ˈni.nu,pequenino,small,Baxter2004,,6,8,3,4,-2,Target,-1,Target
Papia Kristang,ˈt̠ʃeru,ʃɐjˈɾaɾ,ˈt̠ʃe.ru,ʃɐj.ˈɾaɾ,cheiro,smell,Baxter1990[7-21],,4,6,2,2,-2,Target,0,Equal
Papia Kristang,imˈpɛ,ɐ̃j̃ˈpɛ,im.ˈpɛ,ɐ̃j̃ˈ.pɛ,em pé,stand,Baxter2004,,4,5,2,2,-1,Target,0,Equal
Papia Kristang,ˈstrela,ɨʃˈtɾelɐ,ˈstre.la,ɨʃ.ˈtɾe.lɐ,estrela,star,Baxter2004,,6,7,2,3,-1,Target,-1,Target
Papia Kristang,ˈdali,ˈdaʎɨ,ˈda.li,ˈda.ʎɨ,dá-lhe,strike,Baxter1990[7-21],,4,4,2,2,0,Equal,0,Equal
Papia Kristang,sol,ˈsɔl,sol,ˈsɔl,sol,sun,Baxter2004,,3,3,1,1,0,Equal,0,Equal
Papia Kristang,ˈrabu,ˈʀabu,ˈra.bu,ˈʀa.bu,rabo,tail,Baxter2004,,4,4,2,2,0,Equal,0,Equal
Papia Kristang,ki,kɨ,ki,kɨ,que,that (which),Baxter2004,,2,2,1,1,0,Equal,0,Equal
Papia Kristang,a'keli,ɐ'kelɨ,a.'ke.li,ɐ.'ke.lɨ,aquele,that (yonder),Baxter2004,,6,6,3,3,0,Equal,0,Equal
Papia Kristang,oˈlotu,ˈelɨˈotɾu,o.ˈlo.tu,ˈe.lɨ.ˈo.tɾu,ele outro,they,Baxter1990[7-21],,5,7,3,4,-2,Target,-1,Target
Papia Kristang,ˈisti,ˈeʃtɨ,ˈis.ti,ˈeʃ.tɨ,este,"this, this one",Baxter2004,,4,4,2,2,0,Equal,0,Equal
Papia Kristang,bos,vɔˈse,bos,vɔ.ˈse,você,thou,Baxter1990[7-21],,3,4,1,2,-1,Target,-1,Target
Papia Kristang,pin't̠ʃa,pĩ'ʃaɾ,pin.'t̠ʃa,pĩ.'ʃaɾ,pinchar,throw,Baxter2004,,6,7,2,2,-1,Target,0,Equal
Papia Kristang,maˈra,ɐmɐˈʀaɾ,ma.ˈra,ɐ.mɐ.ˈʀaɾ,amarrar,tie,Baxter1990[7-21],,4,6,2,3,-2,Target,-1,Target
Papia Kristang,ɔzi,ˈoʒɨ,ɔ.zi,ˈo.ʒɨ,hoje,today,Baxter1990[7-21],,3,3,2,2,0,Equal,0,Equal
Papia Kristang,d̠ʒunˈtadu,ʒũˈtadu,d̠ʒun.ˈta.du,ʒũ.ˈta.du,juntado,together,Baxter1990[7-21],,7,7,3,3,0,Equal,0,Equal
Papia Kristang,ˈalbi,ˈaɾvuɾɨ,ˈal.bi,ˈaɾ.vu.ɾɨ,árvore,tree,Baxter2004,,4,6,2,3,-2,Target,-1,Target
Papia Kristang,dos,ˈdojʃ,dos,ˈdojʃ,dois,two,Baxter2004,,3,4,1,1,-1,Target,0,Equal
Papia Kristang,miˈza,miˈʒaɾ,mi.ˈza,mi.ˈʒaɾ,mijar,urinate,Baxter1990[7-21],,4,5,2,2,-1,Target,0,Equal
Papia Kristang,ˈagu,ˈaguɐ,ˈa.gu,ˈa.gu.ɐ,água,water,Baxter2004,,3,4,2,3,-1,Target,-1,Target
Papia Kristang,nus,nɔʃ,nus,nɔʃ,nõs,we,Baxter1990[7-21],,3,3,1,1,0,Equal,0,Equal
Papia Kristang,kɛŋ,kɐ̃j̃,kɛŋ,kɐ̃j̃,quem,who,Baxter2004,,3,4,1,1,-1,Target,0,Equal
Papia Kristang,muˈle,muˈʎɛɾ,mu.ˈle,mu.ˈʎɛɾ,mulher,"woman, wife",Baxter1990[7-21],,4,5,2,2,-1,Target,0,Equal
Papia Kristang,boˈlotu,ˈvɔzˈotɾu,bo.ˈlo.tu,ˈvɔz.ˈo.tɾu,vós outro,you,Baxter1990[7-21],,6,7,3,3,-1,Target,0,Equal
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
Papia Kristang,,,,,,,,,,,,,0,,0,
