Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,Process,SourceSylCount,TargetSylCount,PositionSource,PositionTarget,SimplePositionSource,SimplePositionTarget,PrevSylSource,NextSylSource,TargetOrthography,Translation,Reference,Notes
Papia Kristang,ˈpastu,ˈpasɐɾu,ˈpas.tu,ˈpa.sɐ.ɾu,ˈpas,ˈpa,,2,3,1,1,Initial,Initial,0,-,pássaro,bird,Baxter2004,
Papia Kristang,ˈpastu,ˈpasɐɾu,ˈpas.tu,ˈpa.sɐ.ɾu,-,sɐ,,2,3,-,2,-,Medial,ˈpas,tu,pássaro,bird,Baxter2004,
Papia Kristang,ˈpastu,ˈpasɐɾu,ˈpas.tu,ˈpa.sɐ.ɾu,tu,ɾu,,2,3,2,3,Final,Final,-,2,pássaro,bird,Baxter2004,
Papia Kristang,ˈsaŋgi,ˈsɐ̃gɨ,ˈsaŋ.gi,ˈsɐ̃.gɨ,ˈsaŋ,ˈsɐ̃,,2,2,1,1,Initial,Initial,0,gi,sangue,blood,Baxter2004,
Papia Kristang,ˈsaŋgi,ˈsɐ̃gɨ,ˈsaŋ.gi,ˈsɐ̃.gɨ,gi,gɨ,,2,2,2,2,Final,Final,ˈsaŋ,2,sangue,blood,Baxter2004,
Papia Kristang,ˈosu,ˈosu,ˈo.su,ˈo.su,ˈo,ˈo,,2,2,1,1,Initial,Initial,0,su,osso,bone,Baxter2004,
Papia Kristang,ˈosu,ˈosu,ˈo.su,ˈo.su,su,su,,2,2,2,2,Final,Final,ˈo,2,osso,bone,Baxter2004,
Papia Kristang,ˈbaka,ˈvakɐ,ˈba.ka,ˈva.kɐ,ˈba,ˈva,,2,2,1,1,Initial,Initial,0,ka,vaca,bovine,Baxter1990[7-21],
Papia Kristang,ˈbaka,ˈvakɐ,ˈba.ka,ˈva.kɐ,ka,kɐ,,2,2,2,2,Final,Final,ˈba,2,vaca,bovine,Baxter1990[7-21],
Papia Kristang,kɛˈbra,kɨˈbɾaɾ,kɛ.ˈbra,kɨ.ˈbɾaɾ,kɛ,kɨ,,2,2,1,1,Initial,Initial,0,ˈbra,quebrar,break,Baxter2004,
Papia Kristang,kɛˈbra,kɨˈbɾaɾ,kɛ.ˈbra,kɨ.ˈbɾaɾ,ˈbra,ˈbɾaɾ,,2,2,2,2,Final,Final,kɛ,2,quebrar,break,Baxter2004,
Papia Kristang,ˈpetu,ˈpɐjtu,ˈpe.tu,ˈpɐj.tu,ˈpe,ˈpɐj,,2,2,1,1,Initial,Initial,0,tu,peito,breast,Baxter1990[7-21],
Papia Kristang,ˈpetu,ˈpɐjtu,ˈpe.tu,ˈpɐj.tu,tu,tu,,2,2,2,2,Final,Final,ˈpe,2,peito,breast,Baxter1990[7-21],
Papia Kristang,ˈpusaˈbafu,ˈpuʃɐˈbafu,ˈpu.sa.ˈba.fu,ˈpu.ʃɐ.ˈba.fu,ˈpu,ˈpu,,4,4,1,1,Initial,Initial,0,sa,puxa bafo,breathe,Baxter1990[7-21],
Papia Kristang,ˈpusaˈbafu,ˈpuʃɐˈbafu,ˈpu.sa.ˈba.fu,ˈpu.ʃɐ.ˈba.fu,sa,ʃɐ,,4,4,2,2,Medial,Medial,ˈpu,ˈba,puxa bafo,breathe,Baxter1990[7-21],
Papia Kristang,ˈpusaˈbafu,ˈpuʃɐˈbafu,ˈpu.sa.ˈba.fu,ˈpu.ʃɐ.ˈba.fu,ˈba,ˈba,,4,4,3,3,Medial,Medial,sa,fu,puxa bafo,breathe,Baxter1990[7-21],
Papia Kristang,ˈpusaˈbafu,ˈpuʃɐˈbafu,ˈpu.sa.ˈba.fu,ˈpu.ʃɐ.ˈba.fu,fu,fu,,4,4,4,4,Final,Final,ˈba,4,puxa bafo,breathe,Baxter1990[7-21],
Papia Kristang,ˈpodi,puˈder,ˈpo.di,pu.ˈder,ˈpo,pu,,2,2,1,1,Initial,Initial,0,di,poder,can,Baxter1990[7-21],
Papia Kristang,ˈpodi,puˈder,ˈpo.di,pu.ˈder,di,ˈder,,2,2,2,2,Final,Final,ˈpo,2,poder,can,Baxter1990[7-21],
