Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,Process,SourceSylCount,TargetSylCount,PositionSource,PositionTarget,SimplePositionSource,SimplePositionTarget,PrevSylSource,NextSylSource,TargetOrthography,Translation,Reference,Notes
Papia Kristang,aˈzeti,ɐˈzɐjtɨ,a.ˈze.ti,ɐ.ˈzɐj.tɨ,a,ɐ,,3,3,1,1,Initial,Initial,0,ˈze,azeite,oil,Baxter1990[7-21],
Papia Kristang,aˈzeti,ɐˈzɐjtɨ,a.ˈze.ti,ɐ.ˈzɐj.tɨ,ˈze,ˈzɐj,,3,3,2,2,Medial,Medial,a,ti,azeite,oil,Baxter1990[7-21],
Papia Kristang,aˈzeti,ɐˈzɐjtɨ,a.ˈze.ti,ɐ.ˈzɐj.tɨ,ti,tɨ,,3,3,3,3,Final,Final,ˈze,3,azeite,oil,Baxter1990[7-21],
Papia Kristang,ˈɔ:tu,ˈotɾu,ˈɔ:.tu,ˈo.tɾu,ˈɔ:,ˈo,,2,2,1,1,Initial,Initial,0,tu,outro,other,Baxter1990[7-21],
Papia Kristang,ˈɔ:tu,ˈotɾu,ˈɔ:.tu,ˈo.tɾu,tu,tɾu,,2,2,2,2,Final,Final,ˈɔ:,2,outro,other,Baxter1990[7-21],
Papia Kristang,d̠ʒenti,ˈʒẽtɨ,d̠ʒen.ti,ˈʒẽ.tɨ,d̠ʒen,ˈʒẽ,,2,2,1,1,Initial,Initial,0,ti,gente,person,Baxter1990[7-21],
Papia Kristang,d̠ʒenti,ˈʒẽtɨ,d̠ʒen.ti,ˈʒẽ.tɨ,ti,tɨ,,2,2,2,2,Final,Final,d̠ʒen,2,gente,person,Baxter1990[7-21],
Papia Kristang,boˈta,buˈtaɾ,bo.ˈta,bu.ˈtaɾ,bo,bu,,2,2,1,1,Initial,Initial,0,ˈta,botar,put,Baxter1990[7-21],
Papia Kristang,boˈta,buˈtaɾ,bo.ˈta,bu.ˈtaɾ,ˈta,ˈtaɾ,,2,2,2,2,Final,Final,bo,2,botar,put,Baxter1990[7-21],
Papia Kristang,ˈt̠ʃua,ˈʃuvɐ,ˈt̠ʃu.a,ˈʃu.vɐ,ˈt̠ʃu,ˈʃu,,2,2,1,1,Initial,Initial,0,a,chuva,rain,Baxter1990[7-21],
Papia Kristang,ˈt̠ʃua,ˈʃuvɐ,ˈt̠ʃu.a,ˈʃu.vɐ,a,vɐ,,2,2,2,2,Final,Final,ˈt̠ʃu,2,chuva,rain,Baxter1990[7-21],
Papia Kristang,bruˈmilu,vɨɾˈmɐjʎu,bru.ˈmi.lu,vɨɾ.ˈmɐj.ʎu,bru,vɨɾ,metathesis,3,3,1,1,Initial,Initial,0,ˈmi,vermelho,red,Baxter2004,
Papia Kristang,bruˈmilu,vɨɾˈmɐjʎu,bru.ˈmi.lu,vɨɾ.ˈmɐj.ʎu,ˈmi,ˈmɐj,,3,3,2,2,Medial,Medial,bru,lu,vermelho,red,Baxter2004,
Papia Kristang,bruˈmilu,vɨɾˈmɐjʎu,bru.ˈmi.lu,vɨɾ.ˈmɐj.ʎu,lu,ʎu,,3,3,3,3,Final,Final,ˈmi,3,vermelho,red,Baxter2004,
Papia Kristang,raˈis,ʀɐˈiʃ,ra.ˈis,ʀɐ.ˈiʃ,ra,ʀɐ,,2,2,1,1,Initial,Initial,0,ˈis,raíz,root,Baxter2004,
Papia Kristang,raˈis,ʀɐˈiʃ,ra.ˈis,ʀɐ.ˈiʃ,ˈis,ˈiʃ,,2,2,2,2,Final,Final,ra,2,raíz,root,Baxter2004,
Papia Kristang,aˈria,ɐˈrɐjɐ,a.ˈri.a,ɐ.ˈrɐ.jɐ,a,ɐ,,3,3,1,1,Initial,Initial,0,ˈri,areia,sand,Baxter2004,
Papia Kristang,aˈria,ɐˈrɐjɐ,a.ˈri.a,ɐ.ˈrɐ.jɐ,ˈri,ˈrɐ,,3,3,2,2,Medial,Medial,a,a,areia,sand,Baxter2004,
Papia Kristang,aˈria,ɐˈrɐjɐ,a.ˈri.a,ɐ.ˈrɐ.jɐ,a,jɐ,,3,3,3,3,Final,Final,ˈri,3,areia,sand,Baxter2004,
Papia Kristang,faˈla,fɐˈlaɾ,fa.ˈla,fɐ.ˈlaɾ,fa,fɐ,,2,2,1,1,Initial,Initial,0,ˈla,falar,say,Baxter2004,
Papia Kristang,faˈla,fɐˈlaɾ,fa.ˈla,fɐ.ˈlaɾ,ˈla,ˈlaɾ,,2,2,2,2,Final,Final,fa,2,falar,say,Baxter2004,
Papia Kristang,kaˈrosu,kɐˈrosu,ka.ˈro.su,kɐ.ˈro.su,ka,kɐ,,3,3,1,1,Initial,Initial,0,ˈro,caroço,seed,Baxter2004,
Papia Kristang,kaˈrosu,kɐˈrosu,ka.ˈro.su,kɐ.ˈro.su,ˈro,ˈro,,3,3,2,2,Medial,Medial,ka,su,caroço,seed,Baxter2004,
Papia Kristang,kaˈrosu,kɐˈrosu,ka.ˈro.su,kɐ.ˈro.su,su,su,,3,3,3,3,Final,Final,ˈro,3,caroço,seed,Baxter2004,
Papia Kristang,busˈka,buʃˈkaɾ,bus.ˈka,buʃ.ˈkaɾ,bus,buʃ,,2,2,1,1,Initial,Initial,0,ˈka,buscar,seek,Baxter1990[7-21],
Papia Kristang,busˈka,buʃˈkaɾ,bus.ˈka,buʃ.ˈkaɾ,ˈka,ˈkaɾ,,2,2,2,2,Final,Final,bus,2,buscar,seek,Baxter1990[7-21],
Papia Kristang,ˈpɛli,ˈpɛl,ˈpɛ.li,ˈpɛl,ˈpɛ,ˈpɛl,,2,1,1,1,Initial,Final,0,li,pele,skin,Baxter2004,
Papia Kristang,ˈpɛli,ˈpɛl,ˈpɛ.li,ˈpɛl,li,-,,2,1,2,-,Final,-,ˈpɛ,2,pele,skin,Baxter2004,
Papia Kristang,keˈninu,pɨkɨˈninu,ke.ˈni.nu,pɨ.kɨ.ˈni.nu,-,pɨ,,3,4,-,1,-,Initial,0,ke,pequenino,small,Baxter2004,
Papia Kristang,keˈninu,pɨkɨˈninu,ke.ˈni.nu,pɨ.kɨ.ˈni.nu,ke,kɨ,,3,4,1,2,Initial,Medial,-,ˈni,pequenino,small,Baxter2004,
Papia Kristang,keˈninu,pɨkɨˈninu,ke.ˈni.nu,pɨ.kɨ.ˈni.nu,ˈni,ˈni,,3,4,2,3,Medial,Medial,ke,nu,pequenino,small,Baxter2004,
Papia Kristang,keˈninu,pɨkɨˈninu,ke.ˈni.nu,pɨ.kɨ.ˈni.nu,nu,nu,,3,4,3,4,Final,Final,ˈni,3,pequenino,small,Baxter2004,
Papia Kristang,ˈt̠ʃeru,ʃɐjˈɾaɾ,ˈt̠ʃe.ru,ʃɐj.ˈɾaɾ,ˈt̠ʃe,ʃɐj,,2,2,1,1,Initial,Initial,0,ru,cheiro,smell,Baxter1990[7-21],
Papia Kristang,ˈt̠ʃeru,ʃɐjˈɾaɾ,ˈt̠ʃe.ru,ʃɐj.ˈɾaɾ,ru,ˈɾaɾ,,2,2,2,2,Final,Final,ˈt̠ʃe,2,cheiro,smell,Baxter1990[7-21],
Papia Kristang,imˈpɛ,ɐ̃j̃ˈpɛ,im.ˈpɛ,ɐ̃j̃ˈ.pɛ,im,ɐ̃j̃ˈ,,2,2,1,1,Initial,Initial,0,ˈpɛ,em pé,stand,Baxter2004,
Papia Kristang,imˈpɛ,ɐ̃j̃ˈpɛ,im.ˈpɛ,ɐ̃j̃ˈ.pɛ,ˈpɛ,pɛ,,2,2,2,2,Final,Final,im,2,em pé,stand,Baxter2004,
Papia Kristang,ˈstrela,ɨʃˈtɾelɐ,ˈstre.la,ɨʃ.ˈtɾe.lɐ,-,ɨʃ,,2,3,-,1,-,Initial,0,ˈstre,estrela,star,Baxter2004,
Papia Kristang,ˈstrela,ɨʃˈtɾelɐ,ˈstre.la,ɨʃ.ˈtɾe.lɐ,ˈstre,ˈtɾe,,2,3,1,2,Initial,Medial,-,la,estrela,star,Baxter2004,
Papia Kristang,ˈstrela,ɨʃˈtɾelɐ,ˈstre.la,ɨʃ.ˈtɾe.lɐ,la,lɐ,,2,3,2,3,Final,Final,ˈstre,2,estrela,star,Baxter2004,
Papia Kristang,ˈdali,ˈdaʎɨ,ˈda.li,ˈda.ʎɨ,ˈda,ˈda,,2,2,1,1,Initial,Initial,0,li,dá-lhe,strike,Baxter1990[7-21],
Papia Kristang,ˈdali,ˈdaʎɨ,ˈda.li,ˈda.ʎɨ,li,ʎɨ,,2,2,2,2,Final,Final,ˈda,2,dá-lhe,strike,Baxter1990[7-21],
Papia Kristang,sol,ˈsɔl,sol,ˈsɔl,sol,ˈsɔl,,1,1,1,1,Final,Final,0,1,sol,sun,Baxter2004,
Papia Kristang,ˈrabu,ˈʀabu,ˈra.bu,ˈʀa.bu,ˈra,ˈʀa,,2,2,1,1,Initial,Initial,0,bu,rabo,tail,Baxter2004,
Papia Kristang,ˈrabu,ˈʀabu,ˈra.bu,ˈʀa.bu,bu,bu,,2,2,2,2,Final,Final,ˈra,2,rabo,tail,Baxter2004,
Papia Kristang,ki,kɨ,ki,kɨ,ki,kɨ,,1,1,1,1,Final,Final,0,1,que,that (which),Baxter2004,
Papia Kristang,a'keli,ɐ'kelɨ,a.'ke.li,ɐ.'ke.lɨ,a,ɐ,,3,3,1,1,Initial,Initial,0,ˈke,aquele,that (yonder),Baxter2004,
Papia Kristang,a'keli,ɐ'kelɨ,a.'ke.li,ɐ.'ke.lɨ,ˈke,ˈke,,3,3,2,2,Medial,Medial,a,li,aquele,that (yonder),Baxter2004,
Papia Kristang,a'keli,ɐ'kelɨ,a.'ke.li,ɐ.'ke.lɨ,li,lɨ,,3,3,3,3,Final,Final,ˈke,3,aquele,that (yonder),Baxter2004,
Papia Kristang,oˈlotu,ˈelɨˈotɾu,o.ˈlo.tu,ˈe.lɨ.ˈo.tɾu,o,ˈe,,3,4,1,1,Initial,Initial,0,ˈlo,ele outro,they,Baxter1990[7-21],
Papia Kristang,oˈlotu,ˈelɨˈotɾu,o.ˈlo.tu,ˈe.lɨ.ˈo.tɾu,ˈlo,lɨ,assimilation,3,4,2,2,Medial,Medial,o,-,ele outro,they,Baxter1990[7-21],
Papia Kristang,oˈlotu,ˈelɨˈotɾu,o.ˈlo.tu,ˈe.lɨ.ˈo.tɾu,-,ˈo,,3,4,-,3,-,Medial,ˈlo,tu,ele outro,they,Baxter1990[7-21],
Papia Kristang,oˈlotu,ˈelɨˈotɾu,o.ˈlo.tu,ˈe.lɨ.ˈo.tɾu,tu,tɾu,,3,4,3,4,Final,Final,-,3,ele outro,they,Baxter1990[7-21],
Papia Kristang,ˈisti,ˈeʃtɨ,ˈis.ti,ˈeʃ.tɨ,ˈis,ˈeʃ,,2,2,1,1,Initial,Initial,0,ti,este,"this, this one",Baxter2004,
Papia Kristang,ˈisti,ˈeʃtɨ,ˈis.ti,ˈeʃ.tɨ,ti,tɨ,,2,2,2,2,Final,Final,ˈis,2,este,"this, this one",Baxter2004,
Papia Kristang,bos,vɔˈse,bos,vɔ.ˈse,bos,vɔ,,1,2,1,1,Final,Initial,0,-,você,thou,Baxter1990[7-21],
Papia Kristang,bos,vɔˈse,bos,vɔ.ˈse,-,ˈse,,1,2,-,2,-,Final,bos,1,você,thou,Baxter1990[7-21],
Papia Kristang,pin't̠ʃa,pĩ'ʃaɾ,pin.'t̠ʃa,pĩ.'ʃaɾ,pin,pĩ,,2,2,1,1,Initial,Initial,0,t̠ʃa,pinchar,throw,Baxter2004,
Papia Kristang,pin't̠ʃa,pĩ'ʃaɾ,pin.'t̠ʃa,pĩ.'ʃaɾ,t̠ʃa,ʃaɾ,,2,2,2,2,Final,Final,pin,2,pinchar,throw,Baxter2004,
Papia Kristang,maˈra,ɐmɐˈʀaɾ,ma.ˈra,ɐ.mɐ.ˈʀaɾ,-,ɐ,,2,3,-,1,-,Initial,0,ma,amarrar,tie,Baxter1990[7-21],
Papia Kristang,maˈra,ɐmɐˈʀaɾ,ma.ˈra,ɐ.mɐ.ˈʀaɾ,ma,mɐ,,2,3,1,2,Initial,Medial,-,ˈra,amarrar,tie,Baxter1990[7-21],
Papia Kristang,maˈra,ɐmɐˈʀaɾ,ma.ˈra,ɐ.mɐ.ˈʀaɾ,ˈra,ˈʀaɾ,,2,3,2,3,Final,Final,ma,2,amarrar,tie,Baxter1990[7-21],
Papia Kristang,ɔzi,ˈoʒɨ,ɔ.zi,ˈo.ʒɨ,ɔ,ˈo,,2,2,1,1,Initial,Initial,0,zi,hoje,today,Baxter1990[7-21],
Papia Kristang,ɔzi,ˈoʒɨ,ɔ.zi,ˈo.ʒɨ,zi,ʒɨ,,2,2,2,2,Final,Final,ɔ,2,hoje,today,Baxter1990[7-21],
Papia Kristang,d̠ʒunˈtadu,ʒũˈtadu,d̠ʒun.ˈta.du,ʒũ.ˈta.du,d̠ʒun,ʒũ,,3,3,1,1,Initial,Initial,0,ˈta,juntado,together,Baxter1990[7-21],
Papia Kristang,d̠ʒunˈtadu,ʒũˈtadu,d̠ʒun.ˈta.du,ʒũ.ˈta.du,ˈta,ˈta,,3,3,2,2,Medial,Medial,d̠ʒun,du,juntado,together,Baxter1990[7-21],
Papia Kristang,d̠ʒunˈtadu,ʒũˈtadu,d̠ʒun.ˈta.du,ʒũ.ˈta.du,du,du,,3,3,3,3,Final,Final,ˈta,3,juntado,together,Baxter1990[7-21],
Papia Kristang,ˈalbi,ˈaɾvuɾɨ,ˈal.bi,ˈaɾ.vu.ɾɨ,ˈal,ˈaɾ,,2,3,1,1,Initial,Initial,0,bi,árvore,tree,Baxter2004,
Papia Kristang,ˈalbi,ˈaɾvuɾɨ,ˈal.bi,ˈaɾ.vu.ɾɨ,bi,vu,,2,3,2,2,Final,Medial,ˈal,-,árvore,tree,Baxter2004,
Papia Kristang,ˈalbi,ˈaɾvuɾɨ,ˈal.bi,ˈaɾ.vu.ɾɨ,-,ɾɨ,,2,3,-,3,-,Final,bi,2,árvore,tree,Baxter2004,
Papia Kristang,dos,ˈdojʃ,dos,ˈdojʃ,dos,ˈdojʃ,,1,1,1,1,Final,Final,0,1,dois,two,Baxter2004,
Papia Kristang,miˈza,miˈʒaɾ,mi.ˈza,mi.ˈʒaɾ,mi,mi,,2,2,1,1,Initial,Initial,0,ˈza,mijar,urinate,Baxter1990[7-21],
Papia Kristang,miˈza,miˈʒaɾ,mi.ˈza,mi.ˈʒaɾ,ˈza,ˈʒaɾ,,2,2,2,2,Final,Final,mi,2,mijar,urinate,Baxter1990[7-21],
Papia Kristang,ˈagu,ˈaguɐ,ˈa.gu,ˈa.gu.ɐ,ˈa,ˈa,,2,3,1,1,Initial,Initial,0,gu,água,water,Baxter2004,
Papia Kristang,ˈagu,ˈaguɐ,ˈa.gu,ˈa.gu.ɐ,gu,gu,,2,3,2,2,Final,Medial,ˈa,-,água,water,Baxter2004,
Papia Kristang,ˈagu,ˈaguɐ,ˈa.gu,ˈa.gu.ɐ,-,ɐ,,2,3,-,3,-,Final,gu,2,água,water,Baxter2004,
Papia Kristang,nus,nɔʃ,nus,nɔʃ,nus,nɔʃ,,1,1,1,1,Final,Final,0,1,nõs,we,Baxter1990[7-21],
Papia Kristang,kɛŋ,kɐ̃j̃,kɛŋ,kɐ̃j̃,kɛŋ,kɐ̃j̃,,1,1,1,1,Final,Final,0,1,quem,who,Baxter2004,
Papia Kristang,muˈle,muˈʎɛɾ,mu.ˈle,mu.ˈʎɛɾ,mu,mu,,2,2,1,1,Initial,Initial,0,ˈle,mulher,"woman, wife",Baxter1990[7-21],
Papia Kristang,muˈle,muˈʎɛɾ,mu.ˈle,mu.ˈʎɛɾ,ˈle,ˈʎɛɾ,,2,2,2,2,Final,Final,mu,2,mulher,"woman, wife",Baxter1990[7-21],
Papia Kristang,boˈlotu,ˈvɔzˈotɾu,bo.ˈlo.tu,ˈvɔz.ˈo.tɾu,bo,ˈvɔz,,3,3,1,1,Initial,Initial,0,ˈlo,vós outro,you,Baxter1990[7-21],
Papia Kristang,boˈlotu,ˈvɔzˈotɾu,bo.ˈlo.tu,ˈvɔz.ˈo.tɾu,ˈlo,ˈo,,3,3,2,2,Medial,Medial,bo,tu,vós outro,you,Baxter1990[7-21],
Papia Kristang,boˈlotu,ˈvɔzˈotɾu,bo.ˈlo.tu,ˈvɔz.ˈo.tɾu,tu,tɾu,,3,3,3,3,Final,Final,ˈlo,3,vós outro,you,Baxter1990[7-21],
