Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,PositionSource Simple,PositionTarget Simple,Previous SourceSyllable,Next SourceSyllable,Previous TargetSyllable,Next TargetSyllable,Process,TargetOrthography,Translation,Reference,Notes
Timor Pidgin,ˈkezu,ˈkɐjʒu,ˈke.zu,ˈkɐj.ʒu,zu,ʒu,2,2,2,2,Final,Final,ˈke,2,ˈkɐj,2,,queijo,cheese,Baxter1990[7-21],
Timor Pidgin,ˈsuzu,ˈsuʒu,ˈsu.zu,ˈsu.ʒu,ˈsu,ˈsu,2,2,1,1,Initial,Initial,0,zu,0,ʒu,,sujo,dirty,Baxter1990[7-21],
Timor Pidgin,ˈsuzu,ˈsuʒu,ˈsu.zu,ˈsu.ʒu,zu,ʒu,2,2,2,2,Final,Final,ˈsu,2,ˈsu,2,,sujo,dirty,Baxter1990[7-21],
Timor Pidgin,kaˈreta,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ka,kɐ,3,3,1,1,Initial,Initial,0,ˈre,0,ˈʀe,,carreta,"car, carriage",Baxter1990[7-21],
Timor Pidgin,kaˈreta,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ˈre,ˈʀe,3,3,2,2,Medial,Medial,ka,ta,kɐ,tɐ,,carreta,"car, carriage",Baxter1990[7-21],
Timor Pidgin,kaˈreta,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ta,tɐ,3,3,3,3,Final,Final,ˈre,3,ˈʀe,3,,carreta,"car, carriage",Baxter1990[7-21],
Timor Pidgin,ˈferu,ˈfɛʀu,ˈfe.ru,ˈfɛ.ʀu,ˈfe,ˈfɛ,2,2,1,1,Initial,Initial,0,ru,0,ʀu,,ferro,iron,Baxter1990[7-21],
Timor Pidgin,ˈferu,ˈfɛʀu,ˈfe.ru,ˈfɛ.ʀu,ru,ʀu,2,2,2,2,Final,Final,ˈfe,2,ˈfɛ,2,,ferro,iron,Baxter1990[7-21],
Timor Pidgin,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ba,bɐ,3,3,1,1,Initial,Initial,0,ˈri,0,ˈʀi,,barriga,belly,Baxter1990[7-21],
Timor Pidgin,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ˈri,ˈʀi,3,3,2,2,Medial,Medial,ba,ga,bɐ,gɐ,,barriga,belly,Baxter1990[7-21],
Timor Pidgin,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ga,gɐ,3,3,3,3,Final,Final,ˈri,3,ˈʀi,3,,barriga,belly,Baxter1990[7-21],
Timor Pidgin,ˈɔ:tu,ˈotɾu,ˈɔ:.tu,ˈo.tɾu,ˈɔ:,ˈo,2,2,1,1,Initial,Initial,0,tu,0,tɾu,,outro,other,Baxter1990[7-21],
Timor Pidgin,ˈɔ:tu,ˈotɾu,ˈɔ:.tu,ˈo.tɾu,tu,tɾu,2,2,2,2,Final,Final,ˈɔ:,2,ˈo,2,,outro,other,Baxter1990[7-21],
Timor Pidgin,ˈkransa,kɾiˈɐ̃sɐ,ˈkran.sa,kɾi.ˈɐ̃.sɐ,ˈkran,kɾi,2,3,1,1,Initial,Initial,0,-,0,ˈɐ̃,,criança,child,Baxter1990[7-21],
Timor Pidgin,ˈkransa,kɾiˈɐ̃sɐ,ˈkran.sa,kɾi.ˈɐ̃.sɐ,-,ˈɐ̃,2,3,-,2,-,Medial,ˈkran,sa,kɾi,sɐ,metathesis,criança,child,Baxter1990[7-21],
Timor Pidgin,ˈkransa,kɾiˈɐ̃sɐ,ˈkran.sa,kɾi.ˈɐ̃.sɐ,sa,sɐ,2,3,2,3,Final,Final,-,2,ˈɐ̃,3,,criança,child,Baxter1990[7-21],
Timor Pidgin,ˈεbra,ˈεɾvɐ,ˈε.bra,ˈεɾ.vɐ,ˈε,ˈεɾ,2,2,1,1,Initial,Initial,0,bra,0,vɐ,metathesis,erva,grass,Baxter1990[7-21],
Timor Pidgin,ˈεbra,ˈεɾvɐ,ˈε.bra,ˈεɾ.vɐ,bra,vɐ,2,2,2,2,Final,Final,ˈε,2,ˈεɾ,2,metathesis,erva,grass,Baxter1990[7-21],
Timor Pidgin,ˈbaka,ˈvakɐ,ˈba.ka,ˈva.kɐ,ˈba,ˈva,2,2,1,1,Initial,Initial,0,ka,0,kɐ,,vaca,bovine,Baxter1990[7-21],
