Language,SourceWord,SourceWordCV,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Patua Macau,ˈsuzu,CVCV,ˈsuʒu,ˈsu.zu,ˈsu.ʒu,ˈsu,ˈsu,1,1,assimilation,sujo,dirty,Baxter1990[7-21],
Patua Macau,ˈsuzu,CVCV,ˈsuʒu,ˈsu.zu,ˈsu.ʒu,zu,ʒu,2,2,assimilation,sujo,dirty,Baxter1990[7-21],
Patua Macau,kaˈreta,CVCVCV,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ka,kɐ,1,1,assimilation,carreta,"car, carriage",Baxter1990[7-21],
Patua Macau,kaˈreta,CVCVCV,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ˈre,ˈʀe,2,2,assimilation,carreta,"car, carriage",Baxter1990[7-21],
Patua Macau,kaˈreta,CVCVCV,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ta,tɐ,3,3,assimilation,carreta,"car, carriage",Baxter1990[7-21],
Patua Macau,ˈfero,CVCV,ˈfɛʀu,ˈfe.ro,ˈfɛ.ʀu,ˈfe,ˈfɛ,1,1,assimilation,ferro,iron,Baxter1990[7-21],
Patua Macau,ˈfero,CVCV,ˈfɛʀu,ˈfe.ro,ˈfɛ.ʀu,ro,ʀu,2,2,assimilation,ferro,iron,Baxter1990[7-21],
Patua Macau,baˈriga,CVCVCV,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ba,bɐ,1,1,assimilation,barriga,belly,Baxter1990[7-21],
Patua Macau,baˈriga,CVCVCV,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ˈri,ˈʀi,2,2,assimilation,barriga,belly,Baxter1990[7-21],
Patua Macau,baˈriga,CVCVCV,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ga,gɐ,3,3,assimilation,barriga,belly,Baxter1990[7-21],
Patua Macau,ˈtro,CV,ˈotru,ˈtro,ˈo.tɾu,ˈtro,ˈo(w),1,1,metathesis,outro,other,Baxter1990[7-21],
Patua Macau,ˈtro,CV,ˈotru,ˈtro,ˈo.tɾu,-,tru,-,2,metathesis,outro,other,Baxter1990[7-21],
Patua Macau,ˈkjansa,CCVCV,kɾiˈɐ̃sɐ,ˈkjan.sa,kɾi.ˈɐ̃.sɐ,ˈkjan,kɾi,1,1,metathesis,criança,child,Baxter1990[7-21],
Patua Macau,ˈkjansa,CCVCV,kɾiˈɐ̃sɐ,ˈkjan.sa,kɾi.ˈɐ̃.sɐ,-,ˈɐ̃,-,2,metathesis,criança,child,Baxter1990[7-21],
Patua Macau,ˈkjansa,CCVCV,kɾiˈɐ̃sɐ,ˈkjan.sa,kɾi.ˈɐ̃.sɐ,sa,sɐ,2,3,metathesis,criança,child,Baxter1990[7-21],
Patua Macau,ˈvaka,CVCV,ˈvakɐ,ˈva.ka,ˈva.kɐ,ˈva,ˈva,1,1,assimilation,vaca,bovine,Baxter1990[7-21],
Patua Macau,ˈvaka,CVCV,ˈvakɐ,ˈva.ka,ˈva.kɐ,ka,kɐ,2,2,assimilation,vaca,bovine,Baxter1990[7-21],
Patua Macau,uvˈi,VCV,o(w)ˈvir,u.vˈi,o(w).ˈvir,u,o(w),1,1,assimilation,ouvir,hear,Baxter1990[7-21],
Patua Macau,uvˈi,VCV,o(w)ˈvir,u.vˈi,o(w).ˈvir,vˈi,ˈvir,2,2,assimilation,ouvir,hear,Baxter1990[7-21],
Patua Macau,ˈɔvu,VCV,ˈovu,ˈɔ.vu,ˈo.vu,ˈɔ,ˈo,1,1,assimilation,ovo,egg,Baxter1990[7-21],
Patua Macau,ˈɔvu,VCV,ˈovu,ˈɔ.vu,ˈo.vu,vu,vu,2,2,assimilation,ovo,egg,Baxter1990[7-21],
Patua Macau,ˈnɔvo,CVCV,ˈnovu,ˈnɔ.vo,ˈno.vu,ˈnɔ,ˈno,1,1,assimilation,novo,new,Baxter1990[7-21],
Patua Macau,ˈnɔvo,CVCV,ˈnovu,ˈnɔ.vo,ˈno.vu,vo,vu,2,2,assimilation,novo,new,Baxter1990[7-21],
Patua Macau,aˈzete,VCVCV,ɐˈzɐjtɨ,a.ˈze.te,ɐ.ˈzɐj.tɨ,a,ɐ,1,1,assimilation,azeite,oil,Baxter1990[7-21],
Patua Macau,aˈzete,VCVCV,ɐˈzɐjtɨ,a.ˈze.te,ɐ.ˈzɐj.tɨ,ˈze,ˈzɐj,2,2,assimilation,azeite,oil,Baxter1990[7-21],
Patua Macau,aˈzete,VCVCV,ɐˈzɐjtɨ,a.ˈze.te,ɐ.ˈzɐj.tɨ,te,tɨ,3,3,assimilation,azeite,oil,Baxter1990[7-21],
Patua Macau,ˈbeso,CVCV,ˈbɐjsu,ˈbe.so,ˈbɐj.su,ˈbe,ˈbɐj,1,1,assimilation,beiço,lip,Baxter1990[7-21],
Patua Macau,ˈbeso,CVCV,ˈbɐjsu,ˈbe.so,ˈbɐj.su,so,su,2,2,assimilation,beiço,lip,Baxter1990[7-21],
Patua Macau,ˈpeto,CVCV,ˈpejtu,ˈpe.to,ˈpej.tu,ˈpe,ˈpej,1,1,assimilation,peito,breast,Baxter1990[7-21],
Patua Macau,ˈpeto,CVCV,ˈpejtu,ˈpe.to,ˈpej.tu,to,tu,2,2,assimilation,peito,breast,Baxter1990[7-21],
Patua Macau,ˈlεte,CVCV,ˈlɐjtɨ,ˈlε.te,ˈlɐj.tɨ,ˈlε,ˈlɐj,1,1,assimilation,leite,milk,Baxter1990[7-21],
Patua Macau,ˈlεte,CVCV,ˈlɐjtɨ,ˈlε.te,ˈlɐj.tɨ,te,tɨ,2,2,assimilation,leite,milk,Baxter1990[7-21],
Patua Macau,muˈler,CVCVC,muˈʎɛr,mu.ˈler,mu.ˈʎɛr,mu,mu,1,1,assimilation,mulher,"woman, wife",Baxter1990[7-21],
Patua Macau,muˈler,CVCVC,muˈʎɛr,mu.ˈler,mu.ˈʎɛr,ˈler,ˈʎɛr,2,2,assimilation,mulher,"woman, wife",Baxter1990[7-21],
Patua Macau,ˈɔlu,VCV,ˈoʎu,ˈɔ.lu,ˈo.ʎu,ˈɔ,ˈo,1,1,assimilation,olho,eye,Baxter1990[7-21],
Patua Macau,ˈɔlu,VCV,ˈoʎu,ˈɔ.lu,ˈo.ʎu,lu,ʎu,2,2,assimilation,olho,eye,Baxter1990[7-21],
Patua Macau,ˈdali,CVCV,ˈdaʎɨ,ˈda.li,ˈda.ʎɨ,ˈda,ˈda,1,1,assimilation,dá-lhe,strike,Baxter1990[7-21],
Patua Macau,ˈdali,CVCV,ˈdaʎɨ,ˈda.li,ˈda.ʎɨ,li,ʎɨ,2,2,assimilation,dá-lhe,strike,Baxter1990[7-21],
Patua Macau,oˈla,VCV,ɔˈʎar,o.ˈla,ɔ.ˈʎar,o,ɔ,1,1,assimilation,olhar,"look, see",Baxter1990[7-21],
Patua Macau,oˈla,VCV,ɔˈʎar,o.ˈla,ɔ.ˈʎar,ˈla,ˈʎar,2,2,assimilation,olhar,"look, see",Baxter1990[7-21],
Patua Macau,ˈalo,VCV,ˈa.ʎu,ˈa.lo,ˈa.ʎu,ˈa,ˈa,1,1,assimilation,alho,garlic,Baxter1990[7-21],
Patua Macau,ˈalo,VCV,ˈa.ʎu,ˈa.lo,ˈa.ʎu,lo,ʎu,2,2,assimilation,alho,garlic,Baxter1990[7-21],
Patua Macau,jo,CV,ˈew,jo,ˈew,jo,ˈew,1,1,assimilation,eu,I,Baxter1990[7-21],
Patua Macau,vɔs,CVC,vuˈse,vɔs,vu.ˈse,vɔs,vu,1,1,metathesis,você,thou,Baxter1990[7-21],
Patua Macau,vɔs,CVC,vuˈse,vɔs,vu.ˈse,-,ˈse,-,2,metathesis,você,thou,Baxter1990[7-21],
Patua Macau,ˈele,VCV,ˈelɨ,ˈe.le,ˈe.lɨ,ˈe,ˈe,1,1,assimilation,ele,he,Baxter1990[7-21],
Patua Macau,ˈele,VCV,ˈelɨ,ˈe.le,ˈe.lɨ,le,lɨ,2,2,assimilation,ele,he,Baxter1990[7-21],
Patua Macau,nos,CVC,ˈnɔʃ,nos,ˈnɔʃ,nos,ˈnɔʃ,1,1,assimilation,nós,we,Baxter1990[7-21],
Patua Macau,vos,CVC,ˈvɔʃ,vos,ˈvɔʃ,vos,ˈvɔʃ,1,1,assimilation,vós,you,Baxter1990[7-21],
Patua Macau,iˈlotro,VCVCV,ˈelɨʃ,i.ˈlo.tro,ˈe.ɫɨʃ,i,ˈe,1,1,metathesis,eles,they,Baxter1990[7-21],
Patua Macau,iˈlotro,VCVCV,ˈelɨʃ,i.ˈlo.tro,ˈe.ɫɨʃ,ˈlo,-,2,-,metathesis,eles,they,Baxter1990[7-21],
Patua Macau,iˈlotro,VCVCV,ˈelɨʃ,i.ˈlo.tro,ˈe.ɫɨʃ,tro,ɫɨʃ,3,2,metathesis,eles,they,Baxter1990[7-21],
Patua Macau,nunca,CVCCV,ˈnũkɐ,nun.ca,ˈnũ.kɐ,nun,ˈnũ,1,1,assimilation,nunca,no,Baxter1990[7-21],
Patua Macau,nunca,CVCCV,ˈnũkɐ,nun.ca,ˈnũ.kɐ,ca,kɐ,2,2,assimilation,nunca,no,Baxter1990[7-21],
Patua Macau,numtêm,CVCCVC,ˈnɐ̃w̃ˈtãj̃,num.têm,ˈnɐ̃w̃.ˈtãj̃,num,ˈnɐ̃w̃,1,1,assimilation,não tem,not have,Baxter1990[7-21],
Patua Macau,numtêm,CVCCVC,ˈnɐ̃w̃ˈtãj̃,num.têm,ˈnɐ̃w̃.ˈtãj̃,têm,tɐj̃,2,2,assimilation,não tem,not have,Baxter1990[7-21],
Patua Macau,nompôdi,CVCVCV,ˈnɐ̃w̃ˈpɔdɨ,nom.pô.di,ˈnɐ̃w̃.ˈpɔ.dɨ,nom,ˈnɐ̃w,1,1,assimilation,não pode,cannot,Baxter1990[7-21],
Patua Macau,nompôdi,CVCVCV,ˈnɐ̃w̃ˈpɔdɨ,nom.pô.di,ˈnɐ̃w̃.ˈpɔ.dɨ,pô,ˈpo,2,2,assimilation,não pode,cannot,Baxter1990[7-21],
Patua Macau,nompôdi,CVCVCV,ˈnɐ̃w̃ˈpɔdɨ,nom.pô.di,ˈnɐ̃w̃.ˈpɔ.dɨ,di,dɨ,3,3,assimilation,não pode,cannot,Baxter1990[7-21],
Patua Macau,puˈsabaˈfado,CVCVCVCVCV,ˈpuʃɐˈbafu,pu.ˈsa.ba.ˈfa.do,ˈpu.ʃɐˈba.fu,pu,ˈpu,1,1,metathesis,puxa bafo,breathe,Baxter1990[7-21],
Patua Macau,puˈsabaˈfado,CVCVCVCVCV,ˈpuʃɐˈbafu,pu.ˈsa.ba.ˈfa.do,ˈpu.ʃɐˈba.fu,ˈsa,ʃɐ,2,2,metathesis,puxa bafo,breathe,Baxter1990[7-21],
Patua Macau,puˈsabaˈfado,CVCVCVCVCV,ˈpuʃɐˈbafu,pu.ˈsa.ba.ˈfa.do,ˈpu.ʃɐˈba.fu,ba,-,3,-,metathesis,puxa bafo,breathe,Baxter1990[7-21],
Patua Macau,puˈsabaˈfado,CVCVCVCVCV,ˈpuʃɐˈbafu,pu.ˈsa.ba.ˈfa.do,ˈpu.ʃɐˈba.fu,ˈfa,ˈba,4,3,metathesis,puxa bafo,breathe,Baxter1990[7-21],
Patua Macau,puˈsabaˈfado,CVCVCVCVCV,ˈpuʃɐ ˈbafu,pu.ˈsa.ba.ˈfa.do,ˈpu.ʃɐ ˈba.fu,do,fu,5,4,metathesis,puxa bafo,breathe,Baxter1990[7-21],
Patua Macau,vɛ̃,CV,ˈvɐ̃j̃,vɛ̃,ˈvɐ̃j̃,vɛ̃,ˈvɐ̃j̃,1,1,assimilation,vem,come,Baxter1990[7-21],
Patua Macau,vai,CV,vaj,vai,vaj,vai,vaj,1,1,assimilation,vai,go,Baxter1990[7-21],
Patua Macau,faˈze,CVCV,fɐˈzeɾ,fa.ˈze,fɐ.ˈzeɾ,fa,fɐ,1,1,assimilation,fazer,do,Baxter1990[7-21],
Patua Macau,faˈze,CVCV,fɐˈzeɾ,fa.ˈze,fɐ.ˈzeɾ,ˈze,ˈzeɾ,2,2,assimilation,fazer,do,Baxter1990[7-21],
Patua Macau,poˈde,CVCV,puˈder,po.ˈde,pu.ˈder,po,pu,1,1,assimilation,poder,can,Baxter1990[7-21],
Patua Macau,poˈde,CVCV,puˈder,po.ˈde,pu.ˈder,ˈde,ˈder,2,2,assimilation,poder,can,Baxter1990[7-21],
Patua Macau,sanˈde,CVCCV,ɐsẽˈder,san.ˈde,ɐ.sẽ.ˈder,san,ɐ,1,1,metathesis,acender,ignite,Baxter1990[7-21],
Patua Macau,sanˈde,CVCCV,ɐsẽˈder,san.ˈde,ɐ.sẽ.ˈder,-,sẽ,-,2,metathesis,acender,ignite,Baxter1990[7-21],
Patua Macau,sanˈde,CVCCV,ɐsẽˈder,san.ˈde,ɐ.sẽ.ˈder,ˈde,ˈder,2,3,metathesis,acender,ignite,Baxter1990[7-21],
Patua Macau,maˈra,CVCV,ɐmɐˈʀar,ma.ˈra,ɐ.mɐ.ˈʀar,ma,ɐ,1,1,metathesis,amarrar,tie,Baxter1990[7-21],
Patua Macau,maˈra,CVCV,ɐmɐˈʀar,ma.ˈra,ɐ.mɐ.ˈʀar,-,mɐ,-,2,metathesis,amarrar,tie,Baxter1990[7-21],
Patua Macau,maˈra,CVCV,ɐmɐˈʀar,ma.ˈra,ɐ.mɐ.ˈʀar,ˈra,ˈʀar,2,3,metathesis,amarrar,tie,Baxter1990[7-21],
Patua Macau,paˈga,CVCV,ɐpɐˈɡar,pa.ˈga,ɐ.pɐ.ˈɡar,pa,ɐ,1,1,metathesis,apagar,extinguish,Baxter1990[7-21],
Patua Macau,paˈga,CVCV,ɐpɐˈɡar,pa.ˈga,ɐ.pɐ.ˈɡar,-,pɐ,-,2,metathesis,apagar,extinguish,Baxter1990[7-21],
Patua Macau,paˈga,CVCV,ɐpɐˈɡar,pa.ˈga,ɐ.pɐ.ˈɡar,ˈga,ˈɡar,2,3,metathesis,apagar,extinguish,Baxter1990[7-21],
Patua Macau,aprenˈde,VCCVCCV,ɐprẽˈder,a.pren.ˈde,ɐ.prẽ.ˈder,a,ɐ,1,1,assimilation,aprender,"learn, teach",Baxter1990[7-21],
Patua Macau,aprenˈde,VCCVCCV,ɐprẽˈder,a.pren.ˈde,ɐ.prẽ.ˈder,pren,prẽ,2,2,assimilation,aprender,"learn, teach",Baxter1990[7-21],
Patua Macau,aprenˈde,VCCVCCV,ɐprẽˈder,a.pren.ˈde,ɐ.prẽ.ˈder,ˈde,ˈder,3,3,assimilation,aprender,"learn, teach",Baxter1990[7-21],
Patua Macau,boˈta,CVCV,buˈtar,boˈta,bu.ˈtar,bo,ˈbu,1,1,assimilation,botar,put,Baxter1990[7-21],
Patua Macau,boˈta,CVCV,buˈtar,boˈta,bu.ˈtar,ˈta,ˈtar,2,2,assimilation,botar,put,Baxter1990[7-21],
Patua Macau,sai,CV,sɐˈiɾ,sai,sɐ.ˈiɾ,sai,sɐ,1,1,metathesis,sair,leave,Baxter1990[7-21],
Patua Macau,sai,CV,sɐˈiɾ,sai,sɐ.ˈiɾ,-,ˈiɾ,-,2,metathesis,sair,leave,Baxter1990[7-21],
Patua Macau,ri,CV,ˈʀir,ri,ˈʀir,ri,ˈʀir,1,1,assimilation,rir,laugh,Baxter1990[7-21],
Patua Macau,koˈme,CVCV,kuˈmeɾ,ko.ˈme,ku.ˈmeɾ,ko,ku,1,1,assimilation,comer,eat,Baxter1990[7-21],
Patua Macau,koˈme,CVCV,kuˈmeɾ,ko.ˈme,ku.ˈmeɾ,ˈme,ˈmeɾ,2,2,assimilation,comer,eat,Baxter1990[7-21],
Patua Macau,t̠ʃeˈga,CVCV,ʃɨˈɡaɾ,t̠ʃe.ˈga,ʃɨ.ˈɡaɾ,t̠ʃe,ʃɨ,1,1,assimilation,chegar,arrive,Baxter1990[7-21],
Patua Macau,t̠ʃeˈga,CVCV,ʃɨˈɡaɾ,t̠ʃe.ˈga,ʃɨ.ˈɡaɾ,ˈga,ˈɡaɾ,2,2,assimilation,chegar,arrive,Baxter1990[7-21],
