Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes,SourceWordlength,,,,SourceWordlength,TargetWordlength,,,,,,,,SourceWordSly length,TargetWordSly length,Word diff,Word bigger,Sly diff,SylNumbigger,Encontra espaço branco
Patua Macau,ˈnɔvo,ˈnovu,ˈnɔ.vo,ˈno.vu,do,du,3,3,,juntado,together,Baxter1990[7-21],,5,nɔvo,nɔvo,nɔvo,4,4,novo,ˈnovu,ˈnovu,novu,novu,novu,novu,2,2,0,Equal,0,Equal,#VALUE!
Patua Macau,aˈzete,ɐˈzɐjtɨ,a.ˈze.te,ɐ.ˈzɐj.tɨ,ˈpe,ˈpej,1,1,,peixe,fish,Baxter1990[7-21],,6,azete,azete,azete,5,6,azeite,ɐˈzɐjtɨ,ɐˈzɐjtɨ,ɐzɐjtɨ,ɐzɐjtɨ,ɐzɐjtɨ,ɐzɐjtɨ,3,3,-1,Target,0,Equal,#VALUE!
Patua Macau,ˈbeso,ˈbɐjsu,ˈbe.so,ˈbɐj.su,se,ʃɨ,2,2,,peixe,fish,Baxter1990[7-21],,5,beso,beso,beso,4,5,beiço,ˈbɐjsu,ˈbɐjsu,bɐjsu,bɐjsu,bɐjsu,bɐjsu,2,2,-1,Target,0,Equal,#VALUE!
Patua Macau,ˈpeto,ˈpejtu,ˈpe.to,ˈpej.tu,ˈɔ,ˈo,1,1,,hoje,today,Baxter1990[7-21],,5,peto,peto,peto,4,5,peito,ˈpejtu,ˈpejtu,pejtu,pejtu,pejtu,pejtu,2,2,-1,Target,0,Equal,#VALUE!
Patua Macau,ˈlεte,ˈlɐjtɨ,ˈlε.te,ˈlɐj.tɨ,ze,ʒ,2,2,,hoje,today,Baxter1990[7-21],,5,lεte,lεte,lεte,4,5,leite,ˈlɐjtɨ,ˈlɐjtɨ,lɐjtɨ,lɐjtɨ,lɐjtɨ,lɐjtɨ,2,2,-1,Target,0,Equal,#VALUE!
Patua Macau,muˈler,muˈʎɛr,mu.ˈler,mu.ˈʎɛr,mi,mi,1,1,,mijar,urinate,Baxter1990[7-21],,6,muler,muler,muler,5,6,mulher,muˈʎɛr,muˈʎɛr,muʎɛr,muʎɛr,muʎɛr,muʎɛr,2,2,-1,Target,0,Equal,#VALUE!
Patua Macau,ˈɔlu,ˈoʎu,ˈɔ.lu,ˈo.ʎu,ˈza,ˈʒar,2,2,,mijar,urinate,Baxter1990[7-21],,4,ɔlu,ɔlu,ɔlu,3,4,olho,ˈoʎu,ˈoʎu,oʎu,oʎu,oʎu,oʎu,2,2,-1,Target,0,Equal,#VALUE!
Patua Macau,ˈdali,ˈdaʎɨ,ˈda.li,ˈda.ʎɨ,ˈke,ˈkɐj,1,1,,queijo,cheese,Baxter1990[7-21],,5,dali,dali,dali,4,5,dálhe,ˈdaʎɨ,ˈdaʎɨ,daʎɨ,daʎɨ,daʎɨ,daʎɨ,2,2,-1,Target,0,Equal,#VALUE!
Patua Macau,oˈla,ɔˈʎar,oˈla,ɔ.ˈʎar,d̠ʒo,ʒu,2,2,,queijo,cheese,Baxter1990[7-21],,4,ola,ola,ola,3,5,olhar,ɔˈʎar,ɔˈʎar,ɔʎar,ɔʎar,ɔʎar,ɔʎar,1,2,-2,Target,-1,Target,#VALUE!
Patua Macau,ˈalo,ˈa.ʎu,ˈalo,ˈa.ʎu,ˈsu,ˈsu,1,1,,sujo,dirty,Baxter1990[7-21],,4,alo,alo,alo,3,4,alho,ˈa.ʎu,ˈa.ʎu,a.ʎu,a.ʎu,a.ʎu,a.ʎu,1,1,-1,Target,0,Equal,#VALUE!
Patua Macau,jo,ˈew,jo,ˈew,zu,ʒu,2,2,,sujo,dirty,Baxter1990[7-21],,2,jo,jo,jo,2,2,eu,ˈew,ˈew,ew,ew,ew,ew,1,1,0,Equal,0,Equal,#VALUE!
Patua Macau,vɔs,vɔˈse,vɔs,vɔ.ˈse,ka,kɐ,1,1,,carreta,"car, carriage",Baxter1990[7-21],,3,vɔs,vɔs,vɔs,3,4,você,vɔˈse,vɔˈse,vɔse,vɔse,vɔse,vɔse,1,2,-1,Target,-1,Target,#VALUE!
Patua Macau,ˈele,ˈelɨ,ˈele,ˈe.lɨ,ˈre,ˈʀe,2,2,,carreta,"car, carriage",Baxter1990[7-21],,4,ele,ele,ele,3,3,ele,ˈelɨ,ˈelɨ,elɨ,elɨ,elɨ,elɨ,1,2,0,Equal,-1,Target,#VALUE!
Patua Macau,nos,ˈnɔʃ,nos,ˈnɔʃ,ta,tɐ,3,3,,carreta,"car, carriage",Baxter1990[7-21],,3,nos,nos,nos,3,3,nós,ˈnɔʃ,ˈnɔʃ,nɔʃ,nɔʃ,nɔʃ,nɔʃ,1,1,0,Equal,0,Equal,#VALUE!
Patua Macau,vos,ˈvɔʃ,vos,ˈvɔʃ,ˈfe,ˈfɛ,1,1,,ferro,iron,Baxter1990[7-21],,3,vos,vos,vos,3,3,vós,ˈvɔʃ,ˈvɔʃ,vɔʃ,vɔʃ,vɔʃ,vɔʃ,1,1,0,Equal,0,Equal,#VALUE!
Patua Macau,iˈlotro,ˈelɨʃ,i.ˈlo.tro,ˈe.lɨʃ,ro,ʀu,2,2,,ferro,iron,Baxter1990[7-21],,7,ilotro,ilotro,ilotro,6,4,eles,ˈelɨʃ,ˈelɨʃ,elɨʃ,elɨʃ,elɨʃ,elɨʃ,3,2,2,Source,1,Source,#VALUE!
Patua Macau,nunca,ˈnũkɐ,nun.ca,ˈnũ.kɐ,ba,bɐ,1,1,,barriga,belly,Baxter1990[7-21],,5,nunca,nunca,nunca,5,5,nunca,ˈnũkɐ,ˈnũkɐ,nũkɐ,nũkɐ,nũkɐ,nũkɐ,2,2,0,Equal,0,Equal,#VALUE!
Patua Macau,numtêm,ˈnɐ̃w̃ˈtɐj̃,num.têm,ˈnɐ̃w̃.ˈtɐj̃,ˈri,ˈʀi,2,2,,barriga,belly,Baxter1990[7-21],,6,numtêm,numtêm,numtêm,6,6,nãotem,ˈnɐ̃w̃ˈtɐj̃,ˈnɐ̃w̃ˈtɐj̃,nɐ̃w̃tɐj̃,nawtɐj̃,nawtaj,nawtaj,2,2,0,Equal,0,Equal,#VALUE!
Patua Macau,nompôdi,ˈnɐ̃w̃ˈpodɨ,nom.pô.di,ˈnɐ̃w̃.ˈpo.dɨ,ga,gɐ,3,3,,barriga,belly,Baxter1990[7-21],,7,nompôdi,nompôdi,nompôdi,7,7,nãopode,ˈnɐ̃w̃ˈpodɨ,ˈnɐ̃w̃ˈpodɨ,nɐ̃w̃podɨ,nawpodɨ,nawpodɨ,nawpodɨ,3,3,0,Equal,0,Equal,#VALUE!
