Language,SourceWord,TargetWord,SourceWord Syl,TargetWord Syl,NumberSylsource,NumberSylTarget,TemplateSylSource,TemplateSylTarget,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,process,TargetOrthography,Translation,Reference,Notes
Korlai,kami,kɐˈmiɲu,ka.mi,kɐˈmi.ɲu,2,3,CVCV,CVCVCV,ka,kɐ,1,1,,caminho,road,Clements2012[37-41],
Korlai,kami,kɐˈmiɲu,ka.mi,kɐˈmi.ɲu,2,3,CVCV,CVCVCV,-,mi,-,2,,caminho,road,Clements2012[37-41],
Korlai,kami,kɐˈmiɲu,ka.mi,kɐˈmi.ɲu,2,3,CVCV,CVCVCV,mi,ɲu,2,3,,caminho,road,Clements2012[37-41],
Korlai,kɔɾd,ˈkɔɾdɐ,kɔɾd,ˈkɔɾ.dɐ,1,2,CVCC,CVCCV,kɔɾd,kɔɾ,1,1,,corda,rope,Clements2012[37-41],
Korlai,kɔɾd,ˈkɔɾdɐ,kɔɾd,ˈkɔɾ.dɐ,1,2,CVCC,CVCCV,-,dɐ,-,2,,corda,rope,Clements2012[37-41],
Korlai,sal,ˈsal,sal,ˈsal,1,1,CVC,CVC,sal,sal,1,1,,sal,salt,Clements2012[37-41],
Korlai,hala,fɐˈlaɾ,ha.la,fɐ.ˈlaɾ,2,2,CVCV,CVCVC,ha,fɐ,1,1,,falar,say,Clements2012[37-41],
Korlai,hala,fɐˈlaɾ,ha.la,fɐ.ˈlaɾ,2,2,CVCV,CVCVC,la,laɾ,2,2,,falar,say,Clements2012[37-41],
Korlai,maɾ,ˈmaɾ,maɾ,ˈmaɾ,1,1,CVC,CVC,maɾ,ˈmaɾ,1,1,,mar,sea,Clements2012[37-41],
Korlai,paɾse,pɐɾɨˈseɾ,paɾ.se,pɐ.ɾɨ.ˈseɾ,2,3,CVCCV,CVCVCVC,paɾ,pɐ,1,1,,parecer,see,Clements2012[37-41],
Korlai,paɾse,pɐɾɨˈseɾ,paɾ.se,pɐ.ɾɨ.ˈseɾ,2,3,CVCCV,CVCVCVC,-,ɾɨ,-,2,,parecer,see,Clements2012[37-41],
Korlai,paɾse,pɐɾɨˈseɾ,paɾ.se,pɐ.ɾɨ.ˈseɾ,2,3,CVCCV,CVCVCVC,se,seɾ,2,3,,parecer,see,Clements2012[37-41],
Korlai,simɛt,sɨˈmẽtɨ,si.mɛt,sɨ.ˈmẽ.tɨ,2,3,CVCVC,CVCVCCV,si,sɨ,1,1,,semente,seed,Clements2012[37-41],
Korlai,simɛt,sɨˈmẽtɨ,si.mɛt,sɨ.ˈmẽ.tɨ,2,3,CVCVC,CVCVCCV,-,mẽ,-,2,,semente,seed,Clements2012[37-41],
Korlai,simɛt,sɨˈmẽtɨ,si.mɛt,sɨ.ˈmẽ.tɨ,2,3,CVCVC,CVCVCCV,mɛt,tɨ,2,3,,semente,seed,Clements2012[37-41],
Korlai,kudze,kuˈzeɾ,kud.ze,ku.ˈzeɾ,2,2,CVCCV,CVCVC,kud,ku,1,1,,coser,sew,Clements2012[37-41],
Korlai,kudze,kuˈzeɾ,kud.ze,ku.ˈzeɾ,2,2,CVCCV,CVCVC,ze,zeɾ,2,2,,coser,sew,Clements2012[37-41],
Korlai,kuɾt,ˈkuɾtu,kuɾt,ˈkuɾ.tu,1,2,CVCC,CVCCV,kuɾt,kuɾ,1,1,,curto,short,Clements2012[37-41],
Korlai,kuɾt,ˈkuɾtu,kuɾt,ˈkuɾ.tu,1,2,CVCC,CVCCV,-,tu,-,2,,curto,short,Clements2012[37-41],
Korlai,kata,kɐ̃ˈtaɾ,ka.ta,kɐ̃.ˈtaɾ,2,2,CVCV,CVCCVC,ka,kɐ̃,1,1,,cantar,sing,Clements2012[37-41],
Korlai,kata,kɐ̃ˈtaɾ,ka.ta,kɐ̃.ˈtaɾ,2,2,CVCV,CVCCVC,ta,taɾ,2,2,,cantar,sing,Clements2012[37-41],
Korlai,sata,sẽˈtaɾ,sa.ta,sẽ.ˈtaɾ,2,2,CVCV,CVCCVC,sa,sẽ,1,1,,sentar,sit,Clements2012[37-41],
Korlai,sata,sẽˈtaɾ,sa.ta,sẽ.ˈtaɾ,2,2,CVCV,CVCCVC,ta,taɾ,2,2,,sentar,sit,Clements2012[37-41],
Korlai,fum,ˈfumu,fum,ˈfu.mu,1,2,CVC,CVCV,fum,fu,1,1,,fumo,smoke,Clements2012[37-41],
Korlai,fum,ˈfumu,fum,ˈfu.mu,1,2,CVC,CVCV,-,mu,-,2,,fumo,smoke,Clements2012[37-41],
Korlai,liʣ,ˈlizu,liʣ,ˈli.zu,1,2,CVCC,CVCV,liʣ,li,1,1,,liso,smooth,Clements2012[37-41],
Korlai,liʣ,ˈlizu,liʣ,ˈli.zu,1,2,CVCC,CVCV,-,zu,-,2,,liso,smooth,Clements2012[37-41],
Korlai,kɔb,ˈkɔbɾɐ,kɔb,ˈkɔ.bɾɐ,1,2,CVC,CVCCV,kɔb,kɔ,1,1,,cobra,snake,Clements2012[37-41],
Korlai,kɔb,ˈkɔbɾɐ,kɔb,ˈkɔ.bɾɐ,1,2,CVC,CVCCV,-,bɾɐ,-,2,,cobra,snake,Clements2012[37-41],
Korlai,kuspi,kuʃˈpiɾ,kus.pi,kuʃ.ˈpiɾ,2,2,CVCCV,CVCCVC,kus,kuʃ,1,1,,cuspir,spit,Clements2012[37-41],
Korlai,kuspi,kuʃˈpiɾ,kus.pi,kuʃ.ˈpiɾ,2,2,CVCCV,CVCCVC,pi,piɾ,2,2,,cuspir,spit,Clements2012[37-41],
Korlai,fuɾa,fuˈɾaɾ,fu.ɾa,fu.ˈɾaɾ,2,2,CVCV,CVCVC,fu,fu,1,1,,furar,pierce,Clements2012[37-41],
Korlai,fuɾa,fuˈɾaɾ,fu.ɾa,fu.ˈɾaɾ,2,2,CVCV,CVCVC,ra,rar,2,2,,furar,pierce,Clements2012[37-41],
Korlai,sɔl,ˈsɔl,sɔl,ˈsɔl,1,1,CVC,CVC,sɔl,sɔl,1,1,,sol,sun,Clements2012[37-41],
Korlai,gɾos,ˈgɾosu,gɾos,ˈgɾo.su,1,2,CCVC,CCVCV,gɾos,gro,1,1,,grosso,thick,Clements2012[37-41],
Korlai,gɾos,ˈgɾosu,gɾos,ˈgɾo.su,1,2,CCVC,CCVCV,-,su,-,2,,grosso,thick,Clements2012[37-41],
Korlai,fɾak,ˈfɾaku,fɾak,ˈfɾa.ku,1,2,CCVC,CCVCV,fɾak,fra,1,1,,fraco,thin,Clements2012[37-41],
Korlai,fɾak,ˈfɾaku,fɾak,ˈfɾa.ku,1,2,CCVC,CCVCV,-,ku,-,2,,fraco,thin,Clements2012[37-41],
Korlai,fin,ˈfinu,fin,ˈfi.nu,1,2,CVC,CVCV,fin,fi,1,1,,fino,thin,Clements2012[37-41],
Korlai,fin,ˈfinu,fin,ˈfi.nu,1,2,CVC,CVCV,-,nu,-,2,,fino,thin,Clements2012[37-41],
Korlai,wɔ,ˈvɔʃ,wɔ,ˈvɔʃ,1,1,CV,CVC,wɔ,ˈvɔʃ,1,1,,vós,thou,Clements2012[37-41],
Korlai,liŋ,ˈlĩɡuɐ,liŋ,ˈlĩ.ɡuɐ,1,2,CVC,CVCCVV,liŋ,lĩ,1,1,,língua,tongue,Clements2012[37-41],
Korlai,liŋ,ˈlĩɡuɐ,liŋ,ˈlĩ.ɡuɐ,1,2,CVC,CVCCVV,-,ɡuɐ,-,2,,língua,tongue,Clements2012[37-41],
Korlai,gumita,vumiˈtaɾ,gu.mi.ta,vu.mi.ˈtaɾ,3,3,CVCVCV,CVCVCV,gu,vu,1,1,,vomitar,throw up,Clements2012[37-41],
Korlai,gumita,vumiˈtaɾ,gu.mi.ta,vu.mi.ˈtaɾ,3,3,CVCVCV,CVCVCV,mi,mu,2,2,,vomitar,throw up,Clements2012[37-41],
Korlai,gumita,vumiˈtaɾ,gu.mi.ta,vu.mi.ˈtaɾ,3,3,CVCVCV,CVCVCV,ta,tar,3,3,,vomitar,throw up,Clements2012[37-41],
Korlai,maɾt̠ʃa,mɐɾˈʃaɾ,maɾ.t̠ʃa,mɐɾ.ˈʃaɾ,2,2,CVCCV,CVCCVC,maɾ,mɐɾ,1,1,,marchar,walk,Clements2012[37-41],
Korlai,maɾt̠ʃa,mɐɾˈʃaɾ,maɾ.t̠ʃa,mɐɾ.ˈʃaɾ,2,2,CVCCV,CVCCVC,t̠ʃa,ʃaɾ,2,2,,marchar,walk,Clements2012[37-41],
Korlai,laʋa,lɐˈvaɾ,la.ʋa,lɐ.ˈvaɾ,2,2,CVCV,CVCVC,la,lɐ,1,1,,lavar,wash,Clements2012[37-41],
Korlai,laʋa,lɐˈvaɾ,la.ʋa,lɐ.ˈvaɾ,2,2,CVCV,CVCVC,ʋa,vaɾ,2,2,,lavar,wash,Clements2012[37-41],
Korlai,ag,aguɐ,ag,a.guɐ,1,2,VC,VCVV,ag,a,1,1,,água,water,Clements2012[37-41],
Korlai,ag,aguɐ,ag,a.guɐ,1,2,VC,VCVV,-,guɐ,-,2,,água,water,Clements2012[37-41],
Korlai,laɾg,ˈlaɾɡu,laɾg,ˈlaɾ.ɡu,1,2,CVCC,CVCCV,laɾg,lar,1,1,,largo,wide,Clements2012[37-41],
Korlai,laɾg,ˈlaɾɡu,laɾg,ˈlaɾ.ɡu,1,2,CVCC,CVCCV,-,gu,-,2,,largo,wide,Clements2012[37-41],
Korlai,ʋɛ̃t,ˈvẽtu,ʋɛ̃t,ˈvẽ.tu,1,2,CVCC,CVCCV,ʋɛ̃t,vẽ,1,1,,vento,wind,Clements2012[37-41],
Korlai,ʋɛ̃t,ˈvẽtu,ʋɛ̃t,ˈvẽ.tu,1,2,CVCC,CVCCV,-,tu,-,2,,vento,wind,Clements2012[37-41],
Korlai,mat,ˈmatu,mat,ˈma.tu,1,2,CVC,CVCV,mat,ma,1,1,,mato,woods,Clements2012[37-41],
Korlai,mat,ˈmatu,mat,ˈma.tu,2,2,CVC,CVCV,-,tu,-,2,,mato,woods,Clements2012[37-41],
