Language;SourceWord;TargetWord;SourceWord Syl;TargetWord Syl;NumberSylsource;NumberSylTarget;SourceSyllable;TargetSyllable;PositionSource;PositionTarget;Simple PositionSource;Simple PositionTarget;process;TargetOrthography;Translation;Reference;Notes
Korlai;ʃiŋ;ˈʃifɾɨ;ʃiŋ;ˈʃi.fɾɨ;1;2;-;fɾɨ;-;2;-;Medial;;chifre;horn;Clements2012[37-112];
Korlai;maɾid;mɐˈɾidu;ma.ɾid;mɐ.ˈɾi.du;2;3;ma;mɐ;1;1;Initial;Initial;;marido;husband;Clements2012[37-113];
Korlai;maɾid;mɐˈɾidu;ma.ɾid;mɐ.ˈɾi.du;2;3;-;ri;-;2;-;Medial;;marido;husband;Clements2012[37-114];
Korlai;maɾid;mɐˈɾidu;ma.ɾid;mɐ.ˈɾi.du;2;3;ɾid;du;2;3;Medial;Medial;;marido;husband;Clements2012[37-115];
Korlai;mata;mɐˈtaɾ;ma.ta;mɐ.ˈtaɾ;2;2;ma;mɐ;1;1;Initial;Initial;;matar;kill;Clements2012[37-116];
Korlai;mata;mɐˈtaɾ;ma.ta;mɐ.ˈtaɾ;2;2;ta;taɾ;2;2;Medial;Medial;;matar;kill;Clements2012[37-117];
Korlai;kwise;kuɲɨˈseɾ;kwi.se;ku.ɲɨ.ˈseɾ;2;3;kwi;ku;1;1;Initial;Initial;;conhecer;know;Clements2012[37-118];
Korlai;kwise;kuɲɨˈseɾ;kwi.se;ku.ɲɨ.ˈseɾ;2;3;-;ɲɨ;-;2;-;Medial;;conhecer;know;Clements2012[37-119];
Korlai;kwise;kuɲɨˈseɾ;kwi.se;ku.ɲɨ.ˈseɾ;2;3;se;seɾ;2;3;Medial;Medial;;conhecer;know;Clements2012[37-120];
Korlai;sabe;sɐˈbeɾ;sa.be;sɐ.ˈbeɾ;2;2;sa;sɐ;1;1;Initial;Initial;;saber;know;Clements2012[37-121];
Korlai;sabe;sɐˈbeɾ;sa.be;sɐ.ˈbeɾ;2;2;be;ber;2;2;Medial;Medial;;saber;know;Clements2012[37-122];
