Language,SourceWord,SourceWord CV,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllabe,TargetSyllabe,PositionSource,PositionTarget,Process,TargetOrthopraphy,Translation,Reference,Notes
Sri Lanka Portuguese,pe:tu,CV.CV ,ˈpejtu,pe:.tu,ˈpej.tu,pe:,ˈpej,1,1,,peito,breast,Clements2012[37-41],
Sri Lanka Portuguese,pe:tu,CV.CV ,ˈpejtu,pe:.tu,ˈpej.tu,tu,tu,2,2,,peito,breast,Clements2012[37-41],
Sri Lanka Portuguese,kima:,CV.CV,kejˈmaɾ,ki.ma:,kej.ˈmaɾ,ki,kej,1,1,,queimar,burn,Clements2012[37-41],
Sri Lanka Portuguese,kima:,CV.CV,kejˈmaɾ,ki.ma:,kej.ˈmaɾ,ma:,ˈmaɾ,2,2,,queimar,burn,Clements2012[37-41],
Sri Lanka Portuguese,kɾija:nsa,CCV.CVC.CV,kɾiˈɐ̃sɐ,kɾi.ja:n.sa,kɾi.ˈɐ̃.sɐ,kɾi,kɾi,1,1,,criança,child,Clements2012[37-41],
Sri Lanka Portuguese,kɾija:nsa,CCV.CVC.CV,kɾiˈɐ̃sɐ,kɾi.ja:n.sa,kɾi.ˈɐ̃.sɐ,ja:n,ˈɐ̃,2,2,,criança,child,Clements2012[37-41],
Sri Lanka Portuguese,kɾija:nsa,CCV.CVC.CV,kɾiˈɐ̃sɐ,kɾi.ja:n.sa,kɾi.ˈɐ̃.sɐ,sa,sɐ,3,3,,criança,child,Clements2012[37-41],
Sri Lanka Portuguese,mo:ʋis,CV.CVC,ˈnuvɐ̃j,mo:.ʋis,ˈnu.vɐ̃j,mo:,ˈnu,1,1,,nuvem,cloud,Clements2012[37-41],
Sri Lanka Portuguese,mo:ʋis,CV.CVC,ˈnuvɐ̃j,mo:.ʋis,ˈnu.vɐ̃j,ʋis,vɐ̃j,2,2,,nuvem,cloud,Clements2012[37-41],
Sri Lanka Portuguese,fɾi:ju,CCV.CV,ˈfɾiu,fɾi:.ju,ˈfɾi.u,fɾi:,ˈfɾi,1,1,,frio,cold,Clements2012[37-41],
Sri Lanka Portuguese,fɾi:ju,CCV.CV,ˈfɾiu,fɾi:.ju,ˈfɾi.u,ju,u,2,2,,frio,cold,Clements2012[37-41],
Sri Lanka Portuguese,ʋi:,CV,ˈviɾ,ʋi:,ˈviɾ,ʋi:,ˈviɾ,1,1,,vir,come,Clements2012[37-41],
Sri Lanka Portuguese,konta:,CVC.CV,kõtaɾ,kon.ta:,kõ.taɾ,kon,kõ,1,1,,contar,count,Clements2012[37-41],
Sri Lanka Portuguese,konta:,CVC.CV,kõtaɾ,kon.ta:,kõ.taɾ,ta:,taɾ,2,2,,contar,count,Clements2012[37-41],
Sri Lanka Portuguese,koɾta:,CVC.CV,kuɾˈtaɾ,koɾ.ta:,kuɾ.ˈtaɾ,koɾ,kuɾ,1,1,,cortar,cut,Clements2012[37-41],
Sri Lanka Portuguese,koɾta:,CVC.CV,kuɾˈtaɾ,koɾ.ta:,kuɾ.ˈtaɾ,ta:,ˈtaɾ,2,2,,cortar,cut,Clements2012[37-41],
Sri Lanka Portuguese,di:ja,CV.CV,ˈdiɐ,di:.ja,ˈdi.ɐ,di:,ˈdi,1,1,,dia,day,Clements2012[37-41],
Sri Lanka Portuguese,di:ja,CV.CV,ˈdiɐ,di:.ja,ˈdi.ɐ,ja,ɐ,2,2,,dia,day,Clements2012[37-41],
Sri Lanka Portuguese,muɾa,CV.CV,muˈʀeɾ,mu.ɾa,mu.ˈʀeɾ,mu,mu,1,1,,morrer,die,Clements2012[37-41],
Sri Lanka Portuguese,muɾa,CV.CV,muˈʀeɾ,mu.ɾa,mu.ˈʀeɾ,ɾa,ˈʀeɾ,2,2,,morrer,die,Clements2012[37-41],
Sri Lanka Portuguese,su:j,CVC,ˈsuʒu,su:j,ˈsu.ʒu,su:j,ˈsu,1,1,,sujo,dust,Clements2012[37-41],
Sri Lanka Portuguese,su:j,CVC,ˈsuʒu,su:j,ˈsu.ʒu,-,ʒu,-,2,,sujo,dust,Clements2012[37-41],
Sri Lanka Portuguese,kat̠ʃo:ɾu,CV.CV.CV,kɐˈʃoʀu,ka.t̠ʃo.:ɾu,kɐ.ˈʃo.ʀu,ka,kɐ,1,1,,cachorro,dog,Clements2012[37-41],
Sri Lanka Portuguese,kat̠ʃo:ɾu,CV.CV.CV,kɐˈʃoʀu,ka.t̠ʃo.:ɾu,kɐ.ˈʃo.ʀu,t̠ʃo:,ˈʃo,2,2,,cachorro,dog,Clements2012[37-41],
Sri Lanka Portuguese,kat̠ʃo:ɾu,CV.CV.CV,kɐˈʃoʀu,ka.t̠ʃo.:ɾu,kɐ.ˈʃo.ʀu,ɾu,ʀu,3,3,,cachorro,dog,Clements2012[37-41],
Sri Lanka Portuguese,beʋa,CV.CV,bɨˈbeɾ,be.ʋa,bɨ.ˈbeɾ,be,bɨ,1,1,,beber,drink (v.),Clements2012[37-41],
Sri Lanka Portuguese,beʋa,CV.CV,bɨˈbeɾ,be.ʋa,bɨ.ˈbeɾ,ʋa,ˈbeɾ,2,2,,beber,drink (v.),Clements2012[37-41],
Sri Lanka Portuguese,sɛ:ku,CV.CV,ˈseku,sɛ:.ku,ˈse.ku,sɛ:,ˈse,1,1,,seco,dry,Clements2012[37-41],
Sri Lanka Portuguese,sɛ:ku,CV.CV,ˈseku,sɛ:.ku,ˈse.ku,ku,ku,2,2,,seco,dry,Clements2012[37-41],
Sri Lanka Portuguese,bɾɔm,CCVC,ˈʀõbu,bɾɔm,ˈʀõ.bu,bɾɔm,ˈʀõ,1,1,,rombo,dull,Clements2012[37-41],
Sri Lanka Portuguese,bɾɔm,CCVC,ˈʀõbu,bɾɔm,ˈʀõ.bu,-,bu,-,2,,rombo,dull,Clements2012[37-41],
Sri Lanka Portuguese,pɔ,CV,ˈpɔ,pɔ,ˈpɔ,pɔ,ˈpɔ,1,1,,pó,dust,Clements2012[37-41],
Sri Lanka Portuguese,oʋi:du,V.CV.CV,oˈvidu,o.ʋi:.du,o.ˈvi.du,o,oˈ,1,1,,ouvido,ear,Clements2012[37-41],
Sri Lanka Portuguese,oʋi:du,V.CV.CV,oˈvidu,o.ʋi:.du,o.ˈvi.du,ʋi:,vi,2,2,,ouvido,ear,Clements2012[37-41],
Sri Lanka Portuguese,oʋi:du,V.CV.CV,oˈvidu,o.ʋi:.du,o.ˈvi.du,du,du,3,3,,ouvido,ear,Clements2012[37-41],
Sri Lanka Portuguese,oɾe:ja,V.CV.CV,oˈɾeʎɐ,o.ɾe.:ja,o.ˈɾe.ʎɐ,o,oˈ,1,1,,orelha,ear,Clements2012[37-41],
Sri Lanka Portuguese,oɾe:ja,V.CV.CV,oˈɾeʎɐ,o.ɾe.:ja,o.ˈɾe.ʎɐ,ɾe:,ɾe,2,2,,orelha,ear,Clements2012[37-41],
Sri Lanka Portuguese,oɾe:ja,V.CV.CV,oˈɾeʎɐ,o.ɾe.:ja,o.ˈɾe.ʎɐ,ja,ʎɐ,3,3,dissimilation,orelha,ear,Clements2012[37-41],
Sri Lanka Portuguese,tɛ:ɾa,CV.CV,ˈtɛʀɐ,tɛ.:ɾa,ˈtɛ.ʀɐ,tɛ:,ˈtɛ,1,1,,terra,earth,Clements2012[37-41],
Sri Lanka Portuguese,tɛ:ɾa,CV.CV,ˈtɛʀɐ,tɛ.:ɾa,ˈtɛ.ʀɐ,ɾa,ˈʀɐ,2,2,,terra,earth,Clements2012[37-41],
Sri Lanka Portuguese,kuma,CV.CV,kuˈmeɾ,ku.ma,ku.ˈmeɾ,ku,ku,1,1,,comer,eat,Clements2012[37-41],
Sri Lanka Portuguese,kuma,CV.CV,kuˈmeɾ,ku.ma,ku.ˈmeɾ,ma,ˈmeɾ,2,2,,comer,eat,Clements2012[37-41],
Sri Lanka Portuguese,o:ʋ,VC,ˈovu,o:ʋ,ˈo.vu,o:ʋ,ˈo,1,1,,ovo,egg,Clements2012[37-41],
Sri Lanka Portuguese,o:ʋ,VC,ˈovu,o:ʋ,ˈo.vu,-,vu,-,2,,ovo,egg,Clements2012[37-41],
Sri Lanka Portuguese,o:j,VC,ˈoʎu,o:j,ˈo.ʎu,o:j,ˈoʎu,1,1,,olho,eye,Clements2012[37-41],
Sri Lanka Portuguese,o:j,VC,ˈoʎu,o:j,ˈo.ʎu,-,ʎu,-,2,,olho,eye,Clements2012[37-41],
Sri Lanka Portuguese,kaj,CVC,kɐˈiɾ,kaj,kɐ.ˈiɾ,kaj,kɐ,1,1,,cair,fall,Clements2012[37-41],
Sri Lanka Portuguese,kaj,CVC,kɐˈiɾ,kaj,kɐ.ˈiɾ,-,ˈiɾ,-,2,,cair,fall,Clements2012[37-41],
Sri Lanka Portuguese,lɔ:nd̠ʒi,CVC.CV,ˈlõʒɨ,lɔ:n.d̠ʒi,ˈlõ.ʒɨ,lɔ:n,ˈlõ,1,1,,longe,far,Clements2012[37-41],
Sri Lanka Portuguese,lɔ:nd̠ʒi,CVC.CV,ˈlõʒɨ,lɔ:n.d̠ʒi,ˈlõ.ʒɨ,d̠ʒi,ʒɨ,2,2,,longe,far,Clements2012[37-41],
Sri Lanka Portuguese,aze:ti,V.CV.CV,ɐˈzɐjtɨ,a.ze:.ti,ɐ.ˈzɐj.tɨ,a,ɐ,1,1,,azeite,oil,Clements2012[37-41],
Sri Lanka Portuguese,aze:ti,V.CV.CV,ɐˈzɐjtɨ,a.ze:.ti,ɐ.ˈzɐj.tɨ,ze:,ˈzɐj,2,2,,azeite,oil,Clements2012[37-41],
Sri Lanka Portuguese,aze:ti,V.CV.CV,ɐˈzɐjtɨ,a.ze:.ti,ɐ.ˈzɐj.tɨ,ti,tɨ,3,3,,azeite,oil,Clements2012[37-41],
Sri Lanka Portuguese,guɾdu:ɾa,CVC.CV.CV,ɡuɾˈduɾɐ,guɾ.du:.ɾa,ɡuɾ.ˈdu.ɾɐ,guɾ,ɡuɾ,1,1,,gordura,fat,Clements2012[37-41],
Sri Lanka Portuguese,guɾdu:ɾa,CVC.CV.CV,ɡuɾˈduɾɐ,guɾ.du:.ɾa,ɡuɾ.ˈdu.ɾɐ,du:,ˈdu,2,2,,gordura,fat,Clements2012[37-41],
Sri Lanka Portuguese,guɾdu:ɾa,CVC.CV.CV,ɡuɾˈduɾɐ,guɾ.du:.ɾa,ɡuɾ.ˈdu.ɾɐ,ɾa,ɾɐ,3,3,,gordura,fat,Clements2012[37-41],
Sri Lanka Portuguese,pa:j,CVC,paj,pa:j,paj,pa:j,paj,1,1,,pai,father,Clements2012[37-41],
Sri Lanka Portuguese,me:du,CV.CV,ˈmedu,me:.du,ˈme.du,me:,ˈme,1,1,,medo,fear,Clements2012[37-41],
Sri Lanka Portuguese,me:du,CV.CV,ˈmedu,me:.du,ˈme.du,du,du,2,2,,medo,fear,Clements2012[37-41],
Sri Lanka Portuguese,pɛ:na,CV.CV,ˈpenɐ,pɛ:.na,ˈpe.nɐ,pɛ:,ˈpe,1,1,,pena,feather,Clements2012[37-41],
Sri Lanka Portuguese,pɛ:na,CV.CV,ˈpenɐ,pɛ:.na,ˈpe.nɐ,na,nɐ,2,2,,pena,feather,Clements2012[37-41],
Sri Lanka Portuguese,po:ku,CV.CV,ˈpoku,po.:ku,ˈpo.ku,po:,ˈpo,1,1,,pouco,few,Clements2012[37-41],
Sri Lanka Portuguese,po:ku,CV.CV,ˈpoku,po.:ku,ˈpo.ku,ku,ku,2,2,,pouco,few,Clements2012[37-41],
Sri Lanka Portuguese,gɔ:ta,CV.CV,ˈgotɐ,gɔ:.ta,ˈgo.tɐ,gɔ:,go,1,1,,gota,few,Clements2012[37-41],
Sri Lanka Portuguese,gɔ:ta,CV.CV,ˈgotɐ,gɔ:.ta,ˈgo.tɐ,ta,tɐ,2,2,,gota,few,Clements2012[37-41],
Sri Lanka Portuguese,bɾi:ja,CCV.CV,bɾiˈgaɾ,bɾi:.ja,bɾiˈ.gaɾ,bɾi:,bɾi,1,1,,brigar,fight,Clements2012[37-41],
Sri Lanka Portuguese,bɾi:ja,CCV.CV,bɾiˈgaɾ,bɾi:.ja,bɾiˈ.gaɾ,ja,ˈgaɾ,2,2,,brigar,fight,Clements2012[37-41],
Sri Lanka Portuguese,fo:ʋ,CVC,ˈfoɡu,fo:ʋ,ˈfo.ɡu,fo:ʋ,ˈfo,1,1,,fogo,fire,Clements2012[37-41],
Sri Lanka Portuguese,fo:ʋ,CVC,ˈfoɡu,fo:ʋ,ˈfo.ɡu,-,ɡu,-,2,,fogo,fire,Clements2012[37-41],
Sri Lanka Portuguese,pe:si,CV.CV,ˈpejʃɨ,pe.:si,ˈpej.ʃɨ,pe:,ˈpej,1,1,,peixe,fish,Clements2012[37-41],
Sri Lanka Portuguese,pe:si,CV.CV,ˈpejʃɨ,pe.:si,ˈpej.ʃɨ,si,ʃɨ,2,2,,peixe,fish,Clements2012[37-41],
Sri Lanka Portuguese,si:nku,CVC.CV,ˈsĩku,si:n.ku,ˈsĩ.ku,si:n,ˈsĩ,1,1,,cinco,five,Clements2012[37-41],
Sri Lanka Portuguese,si:nku,CVC.CV,ˈsĩku,si:n.ku,ˈsĩ.ku,ku,ku,2,2,,cinco,five,Clements2012[37-41],
Sri Lanka Portuguese,nada:,CV.CV,nɐˈdaɾ,na.da:,nɐ.ˈdaɾ,na,nɐ,1,1,,nadar,float,Clements2012[37-41],
Sri Lanka Portuguese,nada:,CV.CV,nɐˈdaɾ,na.da:,nɐ.ˈdaɾ,da:,ˈdaɾ,2,2,,nadar,float,Clements2012[37-41],
Sri Lanka Portuguese,fu:la,CV.CV,ˈfloɾ,fu:.la,ˈfloɾ,fu:,ˈfloɾ,1,1,,flor,flower,Clements2012[37-41],
Sri Lanka Portuguese,fu:la,CV.CV,ˈfloɾ,fu:.la,ˈfloɾ,la,-,2,-,,flor,flower,Clements2012[37-41],
Sri Lanka Portuguese,awga:,VC.CV,vuˈaɾ,aw.ga:,vu.ˈaɾ,aw,vu,1,1,,voar,fly,Clements2012[37-41],
Sri Lanka Portuguese,awga:,VC.CV,vuˈaɾ,aw.ga:,vu.ˈaɾ,ga:,ˈaɾ,2,2,,voar,fly,Clements2012[37-41],
Sri Lanka Portuguese,uɾuʋaj:a,V.CV.CV.CV,ɔrvɐˈʎar,u.ɾu.ʋa.j:a,ɔr.vɐ.ˈʎar,u,ɔr,1,1,,orvalhar,fog,Clements2012[37-41],
Sri Lanka Portuguese,uɾuʋaj:a,V.CV.CV.CV,ɔrvɐˈʎar,u.ɾu.ʋa.j:a,ɔr.vɐ.ˈʎar,ɾu,vɐ,2,2,,orvalhar,fog,Clements2012[37-41],
Sri Lanka Portuguese,uɾuʋaj:a,V.CV.CV.CV,ɔrvɐˈʎar,u.ɾu.ʋa.j:a,ɔr.vɐ.ˈʎar,ʋa,ʎar,3,3,,orvalhar,fog,Clements2012[37-41],
Sri Lanka Portuguese,uɾuʋaj:a,V.CV.CV.CV,ɔrvɐˈʎar,u.ɾu.ʋa.j:a,ɔr.vɐ.ˈʎar,j:a,-,4,-,,orvalhar,fog,Clements2012[37-41],
Sri Lanka Portuguese,pe:,CV,ˈpɛ,pe:,ˈpɛ,pe:,ˈpɛ,1,1,,pé,foot,Clements2012[37-41],
Sri Lanka Portuguese,ka:tɾu,CV.CCV,ˈkwatɾu,ka.:tɾu,ˈkwa.tɾu,ka:,ˈkwa,1,1,,quatro,four,Clements2012[37-41],
Sri Lanka Portuguese,ka:tɾu,CV.CCV,ˈkwatɾu,ka.:tɾu,ˈkwa.tɾu,tɾu,tɾu,2,2,,quatro,four,Clements2012[37-41],
Sri Lanka Portuguese,fɾʋi:ta,CCCV.CV,ˈfɾutɐ,fɾʋi.:ta,ˈfɾu.tɐ,fɾʋi:,ˈfɾu,1,1,,fruta,fruit,Clements2012[37-41],
Sri Lanka Portuguese,fɾʋi:ta,CCCV.CV,ˈfɾutɐ,fɾʋi.:ta,ˈfɾu.tɐ,ta,tɐ,2,2,,fruta,fruit,Clements2012[37-41],
Sri Lanka Portuguese,int̠ʃi:du,VC.CV.CV,ẽˈʃidu,in.t̠ʃi.:du,ẽ.ˈʃi.du,in,ẽ,1,1,,enchido,full,Clements2012[37-41],
Sri Lanka Portuguese,int̠ʃi:du,VC.CV.CV,ẽˈʃidu,in.t̠ʃi.:du,ẽ.ˈʃi.du,t̠ʃi:,ˈʃi,2,2,,enchido,full,Clements2012[37-41],
Sri Lanka Portuguese,int̠ʃi:du,VC.CV.CV,ẽˈʃidu,in.t̠ʃi.:du,ẽ.ˈʃi.du,du,du,3,3,,enchido,full,Clements2012[37-41],
Sri Lanka Portuguese,da:,CV,ˈdaɾ,da:,ˈdaɾ,da:,ˈdaɾ,1,1,,dar,give,Clements2012[37-41],
Sri Lanka Portuguese,bo:m,CVC,bõ,bo:m,bõ,bo:m,bõ,1,1,,bom,good,Clements2012[37-41],
Sri Lanka Portuguese,ɛ:ɾʋa,VC.CV,ˈɛɾvɐ,ɛ:ɾ.ʋa,ˈɛɾ.vɐ,ɛ:ɾ,ˈɛɾ,1,1,,erva,grass,Clements2012[37-41],
Sri Lanka Portuguese,ɛ:ɾʋa,VC.CV,ˈɛɾvɐ,ɛ:ɾ.ʋa,ˈɛɾ.vɐ,ʋa,vɐ,2,2,,erva,grass,Clements2012[37-41],
Sri Lanka Portuguese,ʋe:ɾdi,CVC.CV,ˈveɾdɨ,ʋe:ɾ.di,ˈveɾ.dɨ,ʋe:ɾ,ˈveɾ,1,1,,verde,green,Clements2012[37-41],
Sri Lanka Portuguese,ʋe:ɾdi,CVC.CV,ˈveɾdɨ,ʋe:ɾ.di,ˈveɾ.dɨ,di,dɨ,2,2,,verde,green,Clements2012[37-41],
Sri Lanka Portuguese,tɾi:pa,CCV.CV,ˈtɾipɐ,tɾi:.pa,ˈtɾi.pɐ,tɾi:,ˈtɾi,1,1,,tripa,guts,Clements2012[37-41],
Sri Lanka Portuguese,tɾi:pa,CCV.CV,ˈtɾipɐ,tɾi:.pa,ˈtɾi.pɐ,pa,pɐ,2,2,,tripa,guts,Clements2012[37-41],
Sri Lanka Portuguese,kabe:l,CV.CVC,kɐˈbelu,ka.be:l,kɐ.ˈbe.lu,ka,kɐ,1,1,,cabelo,hair,Clements2012[37-41],
Sri Lanka Portuguese,kabe:l,CV.CVC,kɐˈbelu,ka.be:l,kɐ.ˈbe.lu,-,ˈbe,-,2,,cabelo,hair,Clements2012[37-41],
Sri Lanka Portuguese,kabe:l,CV.CVC,kɐˈbelu,ka.be:l,kɐ.ˈbe.lu,be:l,lu,2,3,,cabelo,hair,Clements2012[37-41],
Sri Lanka Portuguese,ma:m,CVC,ˈmɐ̃w̃,ma:m,ˈmɐ̃w̃,ma:m,ˈmɐ̃w̃,1,1,,mão,hand,Clements2012[37-41],
Sri Lanka Portuguese,eli,VCV,ˈeɫɨ,e.li,ˈe.ɫɨ,e,ˈe,1,1,,ele,he,Clements2012[37-41],
Sri Lanka Portuguese,eli,VCV,ˈeɫɨ,e.li,ˈe.ɫɨ,li,ɫɨ,2,2,,ele,he,Clements2012[37-41],
Sri Lanka Portuguese,kabe:sa,CV.CV.CV,kɐˈbesɐ,ka.be:.sa,kɐ.ˈbe.sɐ,ka,kɐˈ,1,1,,cabeça,head,Clements2012[37-41],
Sri Lanka Portuguese,kabe:sa,CV.CV.CV,kɐˈbesɐ,ka.be:.sa,kɐ.ˈbe.sɐ,be:,ˈbe,2,2,,cabeça,head,Clements2012[37-41],
Sri Lanka Portuguese,kabe:sa,CV.CV.CV,kɐˈbesɐ,ka.be:.sa,kɐ.ˈbe.sɐ,sa,sɐ,3,3,,cabeça,head,Clements2012[37-41],
Sri Lanka Portuguese,kaʋasa,CV.CV.CV,kɐˈbesɐ,ka.ʋa.sa,kɐˈ.be.sɐ,ka,kɐˈ,1,1,,cabeça,head,Clements2012[37-41],
Sri Lanka Portuguese,kaʋasa,CV.CV.CV,kɐˈbesɐ,ka.ʋa.sa,kɐˈ.be.sɐ,ʋa,ˈbe,2,2,,cabeça,head,Clements2012[37-41],
Sri Lanka Portuguese,kaʋasa,CV.CV.CV,kɐˈbesɐ,ka.ʋa.sa,kɐˈ.be.sɐ,sa,sɐ,3,3,,cabeça,head,Clements2012[37-41],
Sri Lanka Portuguese,oʋi:,VCV,oˈviɾ,o.ʋi:,o.ˈviɾ,o,oˈ,1,1,,ouvir,hear,Clements2012[37-41],
Sri Lanka Portuguese,oʋi:,VCV,oˈviɾ,o.ʋi:,o.ˈviɾ,ʋi:,viɾ,2,2,,ouvir,hear,Clements2012[37-41],
Sri Lanka Portuguese,koɾsa:m,CVC.CVC,kuɾɐˈsɐ̃w̃,koɾ.sa:m,ku.ɾɐ.ˈsɐ̃w̃,koɾ,ku,1,1,metathesis,coração,heart,Clements2012[37-41],
Sri Lanka Portuguese,koɾsa:m,CVC.CVC,kuɾɐˈsɐ̃w̃,koɾ.sa:m,ku.ɾɐ.ˈsɐ̃w̃,-,ɾɐ,-,2,,coração,heart,Clements2012[37-41],
Sri Lanka Portuguese,koɾsa:m,CVC.CVC,kuɾɐˈsɐ̃w̃,koɾ.sa:m,ku.ɾɐ.ˈsɐ̃w̃,sa:m,ˈsɐ̃w̃,2,3,,coração,heart,Clements2012[37-41],
Sri Lanka Portuguese,peza:du,CV.CV.CV,pɨˈzadu,pe.za:.du,pɨ.ˈza.du,pe,pɨ,1,1,,pesado,heavy,Clements2012[37-41],
Sri Lanka Portuguese,peza:du,CV.CV.CV,pɨˈzadu,pe.za:.du,pɨ.ˈza.du,za:,ˈza,2,2,,pesado,heavy,Clements2012[37-41],
Sri Lanka Portuguese,peza:du,CV.CV.CV,pɨˈzadu,pe.za:.du,pɨ.ˈza.du,du,du,3,3,,pesado,heavy,Clements2012[37-41],
Sri Lanka Portuguese,aki:,VCV,ɐˈki,a.ki:,ɐ.ˈki,a,ɐˈ,1,1,,aqui,here,Clements2012[37-41],
Sri Lanka Portuguese,aki:,VCV,ɐˈki,a.ki:,ɐ.ˈki,ki:,ˈki,2,2,,aqui,here,Clements2012[37-41],
Sri Lanka Portuguese,toma:,CV.CV,tuˈmaɾ,to.ma:,tu.ˈmaɾ,to,tu,1,1,,tomar,hold (take),Clements2012[37-41],
Sri Lanka Portuguese,toma:,CV.CV,tuˈmaɾ,to.ma:,tu.ˈmaɾ,ma:,ˈmaɾ,2,2,,tomar,hold (take),Clements2012[37-41],
Sri Lanka Portuguese,ko:mu,CV.CV,ˈkoɾnu,ko.:mu,ˈkoɾ.nu,ko:,ˈkoɾ,1,1,,corno,horn,Clements2012[37-41],
Sri Lanka Portuguese,ko:mu,CV.CV,ˈkoɾnu,ko.:mu,ˈkoɾ.nu,mu,nu,2,2,,corno,horn,Clements2012[37-41],
Sri Lanka Portuguese,kila:j,CV.CVC,kɨ ˈɫajɐ,ki.la:j,kɨ ˈɫaj.ɐ,ki,kɨ ,1,1,,que laia,how,Clements2012[37-41],
