Language,SourceWord,SourceWord CV,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllabe,TargetSyllabe,PositionSource,PositionTarget,Process,TargetOrthopraphy,Translation,Reference,Notes
Sri Lanka Portuguese,kila:j,CV.CVC,kɨ ˈɫajɐ,ki.la:j,kɨ ˈɫaj.ɐ,-,ˈɫaj,-,2,,que laia,how,Clements2012[37-41],
Sri Lanka Portuguese,kila:j,CV.CVC,kɨ ˈɫajɐ,ki.la:j,kɨ ˈɫaj.ɐ,la:j,ɐ,2,3,,que laia,how,Clements2012[37-41],
Sri Lanka Portuguese,maɾi:du,CV.CV.CV,mɐˈɾidu,ma.ɾi:.du,mɐ.ˈɾi.du,ma,mɐ,1,1,,marido,husband,Clements2012[37-41],
Sri Lanka Portuguese,maɾi:du,CV.CV.CV,mɐˈɾidu,ma.ɾi:.du,mɐ.ˈɾi.du,ɾi:,ˈɾi,2,2,,marido,husband,Clements2012[37-41],
Sri Lanka Portuguese,maɾi:du,CV.CV.CV,mɐˈɾidu,ma.ɾi:.du,mɐ.ˈɾi.du,du,du,3,3,,marido,husband,Clements2012[37-41],
Sri Lanka Portuguese,e:ʋ,VC,ˈew,e:ʋ,ˈew,e:ʋ,ˈew,1,1,,eu,I,Clements2012[37-41],
Sri Lanka Portuguese,se:,CV,sɨ,se:,sɨ,se:,sɨ,1,1,,se,if,Clements2012[37-41],
Sri Lanka Portuguese,ntu,CCV,ˈdẽtɾu,ntu,ˈdẽ.tɾu,ntu,ˈdẽ,1,1,,dentro,inside,Clements2012[37-41],
Sri Lanka Portuguese,ntu,CCV,ˈdẽtɾu,ntu,ˈdẽ.tɾu,-,tɾu,-,2,,dentro,inside,Clements2012[37-41],
Sri Lanka Portuguese,mata:,CV.CV,mɐˈtaɾ,mata:,mɐ.ˈtaɾ,ma,mɐ,1,1,,matar,kill,Clements2012[37-41],
Sri Lanka Portuguese,mata:,CV.CV,mɐˈtaɾ,mata:,mɐ.ˈtaɾ,ta:,ˈtaɾ,2,2,,matar,kill,Clements2012[37-41],
Sri Lanka Portuguese,ind̠ʒuʋej,VC.CV.CVC,ʒuˈeʎu,in.d̠ʒu.ʋej,ʒu.ˈe.ʎu,in,ʒu,1,1,,joelho,knee,Clements2012[37-41],
Sri Lanka Portuguese,ind̠ʒuʋej,VC.CV.CVC,ʒuˈeʎu,in.d̠ʒu.ʋej,ʒu.ˈe.ʎu,d̠ʒu,ˈe,2,2,,joelho,knee,Clements2012[37-41],
Sri Lanka Portuguese,ind̠ʒuʋej,VC.CV.CVC,ʒuˈeʎu,in.d̠ʒu.ʋej,ʒu.ˈe.ʎu,ʋej,ʎu,3,3,,joelho,knee,Clements2012[37-41],
Sri Lanka Portuguese,kunsa,CVC.CV,kuɲɨˈseɾ,kun.sa,ku.ɲɨ.ˈseɾ,kun,ku,1,1,,conhecer,know,Clements2012[37-41],
Sri Lanka Portuguese,kunsa,CVC.CV,kuɲɨˈseɾ,kun.sa,ku.ɲɨ.ˈseɾ,-,ɲɨ,-,2,,conhecer,know,Clements2012[37-41],
Sri Lanka Portuguese,kunsa,CVC.CV,kuɲɨˈseɾ,kun.sa,ku.ɲɨ.ˈseɾ,sa,ˈseɾ,2,3,,conhecer,know,Clements2012[37-41],
Sri Lanka Portuguese,sava,CV.CV,sɐˈbeɾ,sa.va,sɐ.ˈbeɾ,sa,sɐ,1,1,,saber,know,Clements2012[37-41],
Sri Lanka Portuguese,sava,CV.CV,sɐˈbeɾ,sa.va,sɐ.ˈbeɾ,va,ˈbeɾ,2,2,,saber,know,Clements2012[37-41],
Sri Lanka Portuguese,ta:nki,CVC.CV,ˈtɐ̃kɨ,ta:n.ki,ˈtɐ̃.kɨ,ta:n,ˈtɐ̃,1,1,,tanque,lake,Clements2012[37-41],
Sri Lanka Portuguese,ta:nki,CVC.CV,ˈtɐ̃kɨ,ta:n.ki,ˈtɐ̃.kɨ,ki,kɨ,2,2,,tanque,lake,Clements2012[37-41],
Sri Lanka Portuguese,ɾi:,CV,ˈʀiɾ,ɾi:,ˈʀiɾ,ɾi:,ˈʀiɾ,1,1,,rir,laugh,Clements2012[37-41],
Sri Lanka Portuguese,fɔ:ja,CV.CV,ˈfoʎɐ,fɔ.:ja,ˈfo.ʎɐ,fɔ:,ˈfo,1,1,,folha,leaf,Clements2012[37-41],
