Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,TargetOrthography,Translation,SourceWord Length,TargetWord Length,SourceWordSyl Length,TargetWordSyl Length,Word difference,Word bigger,Syl difference,Syl bigger,check white spaces,,,,
Timor Pidgin,ˈnuŋka,ˈnũkɐ,ˈnuŋ.ka,ˈnũ.kɐ,nunca,no,5,5,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,bai,vaj,bai,vaj,vai,go,3,3,1,1,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈpodi,pudeɾ,ˈpo.di,pu.deɾ,poder,can,4,5,2,2,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈfogu,ˈfogu,ˈfo.gu,ˈfo.gu,fogo,fire,4,4,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,boŋ,ˈbõ,boŋ,ˈbõ,bom,good,3,3,1,1,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈpesi,ˈpejʃɨ,ˈpe.si,ˈpej.ʃɨ,peixe,fish,4,5,2,2,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ɔzi,ˈoʒɨ,ɔ.zi,ˈo.ʒɨ,hoje,today,3,3,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,miˈza,miˈʒaɾ,mi.ˈza,mi.ˈʒaɾ,mijar,urinate,4,5,2,2,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈkezu,ˈkɐjʒu,ˈke.zu,ˈkɐj.ʒu,queijo,cheese,4,5,2,2,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈkransa,kɾiˈɐ̃sɐ,ˈkran.sa,kɾi.ˈɐ̃.sɐ,criança,child,6,7,2,3,-1,Target,-1,Target,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
