Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl,TargetWordSyl,SourceWordLength,TargetWordLength,SourceWordSylLength,TargetWordSylLength,WordDiff,WordBigger,SyllDiff,SylNumBigger,PositionSource,PositionTarget,SimplePositionSource,SimplePositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Casamancese,woˈreɟa,oˈɾɐʎɐ,wo.ˈre.ɟa,o.ˈɾɐ.ʎɐ,wo,o,3,3,6,5,3,3,1,Source,0,Equal,1,1,Medial,Medial,prothesis,orelha,ear,Biagui2012[106],
Casamancese,naˈris,nɐˈɾiʃ,na.ˈris,nɐ.ˈɾiʃ,na,nɐ,2,2,5,5,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,nariz,nose,Biagui2012[16],
Casamancese,ˈboka,ˈbokɐ,ˈbo.ka,ˈbo.kɐ,ˈbo,ˈbo,2,2,4,4,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,boca,mouth,Biagui2012[16],
Casamancese,ˈdinti,ˈdẽtɨ,ˈdi.nti,ˈdẽ.tɨ,ˈdi,ˈdẽ,2,2,5,5,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,dente,tooth,Biagui2012[32],
Casamancese,liɲgu,ˈɫĩgwɐ,li.ɲgu,ˈɫĩ.gwɐ,li,ˈɫĩ,2,2,5,6,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,língua,tongue,Biagui2012[181],
Casamancese,ˈɲuɲa,ˈuɲɐ,ˈɲu.ɲa,ˈu.ɲɐ,ˈɲu,ˈu,2,2,4,3,2,2,1,Source,0,Equal,1,1,Medial,Medial,prothesis,unha,fingernail,Biagui2012[62],
Casamancese,ˈãsa,ˈazɐ,ˈã.sa,ˈa.zɐ,ˈã,ˈa,2,2,3,3,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,asa,wing,Biagui2012[45],
Casamancese,baˈriga,baˈʁigɐ,ba.ˈri.ga,ba.ˈʁi.gɐ,ba,ba,3,3,6,6,3,3,0,Equal,0,Equal,1,1,Medial,Medial,,"barriga, ventre",belly,Biagui2012[20],
Casamancese,ˈkosta,ˈkoʃtɐʃ,ˈkos.ta,ˈkoʃ.tɐʃ,ˈkos,ˈkoʃ,2,2,5,6,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,"costas, dorso",back,Biagui2012[32],
Casamancese,ˈpitu,ˈpɐjtu,ˈpi.tu,ˈpɐj.tu,ˈpi,ˈpɐj,2,2,4,5,2,2,-1,Target,0,Equal,1,1,Medial,Medial,syncope,"peito, seio",breast,Biagui2012[33],
