SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,TargetOrthopraphy,Translation,Reference,Notes,NumberSylSource,NumberSylTarget,TemplateSylSource,TemplateSylTarget,SourceWordLength,TargetWordLength,WordDiff,WordBigger,SourceWordSyl,TargetWordSyl,SylDiff,SylBigger
nada:,nɐˈdaɾ,na.da:,nɐ.ˈdaɾ,nadar,float,Clements2012[37-41],,,,,,5,5,0,Equal,2,2,0,Equal
fu:la,ˈfloɾ,fu:.la,ˈfloɾ,flor,flower,Clements2012[37-41],,,,,,5,4,1,Source,2,1,1,Source
awga:,vuˈaɾ,aw.ga:,vu.ˈaɾ,voar,fly,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
uɾuʋaj:a,ɔrvɐˈʎar,u.ɾu.ʋa.j:a,ɔr.vɐ.ˈʎar,nevoeiro,fog,Clements2012[37-41],,,,,,8,7,1,Source,4,3,1,Source
pe:,ˈpɛ,pe:,ˈpɛ,pé,foot,Clements2012[37-41],,,,,,3,2,1,Source,1,1,0,Equal
ka:tɾu,ˈkwatɾu,ka.:tɾu,ˈkwa.tɾu,quatro,four,Clements2012[37-41],,,,,,6,6,0,Equal,2,2,0,Equal
fɾʋi:ta,ˈfɾutɐ,fɾʋi.:ta,ˈfɾu.tɐ,fruta,fruit,Clements2012[37-41],,,,,,7,5,2,Source,2,2,0,Equal
int̠ʃi:du,ẽˈʃidu,in.t̠ʃi.:du,ẽ.ˈʃi.du,enchido,full,Clements2012[37-41],,,,,,7,6,1,Source,3,3,0,Equal
da:,ˈdaɾ,da:,ˈdaɾ,dar,give,Clements2012[37-41],,,,,,3,3,0,Equal,1,1,0,Equal
bo:m,bõ,bo:m,bõ,bom,good,Clements2012[37-41],,,,,,4,3,1,Source,1,1,0,Equal
ɛ:ɾʋa,ˈɛɾvɐ,ɛ:ɾ.ʋa,ˈɛɾ.vɐ,erva,grass,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
ʋe:ɾdi,ˈveɾdɨ,ʋe:ɾ.di,ˈveɾ.dɨ,verde,green,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
tɾi:pa,ˈtɾipɐ,tɾi:.pa,ˈtɾi.pɐ,tripa,guts,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
kabe:l,kɐˈbelu,ka.be:l,kɐ.ˈbe.lu,cabelo,hair,Clements2012[37-41],,,,,,6,6,0,Equal,2,3,-1,Target
ma:m,ˈmɐ̃w̃,ma:m,ˈmɐ̃w̃,mão,hand,Clements2012[37-41],,,,,,4,5,-1,Target,1,1,0,Equal
eli,ˈeɫɨ,e.li,ˈe.ɫɨ,ele,he,Clements2012[37-41],,,,,,3,3,0,Equal,2,2,0,Equal
kabe:sa,kɐˈbesɐ,ka.be:.sa,kɐ.ˈbe.sɐ,cabeça,head,Clements2012[37-41],,,,,,7,6,1,Source,3,3,0,Equal
kaʋasa,kɐˈbesɐ,ka.ʋa.sa,kɐˈ.be.sɐ,cabeça,head,Clements2012[37-41],,,,,,6,6,0,Equal,3,3,0,Equal
oʋi:,oˈviɾ,o.ʋi:,o.ˈviɾ,ouvir,hear,Clements2012[37-41],,,,,,4,4,0,Equal,2,2,0,Equal
koɾsa:m,kuɾɐˈsɐ̃w̃,koɾ.sa:m,ku.ɾɐ.ˈsɐ̃w̃,coração,heart,Clements2012[37-41],,,,,,7,9,-2,Target,2,3,-1,Target
peza:du,pɨˈzadu,pe.za:.du,pɨ.ˈza.du,pesado,heavy,Clements2012[37-41],,,,,,7,6,1,Source,3,3,0,Equal
aki:,ɐˈki,a.ki:,ɐ.ˈki,aqui,here,Clements2012[37-41],,,,,,4,3,1,Source,2,2,0,Equal
toma:,tuˈmaɾ,to.ma:,tu.ˈmaɾ,tomar,hold (take),Clements2012[37-41],,,,,,5,5,0,Equal,2,2,0,Equal
ko:mu,ˈkoɾnu,ko.:mu,ˈkoɾ.nu,corno,horn,Clements2012[37-41],,,,,,5,5,0,Equal,2,2,0,Equal
kila:j,kɨ ˈɫajɐ,ki.la:j,kɨ ˈɫaj.ɐ,que laia,how,Clements2012[37-41],,,,,,6,7,-1,Target,2,2,0,Equal
maɾi:du,mɐˈɾidu,ma.ɾi:.du,mɐ.ˈɾi.du,marido,husband,Clements2012[37-41],,,,,,7,6,1,Source,3,3,0,Equal
e:ʋ,ˈew,e:ʋ,ˈew,eu,I,Clements2012[37-41],,,,,,3,2,1,Source,1,1,0,Equal
se:,sɨ,se:,sɨ,se,if,Clements2012[37-41],,,,,,3,2,1,Source,1,1,0,Equal
ntu,ˈdẽtɾu,ntu,ˈdẽ.tɾu,dentro,inside,Clements2012[37-41],,,,,,3,6,-3,Target,1,2,-1,Target
mata:,mɐˈtaɾ,mata:,mɐ.ˈtaɾ,matar,kill,Clements2012[37-41],,,,,,5,5,0,Equal,1,2,-1,Target
ind̠ʒuʋej,ʒuˈɐʎu,in.d̠ʒu.ʋej,ʒu.ˈɐ.ʎu,joelho,knee,Clements2012[37-41],,,,,,7,5,2,Source,3,3,0,Equal
kunsa,kuɲɨˈseɾ,kun.sa,ku.ɲɨ.ˈseɾ,conhecer,know,Clements2012[37-41],,,,,,5,7,-2,Target,2,3,-1,Target
sava,sɐˈbeɾ,sa.va,sɐ.ˈbeɾ,saber,know,Clements2012[37-41],,,,,,4,5,-1,Target,2,2,0,Equal
ta:nki,ˈtɐ̃kɨ,ta:n.ki,ˈtɐ̃.kɨ,tanque,lake,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
ɾi:,ˈʀiɾ,ɾi:,ˈʀiɾ,rir,laugh,Clements2012[37-41],,,,,,3,3,0,Equal,1,1,0,Equal
