Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl,TargetWordSylLength,PositionSource,Position Target,Simple PositionSource,Simple PositionTarget,Previous source,Next source,Previous target,Next target,Process,TargetOrthography,Translation,Reference,Notes
Angolar,ˈsopɐ,ˈsopɐ,ˈso.pɐ,ˈso.pɐ,pɐ,pɐ,2,2,2,2,Final,Final,ˈso,2,ˈso,2,,sopa,soup,Bandeira2017[366-412],
Angolar,viˈnagi,viˈnagɾɨ,viˈ.na.gi,viˈ.na.gɾɨ,viˈ,viˈ,3,3,1,1,Initial,Initial,0,na,0,na,,vinagre,vinegar,Bandeira2017[366-412],
Angolar,viˈnagi,viˈnagɾɨ,viˈ.na.gi,viˈ.na.gɾɨ,na,na,3,3,2,2,Medial,Medial,viˈ,gi,viˈ,gɾɨ,,vinagre,vinegar,Bandeira2017[366-412],
Angolar,viˈnagi,viˈnagɾɨ,viˈ.na.gi,viˈ.na.gɾɨ,gi,gɾɨ,3,3,3,3,Final,Final,na,3,na,3,,vinagre,vinegar,Bandeira2017[366-412],
Angolar,ˈkɔkɔ,ˈkoɾnu,ˈkɔ.kɔ,ˈkoɾ.nu,ˈkɔ,ˈkoɾ,2,2,1,1,Initial,Initial,0,kɔ,0,nu,,corno,horn,Bandeira2017[366-412],
Angolar,ˈkɔkɔ,ˈkoɾnu,ˈkɔ.kɔ,ˈkoɾ.nu,kɔ,nu,2,2,2,2,Final,Final,ˈkɔ,2,ˈkoɾ,2,,corno,horn,Bandeira2017[366-412],
Angolar,ˈbɛgɐ,bɐˈʀigɐ,ˈbɛ.gɐ,bɐˈ.ʀi.gɐ,ˈbɛ,bɐˈ,2,3,1,1,Initial,Initial,0,-,0,ʀi,,barriga,belly,Bandeira2017[366-412],
Angolar,ˈbɛgɐ,bɐˈʀigɐ,ˈbɛ.gɐ,bɐˈ.ʀi.gɐ,-,ʀi,2,3,-,2,-,Medial,ˈbɛ,gɐ,bɐˈ,gɐ,,barriga,belly,Bandeira2017[366-412],
Angolar,ˈbɛgɐ,bɐˈʀigɐ,ˈbɛ.gɐ,bɐˈ.ʀi.gɐ,gɐ,gɐ,2,3,2,3,Final,Final,-,2,ʀi,3,,barriga,belly,Bandeira2017[366-412],
Angolar,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.ɡɐ.du,ˈfi,ˈfi,3,3,1,1,Initial,Initial,0,ga,0,ɡɐ,,fígado,liver,Bandeira2017[366-412],
Angolar,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.ɡɐ.du,ga,ɡɐ,3,3,2,2,Medial,Medial,ˈfi,du,ˈfi,du,,fígado,liver,Bandeira2017[366-412],
Angolar,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.ɡɐ.du,du,du,3,3,3,3,Final,Final,ga,3,ɡɐ,3,,fígado,liver,Bandeira2017[366-412],
