Language;SourceWord;TargetWord;SourceWord Syl;TargetWord Syl;Source word length;Target word length;SourceWord Syl length;TargetWord Syl length;Word diff;Word bigger;Syll diff;SylNum bigger;Encontra espaço da erro;TargetOrthography;Translation;Reference;Notes
Korlai;kume;kuˈmeɾ;ku.me;ku.ˈmeɾ;4;5;2;2;-1;Target;0;Equal;#VALUE!;comer;eat;Clements2012[37-41];
Korlai;kai;kɐˈiɾ;kai;kɐ.ˈiɾ;3;4;1;2;-1;Target;-1;Target;#VALUE!;cair;fall;Clements2012[37-41];
Korlai;pɛn;ˈpenɐ;pɛn;ˈpe.nɐ;3;4;1;2;-1;Target;-1;Target;#VALUE!;pena;feather;Clements2012[37-41];
Korlai;pok;ˈpoku;pok;ˈpo.ku;3;4;1;2;-1;Target;-1;Target;#VALUE!;pouco;few;Clements2012[37-41];
Korlai;luta;luˈtaɾ;lu.ta;lu.ˈtaɾ;4;5;2;2;-1;Target;0;Equal;#VALUE!;lutar;fight;Clements2012[37-41];
Korlai;fog;ˈfoɡu;fog;ˈfo.ɡu;3;4;1;2;-1;Target;-1;Target;#VALUE!;fogo;fire;Clements2012[37-41];
Korlai;peʃ;ˈpejʃɨ;peʃ;ˈpej.ʃɨ;3;5;1;2;-2;Target;-1;Target;#VALUE!;peixe;fish;Clements2012[37-41];
Korlai;sink;ˈsĩku;sink;ˈsĩ.ku;4;4;1;2;0;Equal;-1;Target;#VALUE!;cinco;five;Clements2012[37-41];
Korlai;ful;ˈfloɾ;ful;ˈfloɾ;3;4;1;1;-1;Target;0;Equal;#VALUE!;flor;flower;Clements2012[37-41];
Korlai;awga;vuˈaɾ;aw.ga;vu.ˈaɾ;4;4;2;2;0;Equal;0;Equal;#VALUE!;voar;fly;Clements2012[37-41];
Korlai;ʋɛɾd;ˈveɾdɨ;ʋɛɾd;ˈveɾ.dɨ;4;5;1;2;-1;Target;-1;Target;#VALUE!;verde;green;Clements2012[37-41];
Korlai;tɾip;ˈtɾipɐ;tɾip;ˈtɾi.pɐ;4;5;1;2;-1;Target;-1;Target;#VALUE!;tripa;guts;Clements2012[37-41];
Korlai;kabel;kɐˈbelu;ka.bel;kɐˈ.be.lu;5;6;2;3;-1;Target;-1;Target;#VALUE!;cabelo;hair;Clements2012[37-41];
Korlai;kabes;kɐˈbesɐ;ka.bes;kɐ.ˈbe.sɐ;5;6;2;3;-1;Target;-1;Target;#VALUE!;cabeça;head;Clements2012[37-41];
Korlai;koɾsãw;kuɾɐˈsɐ̃w̃;koɾ.sãw;ku.ɾɐ.ˈsɐ̃w̃;6;9;2;3;-3;Target;-1;Target;#VALUE!;coração;heart;Clements2012[37-41];
Korlai;ʃiŋ;ˈʃifɾɨ;ʃiŋ;ˈʃi.fɾɨ;3;5;1;2;-2;Target;-1;Target;#VALUE!;chifre;horn;Clements2012[37-41];
Korlai;maɾid;mɐˈɾidu;ma.ɾid;mɐ.ˈɾi.du;5;6;2;3;-1;Target;-1;Target;#VALUE!;marido;husband;Clements2012[37-41];
Korlai;mata;mɐˈtaɾ;ma.ta;mɐ.ˈtaɾ;4;5;2;2;-1;Target;0;Equal;#VALUE!;matar;kill;Clements2012[37-41];
Korlai;kwise;kuɲɨˈseɾ;kwi.se;ku.ɲɨ.ˈseɾ;5;7;2;3;-2;Target;-1;Target;#VALUE!;conhecer;know;Clements2012[37-41];
Korlai;sabe;sɐˈbeɾ;sa.be;sɐ.ˈbeɾ;4;5;2;2;-1;Target;0;Equal;#VALUE!;saber;know;Clements2012[37-41];
