Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceWordSyllabe,TargetWordSyllabe,PositionSource,PositionTarget,SourceWord Length,TargetWord Length,SourceWordSyl Length,TargetWordSyl Length,Word diff,Word bigger,Syll diff,SylNum bigger
Principense,kɔ̃ˈta,ẽkõˈtɾaɾ,kɔ̃.ˈta,ẽ.kõ.ˈtɾaɾ,ˈta,ˈtɾaɾ,2,3,5,9,2,3,-4,Target,-1,Target
Principense,koˈre,ku'ʀeɾ,ko.ˈre,ku.'ʀeɾ,ˈre,ʀeɾ,2,2,4,6,2,2,-2,Target,0,Equal
Principense,kɔˈta,kuɾˈtaɾ,kɔ.ˈta,kuɾ.ˈtaɾ,ˈta,ˈtaɾ,2,2,4,6,2,2,-2,Target,0,Equal
Principense,kɔˈsa,kuˈsaɾ,kɔ.ˈsa,ku.ˈsaɾ,ˈsa,ˈsaɾ,2,2,4,5,2,2,-1,Target,0,Equal
Principense,koˈze,kuˈzeɾ,ko.ˈze,ku.ˈzeɾ,ˈze,ˈzeɾ,2,2,4,5,2,2,-1,Target,0,Equal
Principense,kuˈbi,kuˈbɾiɾ,ku.ˈbi,ku.ˈbɾiɾ,ˈbi,ˈbɾiɾ,2,2,4,6,2,2,-2,Target,0,Equal
Principense,kuˈda,kujˈdaɾ,ku.ˈda,kuj.ˈdaɾ,ku,kuj,1,1,4,6,2,2,-2,Target,0,Equal
Principense,kuˈdi,ɐkuˈdiɾ,ku.ˈdi,ɐ.ku.ˈdiɾ,ˈdi,ˈdiɾ,2,3,4,6,2,3,-2,Target,-1,Target
Principense,kuˈpa,kulˈpaɾ,ku.ˈpa,kul.ˈpaɾ,ˈpa,ˈpaɾ,2,2,4,6,2,2,-2,Target,0,Equal
Principense,kuˈmɛ,kuˈmeɾ,ku.ˈmɛ,ku.ˈmeɾ,ˈmɛ,ˈmeɾ,2,2,4,5,2,2,-1,Target,0,Equal
Principense,kuˈpi,kuʃˈpiɾ,ku.ˈpi,kuʃ.ˈpiɾ,ˈpi,ˈpiɾ,2,2,4,6,2,2,-2,Target,0,Equal
Principense,kuˈra,kuˈɾaɾ,ku.ˈra,ku.ˈɾaɾ,ˈra,ˈɾaɾ,2,2,4,5,2,2,-1,Target,0,Equal
Principense,kuˈʒi,kuˈzeɾ,ku.ˈʒi,ku.ˈzeɾ,ˈʒi,ˈzeɾ,2,2,4,5,2,2,-1,Target,0,Equal
Principense,laˈva,lɐˈvaɾ,la.ˈva,lɐ.ˈvaɾ,ˈva,ˈvaɾ,2,2,4,5,2,2,-1,Target,0,Equal
Principense,lɐ̃ˈda,nɐˈdaɾ,lɐ̃.ˈda,nɐ.ˈdaɾ,ˈda,ˈdaɾ,2,2,5,5,2,2,0,Equal,0,Equal
Principense,lɐ̃ˈsa,lɐ̃ˈsaɾ,lɐ̃.ˈsa,lɐ̃.ˈsaɾ,ˈsa,ˈsaɾ,2,2,5,6,2,2,-1,Target,0,Equal
Principense,laˈta,lɨvɐ̃ˈtaɾ,la.ˈta,lɨ.vɐ̃.ˈtaɾ,ˈta,ˈtaɾ,2,3,4,8,2,3,-4,Target,-1,Target
Principense,lɔˈlɔ,lɐ̃ˈbeɾ,lɔ.ˈlɔ,lɐ̃.ˈbeɾ,ˈlɔ,ˈbeɾ,2,2,4,6,2,2,-2,Target,0,Equal
Principense,luˈʒi,luˈziɾ,lu.ˈʒi,lu.ˈziɾ,ˈʒi,ˈziɾ,2,2,4,5,2,2,-1,Target,0,Equal
Principense,maˈra,ɐmaˈʀaɾ,ma.ˈra,ɐ.ma.ˈʀaɾ,ˈra,ˈʀaɾ,2,3,4,6,2,3,-2,Target,-1,Target
Principense,ˈmɛ̃du,tɾɨˈmẽdu,ˈmɛ̃.du,tɾɨ.ˈmẽ.du,du,du,2,3,5,8,2,3,-3,Target,-1,Target
Principense,meˈse,mɨɾɨˈseɾ,me.ˈse,mɨ.ɾɨ.ˈseɾ,ˈse,ˈseɾ,2,3,4,7,2,3,-3,Target,-1,Target
Principense,mĩˈgwa,mĩˈgwaɾ,mĩ.ˈgwa,mĩ.ˈgwaɾ,ˈgwa,ˈgwaɾ,2,2,6,7,2,2,-1,Target,0,Equal
Principense,moˈde,muɾˈdeɾ,mo.ˈde,muɾ.ˈdeɾ,ˈde,ˈdeɾ,2,2,4,6,2,2,-2,Target,0,Equal
Principense,ˈgɐ̃,gɐˈɲaɾ,ˈgɐ̃,gɐ.ˈɲaɾ,-,ˈɲaɾ,-,2,3,5,1,2,-2,Target,-1,Target
Principense,ŋgɔˈma,ẽguˈmaɾ,ŋgɔ.ˈma,ẽ.gu.ˈmaɾ,ˈma,ˈmaɾ,2,3,5,7,2,3,-2,Target,-1,Target
Principense,gumiˈta,vumiˈtaɾ,gu.mi.ˈta,vu.mi.ˈtaɾ,ˈta,ˈtaɾ,3,3,6,7,3,3,-1,Target,0,Equal
Principense,ntɛˈra,ẽtɨˈʀaɾ,ntɛ.ˈra,ẽ.tɨ.ˈʀaɾ,ˈra,ˈʀaɾ,2,3,5,7,2,3,-2,Target,-1,Target
Principense,obiˈga,obɾiˈgaɾ,o.bi.ˈga,o.bɾi.ˈgaɾ,ˈga,ˈgaɾ,3,3,5,7,3,3,-2,Target,0,Equal
Principense,paˈga,ɐpɐˈgaɾ,pa.ˈga,ɐ.pɐ.ˈgaɾ,ˈga,ˈgaɾ,2,3,4,6,2,3,-2,Target,-1,Target
Principense,paˈpa,pɐˈpaɾ,pa.ˈpa,pɐ.ˈpaɾ,ˈpa,ˈpaɾ,2,2,4,5,2,2,-1,Target,0,Equal
Principense,pareˈse,ɐpɐɾɨˈseɾ,pa.re.ˈse,ɐ.pɐ.ɾɨ.ˈseɾ,ˈse,ˈseɾ,3,4,6,8,3,4,-2,Target,-1,Target
Principense,piˈdi,pɨˈdiɾ,pi.ˈdi,pɨ.ˈdiɾ,ˈdi,ˈdiɾ,2,2,4,5,2,2,-1,Target,0,Equal
Principense,piˈka,piˈkaɾ,pi.ˈka,pi.ˈkaɾ,ˈka,ˈkaɾ,2,2,4,5,2,2,-1,Target,0,Equal
Principense,pĩˈsa,ẽpuˈʀaɾ,pĩ.ˈsa,ẽ.pu.ˈʀaɾ,ˈsa,ˈʀaɾ,2,3,5,7,2,3,-2,Target,-1,Target
Principense,pɛˈga,pɾɨˈgaɾ,pɛ.ˈga,pɾɨ.ˈgaɾ,ˈga,ˈgaɾ,2,2,4,6,2,2,-2,Target,0,Equal
Principense,peˈde,pɨɾˈdeɾ,pe.ˈde,pɨɾ.ˈdeɾ,ˈde,ˈdeɾ,2,2,4,6,2,2,-2,Target,0,Equal
Principense,pɛˈsa,ẽpɾɨʃˈtaɾ,pɛ.ˈsa,ẽ.pɾɨʃ.ˈtaɾ,ˈsa,ˈtaɾ,2,3,4,9,2,3,-5,Target,-1,Target
Principense,pu:ˈga,puɾ'gaɾ,pu:.ˈga,puɾ.ˈgaɾ,ˈga,ˈgaɾ,2,2,5,7,2,2,-2,Target,0,Equal
Principense,raˈla,ʀɐˈlaɾ,ra.ˈla,ʀɐ.ˈlaɾ,ˈla,ˈlaɾ,2,2,4,5,2,2,-1,Target,0,Equal
Principense,rɐ̃ˈka,aʀɐ̃ˈkaɾ,rɐ̃.ˈka,a.ʀɐ̃.ˈkaɾ,ˈka,ˈkaɾ,2,3,5,7,2,3,-2,Target,-1,Target
Principense,rɛˈma,ʀɨˈmaɾ,rɛ.ˈma,ʀɨ.ˈmaɾ,ˈma,ˈmaɾ,2,2,4,5,2,2,-1,Target,0,Equal
Principense,reˈge,iɾˈgeɾ,re.ˈge,iɾ.ˈgeɾ,re,iɾ,1,1,4,5,2,2,-1,Target,0,Equal
Principense,rɔ̃ˈka,ʀõˈkaɾ,rɔ̃.ˈka,ʀõ.ˈkaɾ,ˈka,ˈkaɾ,2,2,5,6,2,2,-1,Target,0,Equal
Principense,ruˈma,aʀuˈmaɾ,ru.ˈma,a.ʀu.ˈmaɾ,ˈma,ˈmaɾ,2,3,4,6,2,3,-2,Target,-1,Target
Principense,saˈgwa,ẽʃɐˈgwaɾ,sa.ˈgwa,ẽ.ʃɐ.ˈgwaɾ,ˈgwa,ˈgwaɾ,2,3,5,8,2,3,-3,Target,-1,Target
Principense,ˈsa:,puˈʃaɾ,ˈsa:,pu.ˈʃaɾ,ˈsa:,pu,1,1,3,5,1,2,-2,Target,-1,Target
