Language,SourceWord,TargetWord,SourceWordSyllable,TargetWordSyylable,TargetOrthography,Translation,SourceWword Length,TargetWord Length,SourceWordSyl Length, TargetWordSyl Length,Word difference,word bigger,Syl difference ,Syl bigger
Fa d’Ambo,ˈmudu,ˈmudu,ˈmu.du,ˈmu.du,mudo,mute,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,niˈmigu,iniˈmigu,ni.ˈmi.gu,i.ni.ˈmi.gu,inimigo,enemy,6,7,3,4,-1,Target,-1,Target
Fa d’Ambo,ˈpobili,ˈpɔbɾɨ,ˈpo.bi.li,ˈpɔ.bɾɨ,pobre,poor,6,5,3,2,1,Source,1,Source
Fa d’Ambo,podeˈlozo,pudɨˈɾozu,po.de.ˈlo.zo,pu.dɨ.ˈɾo.zu,poderoso,powerful,8,8,4,4,0,Equal,0,Equal
Fa d’Ambo,ˈliku,ˈʀiku,ˈli.ku,ˈʀi.ku,rico,rich,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈlizu,ˈʀiʒu,ˈli.zu,ˈʀi.ʒu,rijo,hard,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈsɛgu,ˈsɛɡu,ˈsɛ.gu,ˈsɛ.ɡu,cego,blind,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,soˈxadu,sɨˈkadu,so.ˈxa.du,sɨ.ˈka.du,"""secado"" enxuto",lean,6,6,3,3,0,Equal,0,Equal
Fa d’Ambo,suˈpɛtu,ɨʃˈpɛɾtu,su.ˈpɛ.tu,ɨʃ.ˈpɛɾ.tu,esperto,clever,6,7,3,3,-1,Target,0,Equal
Fa d’Ambo,ˈvɛ,ˈvɛʎu,ˈvɛ,ˈvɛ.ʎu,velho,old,2,4,1,2,-2,Target,-1,Target
Fa d’Ambo,ˈzuda,pɨˈsoɐ,ˈzu.da,pɨ.ˈso.ɐ,pessoa,person,4,5,2,3,-1,Target,-1,Target
Fa d’Ambo,ˈdɛiʃ,ˈdɛʃ,ˈdɛ.iʃ,ˈdɛʃ,dez,ten,4,3,2,1,1,Source,1,Source
Fa d’Ambo,ˈdosu,ˈdojʃ,ˈdo.su,ˈdojʃ,dois,two,4,4,2,1,0,Equal,1,Source
Fa d’Ambo,ˈxatulu,ˈkwatɾu,ˈxa.tu.lu,ˈkwa.tɾu,quatro,four,6,6,3,2,0,Equal,1,Source
Fa d’Ambo,mɛˈtad̠ʒi,mɨˈtadɨ,mɛ.ˈta.d̠ʒi,mɨ.ˈta.dɨ,metade,half,6,6,3,3,0,Equal,0,Equal
Fa d’Ambo,ˈnɔvi,ˈnɔvɨ,ˈnɔ.vi,ˈnɔ.vɨ,nove,nine,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,piˈmelu,pɾiˈmɐjɾu,pi.ˈme.lu,pɾi.ˈmɐj.ɾu,primeiro,first,6,8,3,3,-2,Target,0,Equal
Fa d’Ambo,ˈseiʃ,ˈsejʃ,ˈse.iʃ,ˈsejʃ,seis,six,4,4,2,1,0,Equal,1,Source
Fa d’Ambo,ˈsɛtɛ,ˈsɛtɨ,ˈsɛ.tɛ,ˈsɛ.tɨ,sete,seven,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈʃĩku,ˈsĩku,ˈʃĩ.ku,ˈsĩ.ku,cinco,five,5,4,2,2,1,Source,0,Equal
Fa d’Ambo,ˈte:ʃi,ˈtɾeʃ,ˈte:.ʃi,ˈtɾeʃ,três,three,5,4,2,1,1,Source,1,Source
Fa d’Ambo,ˈũ,ˈũ,ˈũ,ˈũ,um,one,2,2,1,1,0,Equal,0,Equal
Fa d’Ambo,ˈɔ:tu,ˈojtu,ˈɔ.:tu,ˈoj.tu,oito,eight,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,aˈbi,ɐˈbɾiɫ,a.ˈbi,ɐ.ˈbɾiɫ,março,April,3,5,2,2,-2,Target,0,Equal
Fa d’Ambo,aˈgoto,ɐˈgoʃtu,a.ˈgo.to,ɐ.ˈgoʃ.tu,junho,August,5,6,3,3,-1,Target,0,Equal
