Language,SourceWord,SourceWord CV,TargetWord,SourceWordSyl,TargetWordSyl,SourceWordSyllabe,TargetWordSyllabe,PositionSource,PositionTarget,Process,TargetOrthography,Translation,References,Notes
Principense,suˈgadu,CV'CVCV,ẽʃuˈgadu,su.ˈga.du,ẽ.ʃu.ˈga.du,du,du,3,4,,enxugado,lean,Bandeira2017[366-412],
Principense,ˈsumi,CVCV,siˈumɨ,ˈsu.mi,si.ˈu.mɨ,ˈsu,si,1,1,metathesis,ciumento,jealous,Bandeira2017[366-412],
Principense,ˈsumi,CVCV,siˈumɨ,ˈsu.mi,si.ˈu.mɨ,-,ˈu,-,2,,ciumento,jealous,Bandeira2017[366-412],
Principense,ˈsumi,CVCV,siˈumɨ,ˈsu.mi,si.ˈu.mɨ,mi,mɨ,2,3,,ciumento,jealous,Bandeira2017[366-412],
Principense,suˈpɛtu,CV'CVCV,ʃˈpeɾtu,su.ˈpɛ.tu,ʃ.ˈpeɾ.tu,su,ʃ,1,1,,esperto,clever,Bandeira2017[366-412],
Principense,suˈpɛtu,CV'CVCV,ʃˈpeɾtu,su.ˈpɛ.tu,ʃ.ˈpeɾ.tu,ˈpɛ,ˈpeɾ,2,2,,esperto,clever,Bandeira2017[366-412],
Principense,suˈpɛtu,CV'CVCV,ʃˈpeɾtu,su.ˈpɛ.tu,ʃ.ˈpeɾ.tu,tu,tu,3,3,,esperto,clever,Bandeira2017[366-412],
Principense,t̠ʃɔkɔˈlɔ,CVCV'CV,pɨˈkenu,t̠ʃɔ.kɔ.ˈlɔ,pɨ.ˈke.nu,,,,,,pequeno,small,Bandeira2017[366-412],Not of portuguese origin
Principense,ˈvɛ,CV,ˈveʎu,ˈvɛ,ˈve.ʎu,ˈvɛ,ˈve,1,1,metathesis,velho,old,Bandeira2017[366-412],
Principense,ˈvɛ,CV,ˈveʎu,ˈvɛ,ˈve.ʎu,-,ʎu,-,2,,velho,old,Bandeira2017[366-412],
Principense,ˈzɛdu,CVCV,ɐˈzedu,ˈzɛ.du,ɐ.ˈze.du,-,ɐ,-,1,metathesis,azedo,sour,Bandeira2017[366-412],
Principense,ˈzɛdu,CVCV,ɐˈzedu,ˈzɛ.du,ɐ.ˈze.du,ˈzɛ,ˈze,1,2,,azedo,sour,Bandeira2017[366-412],
Principense,ˈzɛdu,CVCV,ɐˈzedu,ˈzɛ.du,ɐ.ˈze.du,du,du,2,3,,azedo,sour,Bandeira2017[366-412],
Principense,ˈzudɐ,CVCV,pɨˈsoɐ,ˈzu.dɐ,pɨ.ˈso.ɐ,,,,,,pessoa,person,Bandeira2017[366-412],Not of portuguese origin
Principense,ˈdɛʃi,CVCV,ˈdeʃ,ˈdɛ.ʃi,ˈdeʃ,ˈdɛ,ˈdeʃ,1,1,,dez,ten,Bandeira2017[366-412],
Principense,ˈdɛʃi,CVCV,ˈdeʃ,ˈdɛ.ʃi,ˈdeʃ,ʃi,-,2,-,,dez,ten,Bandeira2017[366-412],
Principense,ˈdosu,CVCV,ˈdojʃ,ˈdo.su,ˈdojʃ,ˈdo,ˈdojʃ,1,1,,dois,two,Bandeira2017[366-412],
Principense,ˈdosu,CVCV,ˈdojʃ,ˈdo.su,ˈdojʃ,su,-,2,-,,dois,two,Bandeira2017[366-412],
Principense,ˈkwatu,CGVCV,ˈkwatɾu,ˈkwa.tu,ˈkwa.tɾu,ˈkwa,ˈkwa,1,1,,quatro,four,Bandeira2017[366-412],
Principense,ˈkwatu,CGVCV,ˈkwatɾu,ˈkwa.tu,ˈkwa.tɾu,tu,tɾu,2,2,,quatro,four,Bandeira2017[366-412],
Principense,ˈlitu,CVCV,ˈlitɾu,ˈli.tu,ˈli.tɾu,ˈli,ˈli,1,1,,litro,litre,Bandeira2017[366-412],
Principense,ˈlitu,CVCV,ˈlitɾu,ˈli.tu,ˈli.tɾu,tu,tɾu,2,2,,litro,litre,Bandeira2017[366-412],
Principense,mɛˈtɛdi,CV'CVCV,mɨˈtadɨ,mɛ.ˈtɛ.di,mɨ.ˈta.dɨ,mɛ,mɨ,1,1,assimilation,metade,half,Bandeira2017[366-412],
Principense,mɛˈtɛdi,CV'CVCV,mɨˈtadɨ,mɛ.ˈtɛ.di,mɨ.ˈta.dɨ,ˈtɛ,ˈta,2,2,,metade,half,Bandeira2017[366-412],
Principense,mɛˈtɛdi,CV'CVCV,mɨˈtadɨ,mɛ.ˈtɛ.di,mɨ.ˈta.dɨ,di,dɨ,3,3,,metade,half,Bandeira2017[366-412],
Principense,ˈnɔvɛ,CVCV,ˈnovɨ,ˈnɔ.vɛ,ˈno.vɨ,ˈnɔ,ˈno,1,1,,nove,nine,Bandeira2017[366-412],
Principense,ˈnɔvɛ,CVCV,ˈnovɨ,ˈnɔ.vɛ,ˈno.vɨ,vɛ,vɨ,2,2,,nove,nine,Bandeira2017[366-412],
Principense,piˈmew,CV'CVG,pɾiˈmɐjɾu,pi.ˈmew,pɾi.ˈmɐj.ɾu,pi,pɾi,1,1,metathesis,primeiro,first,Bandeira2017[366-412],
Principense,piˈmew,CV'CVG,pɾiˈmɐjɾu,pi.ˈmew,pɾi.ˈmɐj.ɾu,ˈmew,ˈmɐj,2,2,,primeiro,first,Bandeira2017[366-412],
Principense,piˈmew,CV'CVG,pɾiˈmɐjɾu,pi.ˈmew,pɾi.ˈmɐj.ɾu,-,ɾu,-,3,,primeiro,first,Bandeira2017[366-412],
Principense,ˈsej,CVG,ˈsejʃ,ˈsej,ˈsejʃ,ˈsej,ˈsejʃ,1,1,,seis,six,Bandeira2017[366-412],
Principense,ˈsɛt̠ʃi,CVCV,ˈsɛtɨ,ˈsɛ.t̠ʃi,ˈsɛ.tɨ,ˈsɛ,ˈsɛ,1,1,,sete,seven,Bandeira2017[366-412],
Principense,ˈsɛt̠ʃi,CVCV,ˈsɛtɨ,ˈsɛ.t̠ʃi,ˈsɛ.tɨ,t̠ʃi,tɨ,2,2,,sete,seven,Bandeira2017[366-412],
Principense,ˈʃĩku,CVCV,ˈsĩku,ˈʃĩ.ku,ˈsĩ.ku,ˈʃĩ,ˈsĩ,1,1,,cinco,five,Bandeira2017[366-412],
Principense,ˈʃĩku,CVCV,ˈsĩku,ˈʃĩ.ku,ˈsĩ.ku,ku,ku,2,2,,cinco,five,Bandeira2017[366-412],
Principense,nˈtɛru,C'CVCV,ĩˈtɐjɾu,n.ˈtɛ.ru,ĩ.ˈtɐj.ɾu,n,ĩ,1,1,assimilation,inteiro,entire,Bandeira2017[366-412],
Principense,nˈtɛru,C'CVCV,ĩˈtɐjɾu,n.ˈtɛ.ru,ĩ.ˈtɐj.ɾu,ˈtɛ,ˈtɐj,2,2,,inteiro,entire,Bandeira2017[366-412],
Principense,nˈtɛru,C'CVCV,ĩˈtɐjɾu,n.ˈtɛ.ru,ĩ.ˈtɐj.ɾu,ru,ɾu,3,3,,inteiro,entire,Bandeira2017[366-412],
Principense,ˈte:ʃi,CVCV,ˈtɾeʃ,ˈte:.ʃi,ˈtɾeʃ,ˈte:,ˈtɾeʃ,1,1,,três,three,Bandeira2017[366-412],
Principense,ˈte:ʃi,CVCV,ˈtɾeʃ,ˈte:.ʃi,ˈtɾeʃ,ʃi,-,2,-,,três,three,Bandeira2017[366-412],
Principense,ˈũa,VV,ˈũ,ˈũa,ˈũ,ˈũa,ˈũ,1,1,assimilation,um,one,Bandeira2017[366-412],
Principense,ˈwetu,GVCV,ˈojtu,ˈwe.tu,ˈoj.tu,ˈwe,ˈoj,1,1,,oito,eight,Bandeira2017[366-412],
Principense,ˈwetu,GVCV,ˈojtu,ˈwe.tu,ˈoj.tu,tu,tu,2,2,,oito,eight,Bandeira2017[366-412],
Principense,aˈbili,V'CVCV,ɐˈbɾiɫ,a.ˈbi.li,ɐ.ˈbɾiɫ,a,ɐ,1,1,metathesis,abril,April,Bandeira2017[366-412],
Principense,aˈbili,V'CVCV,ɐˈbɾiɫ,a.ˈbi.li,ɐ.ˈbɾiɫ,ˈbi,-,2,-,,maio,April,Bandeira2017[366-412],
Principense,aˈbili,V'CVCV,ɐˈbɾiɫ,a.ˈbi.li,ɐ.ˈbɾiɫ,li,ˈbɾiɫ,3,2,,junho,April,Bandeira2017[366-412],
Principense,aˈgoʃto,V'CVCCV,ɐˈgoʃtu,a.ˈgoʃ.to,ɐ.ˈgoʃ.tu,a,ɐ,1,1,,agosto,August,Bandeira2017[366-412],
Principense,aˈgoʃto,V'CVCCV,ɐˈgoʃtu,a.ˈgoʃ.to,ɐ.ˈgoʃ.tu,ˈgoʃ,ˈgoʃ,2,2,,agosto,August,Bandeira2017[366-412],
Principense,aˈgoʃto,V'CVCCV,ɐˈgoʃtu,a.ˈgoʃ.to,ɐ.ˈgoʃ.tu,to,tu,3,3,,agosto ,August,Bandeira2017[366-412],
Principense,aˈmɐ̃,V'CV,ɐmɐˈɲɐ̃,a.ˈmɐ̃,ɐ.mɐ.ˈɲɐ̃,a,ɐ,1,1,metathesis,amanhã,tomorrow,Bandeira2017[366-412],
Principense,aˈmɐ̃,V'CV,ɐmɐˈɲɐ̃,a.ˈmɐ̃,ɐ.mɐ.ˈɲɐ̃,ˈmɐ̃,mɐ,2,2,,amanhã,tomorrow,Bandeira2017[366-412],
Principense,aˈmɐ̃,V'CV,ɐmɐˈɲɐ̃,a.ˈmɐ̃,ɐ.mɐ.ˈɲɐ̃,-,ˈɲɐ̃,-,3,,amanhã,tomorrow,Bandeira2017[366-412],
Principense,ɔˈtɔ̃t̠ʃi,V'CVCV,ɐ̃tiˈõtɐ̃j̃,ɔ.ˈtɔ̃.t̠ʃi,ɐ̃.ti.ˈõ.tɐ̃j̃,ɔ,ɐ̃,1,1,metathesis,anteontem,the day before yesterday,Bandeira2017[366-412],
Principense,ɔˈtɔ̃t̠ʃi,V'CVCV,ɐ̃tiˈõtɐ̃j̃,ɔ.ˈtɔ̃.t̠ʃi,ɐ̃.ti.ˈõ.tɐ̃j̃,ˈtɔ̃,ti,2,2,,anteontem,the day before yesterday,Bandeira2017[366-412],
