Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,Simple PositionSource,Simple PositionTarget,Previous source,Next source,Previous target,Next target,Process,TargetOrthography,Translation,Reference,Notes
Cape Verdean Sao Vicente,kunpaɲeɾ,kõpɐˈɲejɾu,kun.pa.ɲeɾ,kõ.pɐ.ˈɲej.ɾu,-,ɾu,3,4,-,4,-,Final,ɲeɾ,-,ˈɲej,4,,companheiro,husband,Baptista2019[271-277],
Cape Verdean Sao Vicente,n,ɐj̃,n,ɐj̃,n,ɐj̃,1,1,1,1,Final,Final,0,1,0,1,,em,in,Baptista2019[271-277],
Cape Verdean Sao Vicente,ʒel,ˈʒelu,ʒel,ˈʒe.lu,ʒel,ˈʒe,1,2,1,1,Final,Initial,0,-,0,lu,,gelo,ice,Baptista2019[271-277],
Cape Verdean Sao Vicente,ʒel,ˈʒelu,ʒel,ˈʒe.lu,-,lu,1,2,-,2,-,Final,ʒel,-,ˈʒe,2,,gelo,ice,Baptista2019[271-277],
Cape Verdean Sao Vicente,se,sɨ,se,sɨ,se,sɨ,1,1,1,1,Final,Final,0,1,0,1,,se,if,Baptista2019[271-277],
Cape Verdean Sao Vicente,dent,ˈdẽtɾu,den.t,ˈdẽ.tɾu,den,ˈdẽ,2,2,1,1,Initial,Initial,0,t,0,tɾu,,dentro,inside,Baptista2019[271-277],
Cape Verdean Sao Vicente,dent,ˈdẽtɾu,den.t,ˈdẽ.tɾu,t,tɾu,2,2,2,2,Final,Final,den,2,ˈdẽ,2,assimilation,dentro,inside,Baptista2019[271-277],
Cape Verdean Sao Vicente,mata,mɐˈtaɾ,ma.ta,mɐ.ˈtaɾ,ma,mɐ,2,2,1,1,Initial,Initial,0,ta,0,ˈtaɾ,,matar,kill,Baptista2019[271-277],
Cape Verdean Sao Vicente,mata,mɐˈtaɾ,ma.ta,mɐ.ˈtaɾ,ta,ˈtaɾ,2,2,2,2,Final,Final,ma,2,mɐ,2,,matar,kill,Baptista2019[271-277],
Cape Verdean Sao Vicente,konʃe,kuɲɨˈseɾ,kon.ʃe,ku.ɲɨ.ˈseɾ,kon,ku,2,3,1,1,Initial,Initial,0,-,0,ɲɨ,,conhecer,know,Baptista2019[271-277],
Cape Verdean Sao Vicente,konʃe,kuɲɨˈseɾ,kon.ʃe,ku.ɲɨ.ˈseɾ,-,ɲɨ,2,3,-,2,-,Medial,kon,ʃe,ku,ˈseɾ,,conhecer,know,Baptista2019[271-277],
Cape Verdean Sao Vicente,konʃe,kuɲɨˈseɾ,kon.ʃe,ku.ɲɨ.ˈseɾ,ʃe,ˈseɾ,2,3,2,3,Final,Final,-,2,ɲɨ,3,,conhecer,know,Baptista2019[271-277],
Cape Verdean Sao Vicente,sabe,sɐˈbeɾ,sa.be,sɐ.ˈbeɾ,sa,sɐ,2,2,1,1,Initial,Initial,0,be,0,ˈbeɾ,,saber,know,Baptista2019[271-277],
Cape Verdean Sao Vicente,sabe,sɐˈbeɾ,sa.be,sɐ.ˈbeɾ,be,ˈbeɾ,2,2,2,2,Final,Final,sa,2,sɐ,2,,saber,know,Baptista2019[271-277],
Cape Verdean Sao Vicente,pɔsa,ˈposɐ,pɔ.sa,ˈpo.sɐ,pɔ,ˈpo,2,2,1,1,Initial,Initial,0,sa,0,sɐ,,poça,lake,Baptista2019[271-277],
Cape Verdean Sao Vicente,pɔsa,ˈposɐ,pɔ.sa,ˈpo.sɐ,sa,sɐ,2,2,2,2,Final,Final,pɔ,2,ˈpo,2,,poça,lake,Baptista2019[271-277],
Cape Verdean Sao Vicente,eɾi,ˈʀiɾ,eɾi,ˈʀiɾ,eɾi,ˈʀiɾ,1,1,1,1,Final,Final,0,1,0,1,,rir,laugh,Baptista2019[271-277],
Cape Verdean Sao Vicente,fɔʎa,ˈfoʎɐ,fɔ.ʎa,ˈfo.ʎɐ,fɔ,ˈfo,2,2,1,1,Initial,Initial,0,ʎa,0,ʎɐ,,folha,leaf,Baptista2019[271-277],
Cape Verdean Sao Vicente,fɔʎa,ˈfoʎɐ,fɔ.ʎa,ˈfo.ʎɐ,ʎa,ʎɐ,2,2,2,2,Final,Final,fɔ,2,ˈfo,2,,folha,leaf,Baptista2019[271-277],
Cape Verdean Sao Vicente,skeɾda,iʃˈkeɾdɐ,s.keɾ.da,iʃ.ˈkeɾ.dɐ,s,iʃ,3,3,1,1,Initial,Initial,0,keɾ,0,ˈkeɾ,,esquerda,left,Baptista2019[271-277],
Cape Verdean Sao Vicente,skeɾda,iʃˈkeɾdɐ,s.keɾ.da,iʃ.ˈkeɾ.dɐ,keɾ,ˈkeɾ,3,3,2,2,Medial,Medial,s,da,iʃ,dɐ,,esquerda,left,Baptista2019[271-277],
Cape Verdean Sao Vicente,skeɾda,iʃˈkeɾdɐ,s.keɾ.da,iʃ.ˈkeɾ.dɐ,da,dɐ,3,3,3,3,Final,Final,keɾ,3,ˈkeɾ,3,,esquerda,left,Baptista2019[271-277],
Cape Verdean Sao Vicente,pɛɾna,ˈpɛɾnɐ,pɛɾ.na,ˈpɛɾ.nɐ,pɛɾ,ˈpɛɾ,2,2,1,1,Initial,Initial,0,na,0,nɐ,,perna,leg,Baptista2019[271-277],
Cape Verdean Sao Vicente,pɛɾna,ˈpɛɾnɐ,pɛɾ.na,ˈpɛɾ.nɐ,na,nɐ,2,2,2,2,Final,Final,pɛɾ,2,ˈpɛɾ,2,,perna,leg,Baptista2019[271-277],
Cape Verdean Sao Vicente,detɔddlɔd,dejˈtadudɨˈladu,de.tɔd.d.lɔ.d,dej.ˈta.du.dɨˈla.du,de,dej,5,5,1,1,Initial,Initial,0,tɔd,0,ˈta,,deitado de lado,lie,Baptista2019[271-277],
Cape Verdean Sao Vicente,detɔddlɔd,dejˈtadudɨˈladu,de.tɔd.d.lɔ.d,dej.ˈta.du.dɨˈla.du,tɔd,ˈta,5,5,2,2,Medial,Medial,de,d,dej,du,,deitado de lado,lie,Baptista2019[271-277],
Cape Verdean Sao Vicente,detɔddlɔd,dejˈtadudɨˈladu,de.tɔd.d.lɔ.d,dej.ˈta.du.dɨˈla.du,d,du,5,5,3,3,Medial,Medial,tɔd,lɔ,ˈta,dɨ,,deitado de lado,lie,Baptista2019[271-277],
Cape Verdean Sao Vicente,detɔddlɔd,dejˈtadudɨˈladu,de.tɔd.d.lɔ.d,dej.ˈta.du.dɨˈla.du,lɔ,dɨ,5,5,4,4,Medial,Medial,d,d,du,ˈla,,deitado de lado,lie,Baptista2019[271-277],
Cape Verdean Sao Vicente,detɔddlɔd,dejˈtadudɨˈladu,de.tɔd.d.lɔ.d,dej.ˈta.du.dɨˈla.du,d,ˈla,5,5,5,5,Final,Final,lɔ,-,dɨ,du,,deitado de lado,lie,Baptista2019[271-277],
Cape Verdean Sao Vicente,detɔddlɔd,dejˈtadudɨˈladu,de.tɔd.d.lɔ.d,dej.ˈta.du.dɨˈla.du,-,du,5,5,-,6,-,Medial,d,-,ˈla,6,,deitado de lado,lie,Baptista2019[271-277],
Cape Verdean Sao Vicente,moɾa,muˈɾaɾ,mo.ɾa,mu.ˈɾaɾ,mo,mu,2,2,1,1,Initial,Initial,0,ɾa,0,ˈɾaɾ,,morar,live,Baptista2019[271-277],
Cape Verdean Sao Vicente,moɾa,muˈɾaɾ,mo.ɾa,mu.ˈɾaɾ,ɾa,ˈɾaɾ,2,2,2,2,Final,Final,mo,2,mu,2,,morar,live,Baptista2019[271-277],
Cape Verdean Sao Vicente,vive,viˈveɾ,vi.ve,viˈ.veɾ,vi,vi,2,2,1,1,Initial,Initial,0,ve,0,ˈveɾ,,viver,live,Baptista2019[271-277],
Cape Verdean Sao Vicente,vive,viˈveɾ,vi.ve,vi.ˈveɾ,ve,ˈveɾ,2,2,2,2,Final,Final,vi,2,vi,2,,viver,live,Baptista2019[271-277],
Cape Verdean Sao Vicente,fig,ˈfiɡɐdu,fig,ˈfi.ɡɐ.du,fig,ˈfi,1,3,1,1,Final,Initial,0,-,0,ɡɐ,,fígado,liver,Baptista2019[271-277],
Cape Verdean Sao Vicente,fig,ˈfiɡɐdu,fig,ˈfi.ɡɐ.du,-,ɡɐ,1,3,-,2,-,Medial,fig,-,ˈfi,du,,fígado,liver,Baptista2019[271-277],
Cape Verdean Sao Vicente,fig,ˈfiɡɐdu,fig,ˈfi.ɡɐ.du,-,du,1,3,-,3,-,Final,-,-,ɡɐ,3,,fígado,liver,Baptista2019[271-277],
Cape Verdean Sao Vicente,kunpɾid,kõˈpɾidu,kun.pɾi.d,Kõ.ˈpɾi.du,kun,Kõ,3,3,1,1,Initial,Initial,0,pɾi,0,ˈpɾi,,comprido,long,Baptista2019[271-277],
Cape Verdean Sao Vicente,kunpɾid,kõˈpɾidu,kun.pɾi.d,Kõ.ˈpɾi.du,pɾi,ˈpɾi,3,3,2,2,Medial,Medial,kun,d,Kõ,du,,comprido,long,Baptista2019[271-277],
Cape Verdean Sao Vicente,kunpɾid,kõˈpɾidu,kun.pɾi.d,Kõ.ˈpɾi.du,d,du,3,3,3,3,Final,Final,pɾi,3,ˈpɾi,3,,comprido,long,Baptista2019[271-277],
Cape Verdean Sao Vicente,gɾande,ˈɡɾɐ̃dɨ,gɾan.de,ˈɡɾɐ̃.dɨ,gɾan,ˈɡɾɐ̃,2,2,1,1,Initial,Initial,0,de,0,dɨ,,grande,long,Baptista2019[271-277],
Cape Verdean Sao Vicente,gɾande,ˈɡɾɐ̃dɨ,gɾan.de,ˈɡɾɐ̃.dɨ,de,dɨ,2,2,2,2,Final,Final,gɾan,2,ˈɡɾɐ̃,2,,grande,long,Baptista2019[271-277],
Cape Verdean Sao Vicente,pioi,ˈpioʎu,pi.oj,ˈpi.o.ʎu,pi,ˈpi,2,3,1,1,Initial,Initial,0,oj,0,o,,piolho,lice,Baptista2019[271-277],
Cape Verdean Sao Vicente,pioi,ˈpioʎu,pi.oj,ˈpi.o.ʎu,oj,o,2,3,2,2,Final,Medial,pi,-,ˈpi,ʎu,metathesis,piolho,lice,Baptista2019[271-277],
Cape Verdean Sao Vicente,pioi,ˈpioʎu,pi.oj,ˈpi.o.ʎu,-,ʎu,2,3,-,3,-,Final,oj,-,o,3,metathesis,piolho,lice,Baptista2019[271-277],
Cape Verdean Sao Vicente,ome,ˈɔm,ome,ˈɔm,ome,ˈɔm,1,1,1,1,Final,Final,0,1,0,1,,homem,man,Baptista2019[271-277],
Cape Verdean Sao Vicente,t̠ʃeu,ˈʃɐju,t̠ʃe.u,ˈʃɐj.u,t̠ʃe,ˈʃɐj,2,2,1,1,Initial,Initial,0,u,0,u,,cheio,many,Baptista2019[271-277],
Cape Verdean Sao Vicente,t̠ʃeu,ˈʃɐju,t̠ʃe.u,ˈʃɐj.u,u,u,2,2,2,2,Final,Final,t̠ʃe,2,ˈʃɐj,2,,cheio,many,Baptista2019[271-277],
Cape Verdean Sao Vicente,bastent,bɐʃˈtɐ̃tɨ,bas.ten.t,bɐʃ.ˈtɐ̃.tɨ,bas,bɐʃ,3,3,1,1,Initial,Initial,0,ten,0,ˈtɐ̃,,bastante,many,Baptista2019[271-277],
Cape Verdean Sao Vicente,bastent,bɐʃˈtɐ̃tɨ,bas.ten.t,bɐʃ.ˈtɐ̃.tɨ,ten,ˈtɐ̃,3,3,2,2,Medial,Medial,bas,t,bɐʃ,tɨ,,bastante,many,Baptista2019[271-277],
Cape Verdean Sao Vicente,bastent,bɐʃˈtɐ̃tɨ,bas.ten.t,bɐʃ.ˈtɐ̃.tɨ,t,tɨ,3,3,3,3,Final,Final,ten,3,ˈtɐ̃,3,,bastante,many,Baptista2019[271-277],
Cape Verdean Sao Vicente,kaɾ,ˈkaɾnɨ,kaɾ,ˈkaɾ.nɨ,kaɾ,ˈkaɾ,1,2,1,1,Final,Initial,0,-,0,nɨ,,carne,meat,Baptista2019[271-277],
Cape Verdean Sao Vicente,kaɾ,ˈkaɾnɨ,kaɾ,ˈkaɾ.nɨ,-,nɨ,1,2,-,2,-,Final,kaɾ,-,ˈkaɾ,2,,carne,meat,Baptista2019[271-277],
Cape Verdean Sao Vicente,mai,ˈmɐ̃j̃,mai,ˈmɐ̃j̃,mai,ˈmɐ̃j̃,1,1,1,1,Final,Final,0,1,0,1,,mãe,mother,Baptista2019[271-277],
Cape Verdean Sao Vicente,mont,ˈmõtɨ,mon.t,ˈmõ.tɨ,mon,ˈmõ,2,2,1,1,Initial,Initial,0,t,0,tɨ,,monte,moutain,Baptista2019[271-277],
Cape Verdean Sao Vicente,mont,ˈmõtɨ,mon.t,ˈmõ.tɨ,t,tɨ,2,2,2,2,Final,Final,mon,2,ˈmõ,2,assimilation,monte,moutain,Baptista2019[271-277],
Cape Verdean Sao Vicente,bɔka,ˈbokɐ,bɔ.ka,ˈbo.kɐ,bɔ,ˈbo,2,2,1,1,Initial,Initial,0,ka,0,kɐ,,boca,mouth,Baptista2019[271-277],
Cape Verdean Sao Vicente,bɔka,ˈbokɐ,bɔ.ka,ˈbo.kɐ,ka,kɐ,2,2,2,2,Final,Final,bɔ,2,ˈbo,2,,boca,mouth,Baptista2019[271-277],
Cape Verdean Sao Vicente,nom,ˈnomɨ,nom,ˈno.mɨ,nom,ˈno,1,2,1,1,Final,Initial,0,-,0,mɨ,,nome,name,Baptista2019[271-277],
Cape Verdean Sao Vicente,nom,ˈnomɨ,nom,ˈno.mɨ,-,mɨ,1,2,-,2,-,Final,nom,-,ˈno,2,,nome,name,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾet,iʃˈtɾɐjtu,s.tɾe.t,iʃ.ˈtɾɐj.tu,s,iʃ,3,3,1,1,Initial,Initial,0,tɾe,0,ˈtɾɐj,,estreito,narrow,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾet,iʃˈtɾɐjtu,s.tɾe.t,iʃ.ˈtɾɐj.tu,tɾe,ˈtɾɐj,3,3,2,2,Medial,Medial,s,t,iʃ,tu,,estreito,narrow,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾet,iʃˈtɾɐjtu,s.tɾe.t,iʃ.ˈtɾɐj.tu,t,tu,3,3,3,3,Final,Final,tɾe,3,ˈtɾɐj,3,,estreito,narrow,Baptista2019[271-277],
Cape Verdean Sao Vicente,peɾtɔd,ɐpɨɾˈtadu,peɾ.tɔd,ɐ.pɨɾ.ˈta.du,-,ɐ,2,4,-,1,-,Initial,0,peɾ,0,pɨɾ,,apertado,narrow,Baptista2019[271-277],
Cape Verdean Sao Vicente,peɾtɔd,ɐpɨɾˈtadu,peɾ.tɔd,ɐ.pɨɾ.ˈta.du,peɾ,pɨɾ,2,4,1,2,Initial,Medial,-,tɔd,ɐ,ˈta,,apertado,narrow,Baptista2019[271-277],
Cape Verdean Sao Vicente,peɾtɔd,ɐpɨɾˈtadu,peɾ.tɔd,ɐ.pɨɾ.ˈta.du,tɔd,ˈta,2,4,2,3,Final,Medial,peɾ,-,pɨɾ,du,,apertado,narrow,Baptista2019[271-277],
Cape Verdean Sao Vicente,peɾtɔd,ɐpɨɾˈtadu,peɾ.tɔd,ɐ.pɨɾ.ˈta.du,-,du,2,4,-,4,-,Final,tɔd,-,ˈta,4,,apertado,narrow,Baptista2019[271-277],
Cape Verdean Sao Vicente,peɾt,ˈpɛɾtu,peɾ.t,ˈpɛɾ.tu,peɾ,ˈpɛɾ,2,2,1,1,Initial,Initial,0,t,0,tu,,perto,near,Baptista2019[271-277],
Cape Verdean Sao Vicente,peɾt,ˈpɛɾtu,peɾ.t,ˈpɛɾ.tu,t,tu,2,2,2,2,Final,Final,peɾ,2,ˈpɛɾ,2,,perto,near,Baptista2019[271-277],
Cape Verdean Sao Vicente,d̠ʒunt,ˈʒũtu,d̠ʒun.t,ˈʒũ.tu,d̠ʒun,ˈʒũ,2,2,1,1,Initial,Initial,0,t,0,tu,,junto,near,Baptista2019[271-277],
Cape Verdean Sao Vicente,d̠ʒunt,ˈʒũtu,d̠ʒun.t,ˈʒũ.tu,t,tu,2,2,2,2,Final,Final,d̠ʒun,2,ˈʒũ,2,,junto,near,Baptista2019[271-277],
Cape Verdean Sao Vicente,peskos,pɨʃˈkosu,pes.kos,pɨʃ.ˈko.su,pes,pɨʃ,2,3,1,1,Initial,Initial,0,kos,0,ˈko,,pescoço,neck,Baptista2019[271-277],
Cape Verdean Sao Vicente,peskos,pɨʃˈkosu,pes.kos,pɨʃ.ˈko.su,kos,ˈko,2,3,2,2,Final,Medial,pes,-,pɨʃ,su,,pescoço,neck,Baptista2019[271-277],
