Language,SourceWord,TargetWord,SourceWordSyllable,TargetWordSyylable,TargetSyllable,SourceSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,References,Notes
Fa d’Ambo,ˈxama,ɨʃˈkɐmɐ,ˈxa.ma,ɨʃ.ˈkɐ.mɐ,-,ɨʃ,-,1,,escama de peixe,fish scale,Bandeira2017[366-412],
Fa d’Ambo,ˈxama,ɨʃˈkɐmɐ,ˈxa.ma,ɨʃ.ˈkɐ.mɐ,xa,ˈkɐ,1,2,,escama de peixe,fish scale,Bandeira2017[366-412],
Fa d’Ambo,ˈxama,ɨʃˈkɐmɐ,ˈxa.ma,ɨʃ.ˈkɐ.mɐ,ma,mɐ,2,3,,escama de peixe,fish scale,Bandeira2017[366-412],
Fa d’Ambo,ˈxõ,ˈkoɾnu,ˈxõ,ˈkoɾ.nu,xõ,ˈkoɾ,1,1,,corno,horn,Bandeira2017[366-412],
Fa d’Ambo,ˈxõ,ˈkoɾnu,ˈxõ,ˈkoɾ.nu,-,nu,-,2,,corno,horn,Bandeira2017[366-412],
Fa d’Ambo,ˈlabu,ˈʀabu,ˈla.bu,ˈʀa.bu,ˈla,ˈʀa,1,1,,rabo,tail,Bandeira2017[366-412],
Fa d’Ambo,ˈlabu,ˈʀabu,ˈla.bu,ˈʀa.bu,bu,bu,2,2,,rabo,tail,Bandeira2017[366-412],
Fa d’Ambo,ˈawad̠ʒiˈbɔxa,ˈagwɐ.dɨ.ˈbokɐ,ˈa.wa.d̠ʒi.ˈbɔ.xa,ˈa.gwɐ.dɨˈbo.kɐ,ˈa,ˈa,1,1,,água de boca,saliva,Bandeira2017[366-412],
Fa d’Ambo,ˈawad̠ʒiˈbɔxa,ˈagwɐ.dɨ.ˈbokɐ,ˈa.wa.d̠ʒi.ˈbɔ.xa,ˈa.gwɐ.dɨˈbo.kɐ,wa,gwɐ,2,2,,água de boca,saliva,Bandeira2017[366-412],
Fa d’Ambo,ˈawad̠ʒiˈbɔxa,ˈagwɐ.dɨ.ˈbokɐ,ˈa.wa.d̠ʒi.ˈbɔ.xa,ˈa.gwɐ.dɨˈbo.kɐ,d̠ʒi,dɨ,3,3,,água de boca,saliva,Bandeira2017[366-412],
Fa d’Ambo,ˈawad̠ʒiˈbɔxa,ˈagwɐ.dɨ.ˈbokɐ,ˈa.wa.d̠ʒi.ˈbɔ.xa,ˈa.gwɐ.dɨˈbo.kɐ,ˈbɔ,ˈbo,4,4,,água de boca,saliva,Bandeira2017[366-412],
Fa d’Ambo,ˈawad̠ʒiˈbɔxa,ˈagwɐ.dɨ.ˈbokɐ,ˈa.wa.d̠ʒi.ˈbɔ.xa,ˈa.gwɐ.dɨˈbo.kɐ,xa,kɐ,5,5,,água de boca,saliva,Bandeira2017[366-412],
Fa d’Ambo,ˈbɛga,bɐˈʀigɐ,ˈbɛ.ga,bɐ.ˈʀi.gɐ,ˈbɛ,bɐ,1,1,,barriga,belly,Bandeira2017[366-412],
Fa d’Ambo,ˈbɛga,bɐˈʀigɐ,ˈbɛ.ga,bɐ.ˈʀi.gɐ,-,ˈʀi,-,2,,barriga,belly,Bandeira2017[366-412],
Fa d’Ambo,ˈbɛga,bɐˈʀigɐ,ˈbɛ.ga,bɐ.ˈʀi.gɐ,ga,gɐ,2,3,,barriga,belly,Bandeira2017[366-412],
Fa d’Ambo,biˈgɔd̠ʒi,biˈgɔdi,biˈ.gɔ.d̠ʒi,bi.ˈgɔ.di,bi,bi,1,1,,bigode,mustache,Bandeira2017[366-412],
Fa d’Ambo,biˈgɔd̠ʒi,biˈgɔdi,biˈ.gɔ.d̠ʒi,bi.ˈgɔ.di,ˈgɔ,ˈgɔ,2,2,,bigode,mustache,Bandeira2017[366-412],
Fa d’Ambo,biˈgɔd̠ʒi,biˈgɔdi,biˈ.gɔ.d̠ʒi,bi.ˈgɔ.di,d̠ʒi,di,3,3,,bigode,mustache,Bandeira2017[366-412],
Fa d’Ambo,ˈba:su,ˈbɾasu,ˈba:.su,ˈbɾa.su,ˈba:,ˈbɾa,1,1,,braço,arm,Bandeira2017[366-412],
Fa d’Ambo,ˈba:su,ˈbɾasu,ˈba:.su,ˈbɾa.su,su,su,2,2,,braço,arm,Bandeira2017[366-412],
Fa d’Ambo,ˈboxa,ˈbokɐ,ˈbo.xa,ˈbo.kɐ,ˈbo,ˈbo,1,1,,boca,mouth,Bandeira2017[366-412],
Fa d’Ambo,ˈboxa,ˈbokɐ,ˈbo.xa,ˈbo.kɐ,xa,kɐ,2,2,,boca,mouth,Bandeira2017[366-412],
Fa d’Ambo,ˈdẽnt̠ʃi,ˈdẽtɨ,ˈdẽn.t̠ʃi,ˈdẽ.tɨ,ˈdẽn,ˈdẽ,1,1,,dente,tooth,Bandeira2017[366-412],
Fa d’Ambo,ˈdẽnt̠ʃi,ˈdẽtɨ,ˈdẽn.t̠ʃi,ˈdẽ.tɨ,t̠ʃi,tɨ,2,2,,dente,tooth,Bandeira2017[366-412],
Fa d’Ambo,ˈfugudu,ˈfiɡɐdu,ˈfu.gu.du,ˈfi.ɡɐ.du,ˈfu,ˈfi.,1,1,,fígado,liver,Bandeira2017[366-412],
Fa d’Ambo,ˈfugudu,ˈfiɡɐdu,ˈfu.gu.du,ˈfi.ɡɐ.du,gu,ɡɐ,2,2,,fígado,liver,Bandeira2017[366-412],
Fa d’Ambo,ˈfugudu,ˈfiɡɐdu,ˈfu.gu.du,ˈfi.ɡɐ.du,du,du,3,3,,fígado,liver,Bandeira2017[366-412],
Fa d’Ambo,xaˈbɛlu,kɐˈbelu,xa.ˈbɛ.lu,kɐ.ˈbe.lu,xa,kɐ,1,1,,cabelo,hair,Bandeira2017[366-412],
Fa d’Ambo,xaˈbɛlu,kɐˈbelu,xa.ˈbɛ.lu,kɐ.ˈbe.lu,ˈbɛ,ˈbe,2,2,,cabelo,hair,Bandeira2017[366-412],
Fa d’Ambo,xaˈbɛlu,kɐˈbelu,xa.ˈbɛ.lu,kɐ.ˈbe.lu,lu,lu,3,3,,cabelo,hair,Bandeira2017[366-412],
Fa d’Ambo,xaˈbɛsa,kɐˈbesɐ,xa.ˈbɛ.sa,kɐ.ˈbe.sɐ,xa,kɐ,1,1,,cabeça,head,Bandeira2017[366-412],
Fa d’Ambo,xaˈbɛsa,kɐˈbesɐ,xa.ˈbɛ.sa,kɐ.ˈbe.sɐ,ˈbɛ,ˈbe,2,2,,cabeça,head,Bandeira2017[366-412],
Fa d’Ambo,xaˈbɛsa,kɐˈbesɐ,xa.ˈbɛ.sa,kɐ.ˈbe.sɐ,sa,sɐ,3,3,,cabeça,head,Bandeira2017[366-412],
Fa d’Ambo,ˈzɐ̃xa,ˈnadɨgɐʃ,ˈzɐ̃.xa,ˈna.dɨ.gɐʃ,,,,,,nádegas,buttock,Bandeira2017[366-412],not of Portuguese origin
Fa d’Ambo,xo:ˈxoso,pɨʃˈkosu,xo:.ˈxo.so,pɨʃ.ˈko.su,xo:,pɨʃ,1,1,,pescoço,neck,Bandeira2017[366-412],
Fa d’Ambo,xo:ˈxoso,pɨʃˈkosu,xo:.ˈxo.so,pɨʃ.ˈko.su,ˈxo,ˈko,2,2,,pescoço,neck,Bandeira2017[366-412],
Fa d’Ambo,xo:ˈxoso,pɨʃˈkosu,xo:.ˈxo.so,pɨʃ.ˈko.su,so,su,3,3,,pescoço,neck,Bandeira2017[366-412],
Fa d’Ambo,ku:ˈsɐ̃,kuɾɐˈsɐ̃w̃,ku:.ˈsɐ̃,ku.ɾɐ.ˈsɐ̃w̃,ku:,ku,1,1,,coração,heart,Bandeira2017[366-412],
Fa d’Ambo,ku:ˈsɐ̃,kuɾɐˈsɐ̃w̃,ku:.ˈsɐ̃,ku.ɾɐ.ˈsɐ̃w̃,-,ɾɐ,-,2,,coração,heart,Bandeira2017[366-412],
Fa d’Ambo,ku:ˈsɐ̃,kuɾɐˈsɐ̃w̃,ku:.ˈsɐ̃,ku.ɾɐ.ˈsɐ̃w̃,ˈsɐ̃,ˈsɐ̃w̃,2,3,,coração,heart,Bandeira2017[366-412],
Fa d’Ambo,ˈlũŋga,ˈlĩɡuɐ,ˈlũŋ.ga,ˈlĩ.ɡwɐ,ˈlũŋ,ˈlĩ,1,1,,língua,tongue,Bandeira2017[366-412],
Fa d’Ambo,ˈlũŋga,ˈlĩɡuɐ,ˈlũŋ.ga,ˈlĩ.ɡwɐ,ga,ɡwɐ,2,2,,língua,tongue,Bandeira2017[366-412],
Fa d’Ambo,ˈmama,ˈmɐmɐ,ˈma.ma,ˈmɐ.mɐ,ˈma,ˈmɐ,1,1,,mama,bosom,Bandeira2017[366-412],
Fa d’Ambo,ˈmama,ˈmɐmɐ,ˈma.ma,ˈmɐ.mɐ,ma,mɐ,2,2,,mama,bosom,Bandeira2017[366-412],
Fa d’Ambo,oˈmɐ̃,ˈmɐ̃w̃,o.ˈmɐ̃,ˈmɐ̃w̃,o,-,1,-,,mão,mão,Bandeira2017[366-412],
Fa d’Ambo,oˈmɐ̃,ˈmɐ̃w̃,o.ˈmɐ̃,ˈmɐ̃w̃,ˈmɐ̃,ˈmɐ̃w̃,2,1,,mão,mão,Bandeira2017[366-412],
Fa d’Ambo,ˈɔxɔ,ũˈbigu,ˈɔ.xɔ,ũ.ˈbi.gu,,,,,,umbigo,belly button,Bandeira2017[366-412],not of Portuguese origin
Fa d’Ambo,ɔˈpɛ,ˈpɛ,ɔ.ˈpɛ,ˈpɛ,ɔ,-,1,-,,pé,"foot, leg",Bandeira2017[366-412],
Fa d’Ambo,ɔˈpɛ,ˈpɛ,ɔ.ˈpɛ,ˈpɛ,ˈpɛ,ˈpɛ,2,1,,pé,"foot, leg",Bandeira2017[366-412],
Fa d’Ambo,ɔˈlɛa,ɔˈɾɐʎa,ɔ.ˈlɛ.a,ɔ.ˈɾɐ.ʎa,ɔ,ɔ,1,1,,orelha,ear,Bandeira2017[366-412],
Fa d’Ambo,ɔˈlɛa,ɔˈɾɐʎa,ɔ.ˈlɛ.a,ɔ.ˈɾɐ.ʎa,ˈlɛ,ˈɾɐ,2,2,,orelha,ear,Bandeira2017[366-412],
Fa d’Ambo,ɔˈlɛa,ɔˈɾɐʎa,ɔ.ˈlɛ.a,ɔ.ˈɾɐ.ʎa,a,ʎa,3,3,,orelha,ear,Bandeira2017[366-412],
Fa d’Ambo,ˈɔsɔ,ˈosu,ˈɔ.sɔ,ˈo.su,ˈɔ,ˈo,1,1,,osso,bone,Bandeira2017[366-412],
Fa d’Ambo,ˈɔsɔ,ˈosu,ˈɔ.sɔ,ˈo.su,sɔ,su,2,2,,osso,bone,Bandeira2017[366-412],
Fa d’Ambo,oˈzojo,ʒuˈɐʎu,o.ˈzo.jo,ʒu.ˈɐ.ʎu,o,-,1,-,,joelho,knee,Bandeira2017[366-412],
Fa d’Ambo,oˈzojo,ʒuˈɐʎu,o.ˈzo.jo,ʒu.ˈɐ.ʎu,ˈzo,ʒu,2,1,,joelho,knee,Bandeira2017[366-412],
Fa d’Ambo,oˈzojo,ʒuˈɐʎu,o.ˈzo.jo,ʒu.ˈɐ.ʎu,-,ˈɐ,-,2,,joelho,knee,Bandeira2017[366-412],
Fa d’Ambo,oˈzojo,ʒuˈɐʎu,o.ˈzo.jo,ʒu.ˈɐ.ʎu,jo,ʎu,3,3,,joelho,knee,Bandeira2017[366-412],
Fa d’Ambo,ˈpɛli,ˈpɛlɨ,ˈpɛ.li,ˈpɛ.lɨ,ˈpɛ,ˈpɛ,1,1,,pele,skin,Bandeira2017[366-412],
Fa d’Ambo,ˈpɛli,ˈpɛlɨ,ˈpɛ.li,ˈpɛ.lɨ,li,lɨ,2,2,,pele,skin,Bandeira2017[366-412],
Fa d’Ambo,ˈpulusu,ˈpuɫsu,ˈpu.lu.su,ˈpuɫ.su,ˈpu,ˈpuɫ,1,1,,pulso,Pulse,Bandeira2017[366-412],
Fa d’Ambo,ˈpulusu,ˈpuɫsu,ˈpu.lu.su,ˈpuɫ.su,lu,-,2,-,,pulso,Pulse,Bandeira2017[366-412],
Fa d’Ambo,ˈpulusu,ˈpuɫsu,ˈpu.lu.su,ˈpuɫ.su,su,su,3,2,,pulso,Pulse,Bandeira2017[366-412],
Fa d’Ambo,puluˈmõ,puɫˈmɐ̃w̃,pu.lu.ˈmõ,puɫ.ˈmɐ̃w̃,pu,puɫ,1,1,,pulmão,lung,Bandeira2017[366-412],
Fa d’Ambo,puluˈmõ,puɫˈmɐ̃w̃,pu.lu.ˈmõ,puɫ.ˈmɐ̃w̃,lu,-,2,-,,pulmão,lung,Bandeira2017[366-412],
Fa d’Ambo,puluˈmõ,puɫˈmɐ̃w̃,pu.lu.ˈmõ,puɫ.ˈmɐ̃w̃,ˈmõ,ˈmɐ̃w̃,3,2,,pulmão,lung,Bandeira2017[366-412],
Fa d’Ambo,ˈliʃi,nɐˈɾiʃ,ˈli.ʃi,nɐ.ˈɾiʃ,-,nɐ,-,1,,nariz,nose,Bandeira2017[366-412],
Fa d’Ambo,ˈliʃi,nɐˈɾiʃ,ˈli.ʃi,nɐ.ˈɾiʃ,ˈli,ˈɾiʃ,1,2,,nariz,nose,Bandeira2017[366-412],
Fa d’Ambo,ˈliʃi,nɐˈɾiʃ,ˈli.ʃi,nɐ.ˈɾiʃ,ʃi,-,2,-,,nariz,nose,Bandeira2017[366-412],
Fa d’Ambo,ˈsɐ̃gi,ˈsɐ̃ɡɨ,ˈsɐ̃.gi,ˈsɐ̃.ɡɨ,ˈsɐ̃,ˈsɐ̃,1,1,,sangue,blood,Bandeira2017[366-412],
Fa d’Ambo,ˈsɐ̃gi,ˈsɐ̃ɡɨ,ˈsɐ̃.gi,ˈsɐ̃.ɡɨ,ɡi,ɡɨ,2,2,,sangue,blood,Bandeira2017[366-412],
Fa d’Ambo,ˈuɲa,ˈuɲa,ˈu.ɲa,ˈu.ɲa,ˈu,ˈu,1,1,,unha,nail,Bandeira2017[366-412],
Fa d’Ambo,ˈuɲa,ˈuɲa,ˈu.ɲa,ˈu.ɲa,ɲa,ɲa,2,2,,unha,nail,Bandeira2017[366-412],
Fa d’Ambo,ˈwe,ˈoʎu,ˈwe,ˈo.ʎu,,,,,,olho,eye,Bandeira2017[366-412],not of Portuguese origin
Fa d’Ambo,ˈbisu,ˈbiʃu,ˈbi.su,ˈbi.ʃu,ˈbi,ˈbi,1,1,,bicho,animal,Bandeira2017[366-412],
Fa d’Ambo,ˈbisu,ˈbiʃu,ˈbi.su,ˈbi.ʃu,su,ʃu,2,2,,bicho,animal,Bandeira2017[366-412],
Fa d’Ambo,ˈbwe,ˈboj,ˈbwe,ˈboj,ˈbwe,ˈboj,1,1,,boi,bull,Bandeira2017[366-412],
Fa d’Ambo,ˈxaba,ˈkabɾɐ,ˈxa.ba,ˈka.bɾɐ,ˈxa,ˈka,1,1,,cabra,goat,Bandeira2017[366-412],
Fa d’Ambo,ˈxaba,ˈkabɾɐ,ˈxa.ba,ˈka.bɾɐ,ba,bɾɐ,2,2,,cabra,goat,Bandeira2017[366-412],
Fa d’Ambo,xaˈso,kɐˈʃoʀu,xa.ˈso,kɐ.ˈʃo.ʀu,xa,kɐ,1,1,,cachorro,dog,Bandeira2017[366-412],
