Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllabe,PreviousSource,NextSource,TargetSyllabe,SourceWordSyl,TargetWordSyl,PositionSource,PositionTarget,SimplePositionSource,SimplePositionTarget,Process,TargetOrthopraphy,Translation,Reference
Sri Lanka Portuguese,kima:,kejˈmaɾ,ki.ma:,kej.ˈmaɾ,ma:,ki,2,ˈmaɾ,2,2,2,2,Final,Final,,queimar,burn,Clements2012[37-41]
Sri Lanka Portuguese,kɾija:nsa,kɾiˈɐ̃sɐ,kɾi.ja:n.sa,kɾi.ˈɐ̃.sɐ,kɾi,0,ja:n,kɾi,3,3,1,1,Initial,Initial,,criança,child,Clements2012[37-41]
Sri Lanka Portuguese,kɾija:nsa,kɾiˈɐ̃sɐ,kɾi.ja:n.sa,kɾi.ˈɐ̃.sɐ,ja:n,kɾi,sa,ˈɐ̃,3,3,2,2,Medial,Medial,,criança,child,Clements2012[37-41]
Sri Lanka Portuguese,kɾija:nsa,kɾiˈɐ̃sɐ,kɾi.ja:n.sa,kɾi.ˈɐ̃.sɐ,sa,ja:n,3,sɐ,3,3,3,3,Final,Final,,criança,child,Clements2012[37-41]
Sri Lanka Portuguese,mo:ʋis,ˈnuvɐ̃j,mo:.ʋis,ˈnu.vɐ̃j,mo:,0,ʋis,ˈnu,2,2,1,1,Initial,Initial,,nuvem,cloud,Clements2012[37-41]
Sri Lanka Portuguese,mo:ʋis,ˈnuvɐ̃j,mo:.ʋis,ˈnu.vɐ̃j,ʋis,mo:,2,vɐ̃j,2,2,2,2,Final,Final,,nuvem,cloud,Clements2012[37-41]
Sri Lanka Portuguese,fɾi:ju,ˈfɾiu,fɾi:.ju,ˈfɾi.u,fɾi:,0,ju,ˈfɾi,2,2,1,1,Initial,Initial,,frio,cold,Clements2012[37-41]
Sri Lanka Portuguese,fɾi:ju,ˈfɾiu,fɾi:.ju,ˈfɾi.u,ju,fɾi:,2,u,2,2,2,2,Final,Final,,frio,cold,Clements2012[37-41]
Sri Lanka Portuguese,ʋi:,ˈviɾ,ʋi:,ˈviɾ,ʋi:,0,1,ˈviɾ,1,1,1,1,Final,Final,,vir,come,Clements2012[37-41]
Sri Lanka Portuguese,konta:,kõtaɾ,kon.ta:,kõ.taɾ,kon,0,ta:,kõ,2,2,1,1,Initial,Initial,,contar,count,Clements2012[37-41]
Sri Lanka Portuguese,konta:,kõtaɾ,kon.ta:,kõ.taɾ,ta:,kon,2,taɾ,2,2,2,2,Final,Final,,contar,count,Clements2012[37-41]
Sri Lanka Portuguese,koɾta:,kuɾˈtaɾ,koɾ.ta:,kuɾ.ˈtaɾ,koɾ,0,ta:,kuɾ,2,2,1,1,Initial,Initial,,cortar,cut,Clements2012[37-41]
Sri Lanka Portuguese,koɾta:,kuɾˈtaɾ,koɾ.ta:,kuɾ.ˈtaɾ,ta:,koɾ,2,ˈtaɾ,2,2,2,2,Final,Final,,cortar,cut,Clements2012[37-41]
Sri Lanka Portuguese,di:ja,ˈdiɐ,di:.ja,ˈdi.ɐ,di:,0,ja,ˈdi,2,2,1,1,Initial,Initial,,dia,day,Clements2012[37-41]
Sri Lanka Portuguese,di:ja,ˈdiɐ,di:.ja,ˈdi.ɐ,ja,di:,2,ɐ,2,2,2,2,Final,Final,,dia,day,Clements2012[37-41]
Sri Lanka Portuguese,muɾa,muˈʀeɾ,mu.ɾa,mu.ˈʀeɾ,mu,0,ɾa,mu,2,2,1,1,Initial,Initial,,morrer,die,Clements2012[37-41]
