Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceTargetEq,Audit,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,Simple PositionSource,Simple PositionTarget,Previous source,Next source,Previous target,Next target,Process,TargetOrthography,Translation,Reference
Angolar,viˈnagi,viˈnagɾɨ,viˈ.na.gi,viˈ.na.gɾɨ,vi,vi,TRUE,,,,1,1,,,,,,,,vinagre,vinegar,Bandeira2017[366-412]
Angolar,viˈnagi,viˈnagɾɨ,viˈ.na.gi,viˈ.na.gɾɨ,na,na,TRUE,,,,2,2,,,,,,,,vinagre,vinegar,Bandeira2017[366-412]
Angolar,viˈnagi,viˈnagɾɨ,viˈ.na.gi,viˈ.na.gɾɨ,gi,gɾɨ,FALSE,,3,3,3,3,Final,Final,na,3,na,3,,vinagre,vinegar,Bandeira2017[366-412]
Angolar,ˈkɔkɔ,ˈkoɾnu,ˈkɔ.kɔ,ˈkoɾ.nu,kɔ,koɾ,FALSE,,2,2,1,1,Initial,Initial,0,kɔ,0,nu,,corno,horn,Bandeira2017[366-412]
Angolar,ˈkɔkɔ,ˈkoɾnu,ˈkɔ.kɔ,ˈkoɾ.nu,kɔ,nu,FALSE,,2,2,2,2,Final,Final,ˈkɔ,2,ˈkoɾ,2,,corno,horn,Bandeira2017[366-412]
Angolar,ˈbɛgɐ,bɐˈʀigɐ,ˈbɛ.gɐ,bɐˈ.ʀi.gɐ,bɛ,bɐ,FALSE,,2,3,1,1,Initial,Initial,0,-,0,ʀi,,barriga,belly,Bandeira2017[366-412]
Angolar,ˈbɛgɐ,bɐˈʀigɐ,ˈbɛ.gɐ,bɐˈ.ʀi.gɐ,-,ʀi,FALSE,,2,3,-,2,-,Medial,ˈbɛ,gɐ,bɐˈ,gɐ,,barriga,belly,Bandeira2017[366-412]
Angolar,ˈbɛgɐ,bɐˈʀigɐ,ˈbɛ.gɐ,bɐˈ.ʀi.gɐ,gɐ,gɐ,TRUE,,,,2,3,,,,,,,,barriga,belly,Bandeira2017[366-412]
Angolar,ˈbɛgɐ,bɐˈʀigɐ,ˈbɛ.gɐ,bɐˈ.ʀi.gɐ,gɐ,gɐ,TRUE,,2,3,2,3,Final,Final,-,2,ʀi,3,,barriga,belly,Bandeira2017[366-412]
Angolar,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.ɡɐ.du,ˈfi,ˈfi,TRUE,,3,3,1,1,Initial,Initial,0,ga,0,ɡɐ,,fígado,liver,Bandeira2017[366-412]
