Angolar,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,,,,,SourceWordLength,TargetWordLength,SourceWordSyl,TargetWordSyl,WordDiff,WordBigger,SyllDiff,SyllBigger
Angolar,ˈũfwa,fɨˈdeɾ,ˈũ.fwa,fɨˈ.deɾ,,,,,5,5,2,2,0,Equal,0,Equal
Angolar,fiˈka,fiˈkaɾ,fi.ˈka,fi.ˈkaɾ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,fɔˈga,fɔlˈgaɾ,fɔ.ˈga,fɔl.ˈgaɾ,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,goˈgo,guʃˈtaɾ,go.ˈgo,guʃ.ˈtaɾ,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,kaˈta,kɐ̃ˈtaɾ,ka.ˈta,kɐ̃.ˈtaɾ,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,kaˈða,kɐˈzaɾ,ka.ˈða,kɐ.ˈzaɾ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,keˈle,ˈkɾeɾ,ke.ˈle,ˈkɾeɾ,,,,,4,4,2,1,0,Equal,1,Source
Angolar,kɛˈma,kejˈmaɾ,kɛ.ˈma,kej.ˈmaɾ,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,ˈkje,kɐˈiɾ,ˈkje,kɐ.ˈiɾ,,,,,3,4,1,2,-1,Target,-1,Target
Angolar,keˈse,kɾɨʃˈseɾ,ke.ˈse,kɾɨʃ.ˈseɾ,,,,,4,7,2,2,-3,Target,0,Equal
Angolar,kuˈje,kuˈʎeɾ,ku.ˈje,ku.ˈʎeɾ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,koˈle,kuʀeɾ,ko.ˈle,ku.ʀeɾ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,kɔˈta,kuɾˈtaɾ,kɔ.ˈta,kuɾ.ˈtaɾ,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,kɔˈθa,kuˈsaɾ,kɔ.ˈθa,ku.ˈsaɾ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,koˈðe,kuˈzeɾ,ko.ˈðe,ku.ˈzeɾ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,ˈmɛ,kuˈmeɾ,ˈmɛ,ku.ˈmeɾ,,,,,2,5,1,2,-3,Target,-1,Target
Angolar,kuˈzi,kuˈzeɾ,ku.ˈzi,ku.ˈzeɾ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,kuˈbi,kuˈbɾiɾ,ku.ˈbi,ku.ˈbɾiɾ,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,kuˈda,kujˈdaɾ,ku.ˈda,kuj.ˈdaɾ,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,kuˈpa,kulˈpaɾ,ku.ˈpa,kul.ˈpaɾ,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,kuˈla,kuˈɾaɾ,ku.ˈla,ku.ˈɾaɾ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,laˈba,lɐˈvaɾ,la.ˈba,lɐ.ˈvaɾ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,laˈta,lɨvɐ̃ˈtaɾ,la.ˈta,lɨ.vɐ̃.ˈtaɾ,,,,,4,8,2,3,-4,Target,-1,Target
Angolar,lɔˈlɔ,lɐ̃ˈbeɾ,lɔ.ˈlɔ,lɐ̃.ˈbeɾ,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,luˈzi,luˈziɾ,lu.ˈzi,lu.ˈziɾ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,ŋgãˈɲa,gɐˈɲaɾ,ŋ.gã.ˈɲa,gɐ.ˈɲaɾ,,,,,5,5,3,2,0,Equal,1,Source
Angolar,ŋgumiˈta,vumiˈtaɾ,ŋgu.mi.ˈta,vu.mi.ˈtaɾ,,,,,7,7,3,3,0,Equal,0,Equal
Angolar,θaˈga,salˈgaɾ,θa.ˈga,sal.ˈgaɾ,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,θaˈta,salˈtaɾ,θa.ˈta,sal.ˈtaɾ,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,θaˈva,salˈvaɾ,θa.ˈva,sal.ˈvaɾ,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,θaˈma,t̠ʃɐˈmaɾ,θa.ˈma,t̠ʃɐ.ˈmaɾ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,θeˈgwa,sɨɡuˈɾaɾ,θe.ˈgwa,sɨ.ɡu.ˈɾaɾ,,,,,5,7,2,3,-2,Target,-1,Target
Angolar,θɛˈla,ʃejˈɾaɾ,θɛ.ˈla,ʃej.ˈɾaɾ,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,siˈga,ʃɨˈɡaɾ,si.ˈga,ʃɨ.ˈɡaɾ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,siˈmja,sɨmiˈaɾ,si.ˈmj.a,sɨ.mi.ˈaɾ,,,,,5,6,3,3,-1,Target,0,Equal
Angolar,θuˈa,ʃuˈɾaɾ,θu.ˈa,ʃu.ˈɾaɾ,,,,,3,5,2,2,-2,Target,0,Equal
Angolar,θɔˈpa,suˈpɾaɾ,θɔ.ˈpa,su.ˈpɾaɾ,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,θuˈbi,suˈbiɾ,θu.ˈbi,su.ˈbiɾ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,θuˈpa,ʃuˈpaɾ,θu.ˈpa,ʃu.ˈpaɾ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,foˈmĩgɐ,fuɾˈmigɐ,fo.ˈmĩ.gɐ,fuɾ.ˈmi.gɐ,,,,,7,7,3,3,0,Equal,0,Equal
Angolar,viˈzjɐ̃,viˈziɲu,vi.ˈzj.ɐ̃,vi.ˈzi.ɲu,,,,,6,6,3,3,0,Equal,0,Equal
Angolar,bɔˈdɔ,ˈbɔɾdɐ,bɔ.ˈdɔ,ˈbɔɾ.dɐ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,ˈfɛlɐ,ˈfejɾɐ,ˈfɛ.lɐ,ˈfej.ɾɐ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,ˈŋge:ðɐ,iˈgɾɐjʒɐ,ˈŋ.ge:.ðɐ,i.ˈgɾɐj.ʒɐ,,,,,6,7,3,3,-1,Target,0,Equal
Angolar,ˈkai,ˈkazɐ,ˈkai,ˈka.zɐ,,,,,3,4,1,2,-1,Target,-1,Target
Angolar,kuˈzja,kuˈziɲɐ,ku.ˈzj.a,ku.ˈzi.ɲɐ,,,,,5,6,3,3,-1,Target,0,Equal
Angolar,pɔˈθɔ,ˈpovu,pɔ.ˈθɔ,ˈpo.vu,,,,,4,4,2,2,0,Equal,0,Equal
Angolar,ˈpɔtɔŋ,puɾˈtɐ̃w,ˈpɔ.tɔŋ,puɾ.ˈtɐ̃w,,,,,5,7,2,2,-2,Target,0,Equal
Angolar,θɐ̃ˈðalɐ,sẽˈzalɐ,θɐ̃.ˈða.lɐ,sẽ.ˈza.lɐ,,,,,7,7,3,3,0,Equal,0,Equal
Angolar,ˈθũbu,ˈʃũbu,ˈθũ.bu,ˈʃũ.bu,,,,,5,5,2,2,0,Equal,0,Equal
Angolar,fiˈo,ˈfɾiu,fi.ˈo,ˈfɾi.u,,,,,3,4,2,2,-1,Target,0,Equal
Angolar,kɐ̃ˈvɔ,kɐɾˈvɐ̃w̃,kɐ̃.ˈvɔ,kɐɾ.ˈvɐ̃w̃,,,,,5,8,2,2,-3,Target,0,Equal
Angolar,ˈmbɔsi,ˈnuvɐ̃j,ˈm.bɔ.si,ˈnu.vɐ̃j,,,,,5,6,3,2,-1,Target,1,Source
Angolar,niˈɲa,ˈleɲɐ,ni.ˈɲa,ˈle.ɲɐ,,,,,4,4,2,2,0,Equal,0,Equal
Angolar,miˈõgɐ,ˈmaɾ,mi.ˈõ.gɐ,ˈmaɾ,,,,,5,3,3,1,2,Source,2,Source
Angolar,ɔ̃ˈpɔ,ˈpɔ,ɔ̃.ˈpɔ,ˈpɔ,,,,,4,2,2,1,2,Source,1,Source
Angolar,oˈjo,ˈʁiu,o.ˈjo,ˈʁi.u,,,,,3,3,2,2,0,Equal,0,Equal
Angolar,ɔˈθɛ,ˈsɛw,ɔ.ˈθɛ,ˈsɛw,,,,,3,3,2,1,0,Equal,1,Source
Angolar,ˈpiku,ˈpiku,ˈpi.ku,ˈpi.ku,,,,,4,4,2,2,0,Equal,0,Equal
Angolar,laˈvwe,oɾˈvaʎu,la.ˈvw.e,oɾ.ˈva.ʎu,,,,,5,6,3,3,-1,Target,0,Equal
Angolar,ˈθɔlɔ,ˈsɔl,ˈθɔ.lɔ,ˈsɔl,,,,,4,3,2,1,1,Source,1,Source
Angolar,teˈtẽbu,ʃ.ˈtɾe.ɫɐ,te.ˈtẽ.bu,ʃ.ˈtɾe.ɫɐ,,,,,7,8,3,1,-1,Target,2,Source
Angolar,ˈθubɐ,ˈʃuvɐ,ˈθu.bɐ,ˈʃu.vɐ,,,,,4,4,2,2,0,Equal,0,Equal
Angolar,ˈt̠ʃja,ˈteʁɐ,ˈt̠ʃja,ˈte.ʁɐ,,,,,3,4,1,2,-1,Target,-1,Target
Angolar,toˈvadɐ,tɾuvuˈadɐ,to.ˈva.dɐ,tɾu.vu.ˈa.dɐ,,,,,6,8,3,4,-2,Target,-1,Target
Angolar,ˈvɛ̃tu,ˈvẽtu,ˈvɛ̃.tu,ˈvẽ.tu,,,,,5,4,2,2,1,Source,0,Equal
Angolar,aˈle,ʁej,a.ˈle,ʁej,,,,,3,3,2,1,0,Equal,1,Source
Angolar,doˈtolo,doˈtoɾ,do.ˈto.lo,do.ˈtoɾ,,,,,6,5,3,2,1,Source,1,Source
Angolar,kapiˈtelu,kɐɾpĩˈtejɾu,ka.pi.ˈte.lu,kɐɾ.pĩ.ˈtej.ɾu,,,,,8,11,4,4,-3,Target,0,Equal
Angolar,pisikaˈdo,pɨʃkɐˈdoɾ,pi.si.ka.ˈdo,pɨʃ.kɐ.ˈdoɾ,,,,,8,8,4,3,0,Equal,1,Source
Angolar,ˈlɛ̃ɲɐ,ʁɐˈiɲɐ,ˈlɛ̃.ɲɐ,ʁɐ.ˈi.ɲɐ,,,,,5,5,2,3,0,Equal,-1,Target
Angolar,sapaˈtelu,sɐpɐˈtejɾu,sa.pa.ˈte.lu,sɐ.pɐ.ˈtej.ɾu,,,,,8,9,4,4,-1,Target,0,Equal
Angolar,θɔˈdɛ,sɔlˈdadu,θɔ.ˈdɛ,sɔl.ˈda.du,,,,,4,7,2,3,-3,Target,-1,Target
Angolar,biˈdɔnɐ,bizɐˈvɔ,bi.ˈdɔ.nɐ,bi.zɐ.ˈvɔ,,,,,6,6,3,3,0,Equal,0,Equal
Angolar,biˈdɔnu,bizɐˈvo,bi.ˈdɔ.nu,bi.zɐ.ˈvo,,,,,6,6,3,3,0,Equal,0,Equal
Angolar,kuˈɲadɐ,kuˈɲadɐ,ku.ˈɲa.dɐ,ku.ˈɲa.dɐ,,,,,6,6,3,3,0,Equal,0,Equal
Angolar,kuˈɲadu,kuˈɲadu,ku.ˈɲa.du,ku.ˈɲa.du,,,,,6,6,3,3,0,Equal,0,Equal
Angolar,maˈma,mɐˈmɐ̃j,ma.ˈma,mɐ.ˈmɐ̃j,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,ˈmanɐ,iɾˈmɐ̃,ˈma.nɐ,iɾ.ˈmɐ̃,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,ˈmanu,iɾˈmɐ̃w,ˈma.nu,iɾ.ˈmɐ̃w,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,ɔˈmɛ,ˈomɐ̃j,ɔ.ˈmɛ,ˈo.mɐ̃j,,,,,3,5,2,2,-2,Target,0,Equal
Angolar,mẽˈgai,ʃˈpozɐ,mẽ.ˈgai,ʃ.ˈpo.zɐ,,,,,6,5,2,3,1,Source,-1,Target
Angolar,ˈtata,paj,ˈta.ta,paj,,,,,4,3,2,1,1,Source,1,Source
Angolar,ˈpimu,ˈpɾimu,ˈpi.mu,ˈpɾi.mu,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,ˈt̠ʃio,ˈtʃiu,ˈt̠ʃi.o,ˈtʃi.u,,,,,3,4,2,2,-1,Target,0,Equal
Angolar,ˈvjuvɐ,viˈuvɐ,ˈvju.vɐ,vi.ˈu.vɐ,,,,,5,5,2,3,0,Equal,-1,Target
Angolar,aˈmi,ˈew,a.ˈmi,ˈew,,,,,3,2,2,1,1,Source,1,Source
Angolar,ˈele,ˈeli,ˈe.le,ˈe.li,,,,,3,3,2,2,0,Equal,0,Equal
Angolar,ˈɛnɛ,ˈeɫɨʃ,ˈɛ.nɛ,ˈe.ɫɨʃ,,,,,3,4,2,2,-1,Target,0,Equal
Angolar,ˈku,kõ,ˈku,kõ,,,,,2,2,1,1,0,Equal,0,Equal
Angolar,ˈθɛpɛ,ˈsẽpɾɨ,ˈθɛ.pɛ,ˈsẽ.pɾɨ,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,ˈθũ,sɨˈɲoɾ,ˈθũ,sɨˈ.ɲoɾ,,,,,3,5,1,2,-2,Target,-1,Target
Angolar,ˈdodo,ˈdojdu,ˈdo.do,ˈdoj.du,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,ˈfwe,feju,ˈfwe,fej.u,,,,,3,4,1,2,-1,Target,-1,Target
Angolar,ˈfa:ku,ˈfɾaku,ˈfa:.ku,ˈfɾa.ku,,,,,5,5,2,2,0,Equal,0,Equal
Angolar,ˈfũdu,ˈfũdu,ˈfũ.du,ˈfũ.du,,,,,5,5,2,2,0,Equal,0,Equal
Angolar,ˈgagu,ˈgagu,ˈga.gu,ˈga.gu,,,,,4,4,2,2,0,Equal,0,Equal
Angolar,ˈgodo,ˈɡoɾdu,ˈgo.do,ˈɡoɾ.du,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,ˈgwali,iˈgwaɫ,ˈgwa.li,i.ˈgwaɫ,,,,,5,5,2,2,0,Equal,0,Equal
Angolar,kaˈĩ,ɐvɐˈɾẽtu,ka.ˈĩ,ɐ.vɐ.ˈɾẽ.tu,,,,,4,8,2,4,-4,Target,-2,Target
Angolar,kuˈpadu,kulˈpadu,ku.ˈpa.du,kul.ˈpa.du,,,,,6,7,3,3,-1,Target,0,Equal
Angolar,ˈkutu,ˈkuɾtu,ˈku.tu,ˈkuɾ.tu,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,kuˈlu,ˈkɾu,ku.ˈlu,ˈkɾu,,,,,4,3,2,1,1,Source,1,Source
Angolar,ˈfɛku,ˈfɾeʃku,ˈfɛ.ku,ˈfɾeʃ.ku,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,sisiˈma,ʃˈkuɾu,si.si.ˈma,ʃ.ˈku.ɾu,,,,,6,5,3,3,1,Source,0,Equal
Angolar,ˈmɐ̃gu,ˈmagɾu,ˈmɐ̃.gu,ˈma.gɾu,,,,,5,5,2,2,0,Equal,0,Equal
Angolar,ˈmɐ̃θu,ˈmɐ̃su,ˈmɐ̃.θu,ˈmɐ̃.su,,,,,5,5,2,2,0,Equal,0,Equal
Angolar,ˈθɛgu,ˈsɛɡu,ˈθɛ.gu,ˈsɛ.ɡu,,,,,4,4,2,2,0,Equal,0,Equal
Angolar,θuˈpɛtu,ʃˈpeɾtu,θu.ˈpɛ.tu,ʃ.ˈpeɾ.tu,,,,,6,6,3,3,0,Equal,0,Equal
Angolar,ˈvɛ,ˈveʎu,ˈvɛ,ˈve.ʎu,,,,,2,4,1,2,-2,Target,-1,Target
Angolar,ˈðɛdu,ɐˈzedu,ˈðɛ.du,ɐ.ˈze.du,,,,,4,5,2,3,-1,Target,-1,Target
Angolar,ˈðudɐ,pɨˈsoɐ,ˈðu.dɐ,pɨ.ˈso.ɐ,,,,,4,5,2,3,-1,Target,-1,Target
Angolar,ˈdosu,ˈdojʃ,ˈdo.su,ˈdojʃ,,,,,4,4,2,1,0,Equal,1,Source
Angolar,ˈkwanɐ,ˈkwatɾu,ˈkwa.nɐ,ˈkwa.tɾu,,,,,5,6,2,2,-1,Target,0,Equal
Angolar,ˈlitu,ˈlitɾu,ˈli.tu,ˈli.tɾu,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,ˈuvwɐ,ˈnovɨ,ˈu.vwɐ,ˈno.vɨ,,,,,4,4,2,2,0,Equal,0,Equal
