Language,SourceWord,TargetWord,source word syl,target word syl,SourceSyllable,TargetSyllable,PositionSource,Position Target, SourceWord,TargetOrthography,Translation,Referenc e,Notes
Diu,muɾe,mu.ˈʁeɾ,mu.ɾe,mu.ˈʁeɾ,mu,mu,1,1,CVCV,morrer,die,Clements2012[37-41],
Diu,muɾe,mu.ˈʁeɾ,mu.ɾe,mu.ˈʁeɾ,ɾe,ʁeɾ,2,2,CVCV,morrer,die,Clements2012[37-41],
Diu,faze buɾak,fɐˈzeɾ,fa.ze bu.ɾa.k,fɐ.ˈzeɾ,fa,fɐ,1,1,CVCV CVCVC,fazer um buraco,dig,Clements2012[37-41],
Diu,faze buɾak,fɐˈzeɾ,fa.ze bu.ɾa.k,fɐ.ˈzeɾ,ze,zeɾ,2,2,CVCV CVCVC,fazer um buraco,dig,Clements2012[37-41],
Diu,faze buɾak,fɐˈzeɾ,fa.ze bu.ɾa.k,fɐ.ˈzeɾ,bu,-,3,-,CVCV CVCVC,fazer um buraco,dig,Clements2012[37-41],
Diu,faze buɾak,fɐˈzeɾ,fa.ze bu.ɾa.k,fɐ.ˈzeɾ,ɾa,-,4,-,CVCV CVCVC,fazer um buraco,dig,Clements2012[37-41],
Diu,faze buɾak,fɐˈzeɾ,fa.ze bu.ɾa.k,fɐ.ˈzeɾ,k,-,5,-,CVCV CVCVC,fazer um buraco,dig,Clements2012[37-41],
Diu,sud̠ʒ,ˈsuʒu,su.d̠ʒ,ˈsu.ʒu,su,ˈsu,1,1,CVCC,sujo,dirty,Clements2012[37-41],
Diu,sud̠ʒ,ˈsuʒu,su.d̠ʒ,ˈsu.ʒu,d̠ʒ,ʒu,2,2,CVCC,sujo,dirty,Clements2012[37-41],
Diu,kãw,ˈkɐ̃w̃,kãw,ˈkɐ̃w̃,kãw,ˈkɐ̃w̃,1,1,CVC,cão,dog,Clements2012[37-41],
Diu,bebe,bɨ.ˈbeɾ,be.be,bɨ.ˈbeɾ,be,bɨ,1,1,CVCV,beber,drink (v.),Clements2012[37-41],
Diu,bebe,bɨ.ˈbeɾ,be.be,bɨ.ˈbeɾ,be,beɾ,2,2,CVCV,beber,drink (v.),Clements2012[37-41],
Diu,sek,ˈseku,sek,ˈse.ku,sek,ˈse,1,1,CVC,seco,dry,Clements2012[37-41],
Diu,sek,ˈseku,sek,ˈse.ku,-,ku,-,2,CVC,seco,dry,Clements2012[37-41],
Diu,pueɾ,pu.ˈɐj.ɾɐ,pu.eɾ,pu.ˈɐj.ɾɐ,pu,pu,1,1,CVVC,pueira,dust,Clements2012[37-41],
Diu,pueɾ,pu.ˈɐj.ɾɐ,pu.eɾ,pu.ˈɐj.ɾɐ,eɾ,ɐj,2,2,CVVC,pueira,dust,Clements2012[37-41],
Diu,pueɾ,pu.ˈɐj.ɾɐ,pu.eɾ,pu.ˈɐj.ɾɐ,-,ɾɐ,-,3,CVVC,pueira,dust,Clements2012[37-41],
Diu,uʋid,o.ˈvi.du,u.ʋid,o.ˈvi.du,u,o,1,1,VCVC,ouvido,ear,Clements2012[37-41],
Diu,uʋid,o.ˈvi.du,u.ʋid,o.ˈvi.du,ʋid,vi,2,2,VCVC,ouvido,ear,Clements2012[37-41],
Diu,uʋid,o.ˈvi.du,u.ʋid,o.ˈvi.du,-,du,-,3,VCVC,ouvido,ear,Clements2012[37-41],
Diu,tɛɾ,ˈte.ʁɐ,tɛɾ,ˈte.ʁɐ,tɛɾ,ˈte,1,1,CVC,terra,earth,Clements2012[37-41],
Diu,tɛɾ,ˈte.ʁɐ,tɛɾ,ˈte.ʁɐ,-,ʁɐ,-,2,CVC,terra,earth,Clements2012[37-41],
Diu,kume,kuˈmeɾ,ku.me,ku.ˈmeɾ,ku,ku,1,1,CVCV,comer,eat,Clements2012[37-41],
Diu,kume,kuˈmeɾ,ku.me,ku.ˈmeɾ,me,meɾ,2,2,CVCV,comer,eat,Clements2012[37-41],
Diu,oʋ,ˈo.vu,oʋ,ˈo.vu,oʋ,ˈo,1,1,VC,ovo,egg,Clements2012[37-41],
Diu,oʋ,ˈo.vu,oʋ,ˈo.vu,-,ˈvu,-,2,VC,ovo,egg,Clements2012[37-41],
Diu,ojl,ˈo.ʎu,o.jl,ˈo.ʎu,o,ˈo,1,1,VCC,olho,eye,Clements2012[37-41],
Diu,ojl,ˈo.ʎu,o.jl,ˈo.ʎu,jl,ʎu,2,2,VCC,olho,eye,Clements2012[37-41],
Diu,kai,kɐˈiɾ,kai,kɐˈiɾ,kai,kɐ,1,1,CVV,cair,fall,Clements2012[37-41],
Diu,kai,kɐˈiɾ,kai,kɐˈiɾ,-,iɾ,-,2,CVV,cair,fall,Clements2012[37-41],
Diu,lõj,ˈlõʒɨ,lõ.j,ˈlõ.ʒɨ,lõ,ˈlõ,1,1,CVC,longe,far,Clements2012[37-41],
Diu,lõj,ˈlõʒɨ,lõ.j,ˈlõ.ʒɨ,j,ʒɨ,2,2,CVC,longe,far,Clements2012[37-41],
Diu,mãteg,ˈmɐ̃tɐjgɐ,mã.te.g,ˈmɐ̃.tɐj.gɐ,mã,ˈmɐ̃,1,1,CVCVC,manteiga,ghee,Clements2012[37-41],
Diu,mãteg,ˈmɐ̃tɐjgɐ,mã.te.g,ˈmɐ̃.tɐj.gɐ,te,tɐj,2,2,CVCVC,manteiga,ghee,Clements2012[37-41],
Diu,mãteg,ˈmɐ̃tɐjgɐ,mã.te.g,ˈmɐ̃.tɐj.gɐ,g,gɐ,3,3,CVCVC,manteiga,ghee,Clements2012[37-41],
Diu,azet,ɐ.ˈzɐj.tɨ,a.ze.t,ɐ.ˈzɐj.tɨ,a,ɐ,1,1,VCVC,azeite,oil,Clements2012[37-41],
Diu,azet,ɐ.ˈzɐj.tɨ,a.ze.t,ɐ.ˈzɐj.tɨ,ze,zɐj,2,2,VCVC,azeite,oil,Clements2012[37-41],
Diu,azet,ɐ.ˈzɐj.tɨ,a.ze.t,ɐ.ˈzɐj.tɨ,t,tɨ,3,3,VCVC,azeite,oil,Clements2012[37-41],
Diu,paj,paj,paj,paj,paj,paj,1,1,CVC,pai,father,Clements2012[37-41],
Diu,med,ˈme.du,me.d,ˈme.du,me,ˈme,1,1,CVC,medo,fear,Clements2012[37-41],
Diu,med,ˈme.du,me.d,ˈme.du,d,du,2,2,CVC,medo,fear,Clements2012[37-41],
Diu,pɛn,ˈpenɐ,pɛn,ˈpe.nɐ,pɛn,ˈpe,1,1,CVC,pena,feather,Clements2012[37-41],
Diu,pɛn,ˈpenɐ,pɛn,ˈpe.nɐ,-,nɐ,-,2,CVC,pena,feather,Clements2012[37-41],
Diu,pok,ˈpoku,pok,ˈpo.ku,pok,ˈpo,1,1,CVC,pouco,few,Clements2012[37-41],
Diu,pok,ˈpoku,pok,ˈpo.ku,-,ku,-,2,CVC,pouco,few,Clements2012[37-41],
Diu,pokʃin,ˈpoku,pok.ʃin,ˈpo.ku,pok,ˈpo,1,1,CVCCVC,pouco,few,Clements2012[37-41],
Diu,pokʃin,ˈpoku,pok.ʃin,ˈpo.ku,ʃin,ku,2,2,,,,,
Diu,fog,ˈfoɡu,fog,ˈfo.ɡu,fog,ˈfo,1,1,CVC,fogo,fire,Clements2012[37-41],
Diu,fog,ˈfoɡu,fog,ˈfo.ɡu,-,ˈɡu,-,2,CVC,fogo,fire,Clements2012[37-41],
Diu,peʃ,ˈpejʃɨ,pe.ʃ,ˈpe.jʃɨ,pe,ˈpe,1,1,CVC,peixe,fish,Clements2012[37-41],
Diu,peʃ,ˈpejʃɨ,pe.ʃ,ˈpe.jʃɨ,ʃ,jʃɨ,2,2,CVC,peixe,fish,Clements2012[37-41],
Diu,sĩk,ˈsĩku,sĩk,ˈsĩ.ku,sĩk,ˈsĩ,1,1,CVC,cinco,five,Clements2012[37-41],
Diu,sĩk,ˈsĩku,sĩk,ˈsĩ.ku,-,ku,-,2,CVC,cinco,five,Clements2012[37-41],
Diu,ʋaza,vɐˈzaɾ,ʋa.za,vɐ.ˈzaɾ,ʋa,vɐ,1,1,CVCV,vazar,flow,Clements2012[37-41],
Diu,ʋaza,vɐˈzaɾ,ʋa.za,vɐ.ˈzaɾ,za,zaɾ,2,2,CVCV,vazar,flow,Clements2012[37-41],
Diu,floɾ,ˈfloɾ,floɾ,ˈfloɾ,floɾ,ˈfloɾ,1,1,CCVC,flor,flower,Clements2012[37-41],
Diu,uʋa,vuˈaɾ,u.ʋa,vu.ˈaɾ,u,vu,1,1,VCV,voar,fly,Clements2012[37-41],
Diu,uʋa,vuˈaɾ,u.ʋa,vu.ˈaɾ,ʋa,aɾ,2,2,VCV,voar,fly,Clements2012[37-41],
Diu,uʋa,nɨ.vu.ˈɐj.ɾu,u.ʋa,nɨ.vu.ˈɐj.ɾu,u,nɨ,1,1,VCV,nevoeiro,fog,Clements2012[37-41],
Diu,uʋa,nɨ.vu.ˈɐj.ɾu,u.ʋa,nɨ.vu.ˈɐj.ɾu,ʋa,vu,2,2,VCV,nevoeiro,fog,Clements2012[37-41],
Diu,uʋa,nɨ.vu.ˈɐj.ɾu,u.ʋa,nɨ.vu.ˈɐj.ɾu,u,ɐj,1,3,VCV,nevoeiro,fog,Clements2012[37-41],
Diu,uʋa,nɨ.vu.ˈɐj.ɾu,u.ʋa,nɨ.vu.ˈɐj.ɾu,ʋa,ɾu,2,4,VCV,nevoeiro,fog,Clements2012[37-41],
Diu,pe,ˈpɛ,pe,ˈpɛ,pe,ˈpɛ,1,1,CV,pé,foot,Clements2012[37-41],
Diu,kwɔt,ˈkwa.tɾu,kwɔ.t,ˈkwa.tɾu,kwɔ,ˈkwa,1,1,CCVC,quatro,four,Clements2012[37-41],
Diu,kwɔt,ˈkwa.tɾu,kwɔ.t,ˈkwa.tɾu,t,tɾu,2,2,CCVC,quatro,four,Clements2012[37-41],
Diu,fika d̠ʒel,fiˈkaɾˈʒelu,fi.ka d̠ʒel,fi.ˈkaɾ.ˈʒe.lu,fi,fi,1,1,CVCV CCVC,ficar gelo,freeze,Clements2012[37-41],
Diu,fika d̠ʒel,fiˈkaɾˈʒelu,fi.ka d̠ʒel,fi.ˈkaɾ.ˈʒe.lu,ka,kaɾ,2,2,CVCV CCVC,ficar gelo,freeze,Clements2012[37-41],
Diu,fika d̠ʒel,fiˈkaɾˈʒelu,fi.ka d̠ʒel,fi.ˈkaɾ.ˈʒe.lu,d̠ʒel,ʒe,3,3,CVCV CCVC,ficar gelo,freeze,Clements2012[37-41],
Diu,fika d̠ʒel,fiˈkaɾˈʒelu,fi.ka d̠ʒel,fi.ˈkaɾ.ˈʒe.lu,-,lu,-,4,CVCV CCVC,ficar gelo,freeze,Clements2012[37-41],
Diu,fuɾt,ˈfɾutɐ,fuɾt,ˈfɾu.tɐ,fuɾt,ˈfɾu,1,1,CVCC,fruta,fruit,Clements2012[37-41],
Diu,fuɾt,ˈfɾutɐ,fuɾt,ˈfɾu.tɐ,-,tɐ,-,2,CVCC,fruta,fruit,Clements2012[37-41],
Diu,ʃej,ˈʃɐju,ʃej,ˈʃɐ.ju,ʃej,ˈʃɐ,1,1,CVC,cheio,full,Clements2012[37-41],
Diu,ʃej,ˈʃɐju,ʃej,ˈʃɐ.ju,-,ju,-,2,CVC,cheio,full,Clements2012[37-41],
Diu,da,ˈdaɾ,da,ˈdaɾ,da,ˈdaɾ,1,1,CV,dar,give,Clements2012[37-41],
Diu,bunit,bõ,bu.ni.t,bõ,bu,bõ,1,1,CVCVC,bom,good,Clements2012[37-41],
Diu,bunit,bõ,bu.ni.t,bõ,ni,-,2,-,CVCVC,bom,good,Clements2012[37-41],
Diu,bunit,bõ,bu.ni.t,bõ,t,-,3,-,CVCVC,bom,good,Clements2012[37-41],
Diu,bõ,bõ,bõ,bõ,bõ,-,1,-,CV,bom,good,Clements2012[37-41],
Diu,ɛɾʋ,ˈeɾ.vɐ,ɛɾ.ʋ,ˈeɾ.vɐ,ɛɾ,ˈeɾ,1,1,VCC,erva,grass,Clements2012[37-41],
Diu,ɛɾʋ,ˈeɾ.vɐ,ɛɾ.ʋ,ˈeɾ.vɐ,ʋ,ˈvɐ,2,2,VCC,erva,grass,Clements2012[37-41],
Diu,ʋeɾd,ˈveɾdɨ,ʋe.ɾd,ˈveɾ.dɨ,ʋe,ˈveɾ,1,1,CVCC,verde,green,Clements2012[37-41],
Diu,ʋeɾd,ˈveɾdɨ,ʋe.ɾd,ˈveɾ.dɨ,ɾd,dɨ,2,2,CVCC,verde,green,Clements2012[37-41],
Diu,tɾip,ˈtɾipɐ,tɾip,ˈtɾi.pɐ,tɾip,ˈtɾi,1,1,CCVC,tripa,guts,Clements2012[37-41],
Diu,tɾip,ˈtɾipɐ,tɾip,ˈtɾi.pɐ,-,ˈpɐ,-,2,CCVC,tripa,guts,Clements2012[37-41],
Diu,kabel,kɐˈbelu,ka.bel,kɐ.ˈbe.lu,ka,kɐ,1,1,CVCVC,cabelo,hair,Clements2012[37-41],
Diu,kabel,kɐˈbelu,ka.bel,kɐ.ˈbe.lu,bel,be,2,2,CVCVC,cabelo,hair,Clements2012[37-41],
Diu,kabel,kɐˈbelu,ka.bel,kɐ.ˈbe.lu,-,lu,-,3,CVCVC,cabelo,hair,Clements2012[37-41],
Diu,mãw,ˈmɐ̃w̃,mãw,ˈmɐ̃w̃,mãw,ˈmɐ̃w̃,1,1,CVC,mão,hand,Clements2012[37-41],
Diu,el,ˈe.ɫɨ,el,ˈe.ɫɨ,el,ˈe,1,1,VC,ele,he,Clements2012[37-41],
Diu,el,ˈe.ɫɨ,el,ˈe.ɫɨ,-,ɫɨ,-,2,VC,ele,he,Clements2012[37-41],
Diu,kabes,kɐˈbesɐ,ka.bes,kɐ.ˈbe.sɐ,ka,kɐ,1,1,CVCVC,cabeça,head,Clements2012[37-41],
Diu,kabes,kɐˈbesɐ,ka.bes,kɐ.ˈbe.sɐ,bes,be,2,2,CVCVC,cabeça,head,Clements2012[37-41],
Diu,kabes,kɐˈbesɐ,ka.bes,kɐ.ˈbe.sɐ,-,sɐ,-,3,CVCVC,cabeça,head,Clements2012[37-41],
Diu,uʋi,o.ˈviɾ,u.ʋi,o.ˈviɾ,u,o,1,1,VCV,ouvir,hear,Clements2012[37-41],
Diu,uʋi,o.ˈviɾ,u.ʋi,o.ˈviɾ,ʋi,viɾ,2,2,VCV,ouvir,hear,Clements2012[37-41],
Diu,kuɾəsãw,kuɾɐˈsɐ̃w̃,ku.ɾə.sãw,ku.ɾɐ.ˈsɐ̃w̃,ku,ku,1,1,CVCVCVC,coração,heart,Clements2012[37-41],
Diu,kuɾəsãw,kuɾɐˈsɐ̃w̃,ku.ɾə.sãw,ku.ɾɐ.ˈsɐ̃w̃,ɾə,ɾɐ,2,2,CVCVCVC,coração,heart,Clements2012[37-41],
