Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,Source word length,Target word length,SourceWordSyl length,TargetWordSyl length,Word diff,Word bigger,Syll diff,SylNum bigger,Encontra espaço branco
,podɾ,ˈpodɾɨ,po.dɾ,ˈpo.dɾɨ,po,ˈpo,2,2,4,5,2,2,-1,Target,0,Equal,#VALUE!
,podɾ,ˈpodɾɨ,po.dɾ,ˈpo.dɾɨ,dɾ,dɾɨ,2,2,4,5,2,2,-1,Target,0,Equal,#VALUE!
,sfɾega,iʃfɾɨˈɡaɾ,s.fɾe.ga,iʃ.fɾɨ.ˈɡaɾ,s,iʃ,3,3,6,8,3,3,-2,Target,0,Equal,#VALUE!
,sfɾega,iʃfɾɨˈɡaɾ,s.fɾe.ga,iʃ.fɾɨ.ˈɡaɾ,fɾe,fɾɨ,3,3,6,8,3,3,-2,Target,0,Equal,#VALUE!
,sfɾega,iʃfɾɨˈɡaɾ,s.fɾe.ga,iʃ.fɾɨ.ˈɡaɾ,ga,ˈɡaɾ,3,3,6,8,3,3,-2,Target,0,Equal,#VALUE!
,ʃuɾia,ẽʃuˈɡaɾ,ʃu.ɾi.a,ẽ.ʃu.ˈɡaɾ,ʃu,ẽ,3,3,5,6,3,3,-1,Target,0,Equal,#VALUE!
,ʃuɾia,ẽʃuˈɡaɾ,ʃu.ɾi.a,ẽ.ʃu.ˈɡaɾ,ɾia,ʃu,3,3,5,6,3,3,-1,Target,0,Equal,#VALUE!
,ʃuɾia,ẽʃuˈɡaɾ,ʃu.ɾi.a,ẽ.ʃu.ˈɡaɾ,a,ˈɡaɾ,3,3,5,6,3,3,-1,Target,0,Equal,#VALUE!
,sal,ˈsal,sal,ˈsal,sal,ˈsal,1,1,3,3,1,1,0,Equal,0,Equal,#VALUE!
,aɾea,ɐˈɾɐjɐ,a.ɾe.a,ɐ.ˈɾɐj.ɐ,a,ɐ,3,3,4,5,3,3,-1,Target,0,Equal,#VALUE!
