Language,SourceWord,SourceWord CV,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TemplateSource,TemplateTarget,TargetOrthography,Translation,Reference,Notes
Cape Verdean Sao Vicente,dnot,CCVC,ˈdɨ 'nojtɨ,d.not,ˈdɨ 'noj.tɨ,not,noj,2,2,,CVC,CVg,de noite,night,Baptista2019[271-277],
Cape Verdean Sao Vicente,dnot,CCVC,ˈdɨ 'nojtɨ,d.not,ˈdɨ 'noj.tɨ,-,tɨ,-,3,,-,CV,de noite,night,Baptista2019[271-277],
Cape Verdean Sao Vicente,skuɾ,CCVC,iʃˈkuɾu,skuɾ,iʃ.ˈku.ɾu,skuɾ,iʃ,1,1,,CCVC,VC,escuro,night,Baptista2019[271-277],
Cape Verdean Sao Vicente,skuɾ,CCVC,iʃˈkuɾu,skuɾ,iʃ.ˈku.ɾu,-,ˈku,-,2,,-,CV,escuro,night,Baptista2019[271-277],
Cape Verdean Sao Vicente,skuɾ,CCVC,iʃˈkuɾu,skuɾ,iʃ.ˈku.ɾu,-,ɾu,-,3,,-,CV,escuro,night,Baptista2019[271-277],
Cape Verdean Sao Vicente,neɾis,CVCVC,nɐˈɾiʃ,ne.ɾis,nɐ.ˈɾiʃ,ne,nɐ,1,1,,CV,CV,nariz,nose,Baptista2019[271-277],
Cape Verdean Sao Vicente,neɾis,CVCVC,nɐˈɾiʃ,ne.ɾis,nɐ.ˈɾiʃ,ɾis,ˈɾiʃ,2,2,,CVC,CVC,nariz,nose,Baptista2019[271-277],
Cape Verdean Sao Vicente,no,CV,ˈnɐ̃w̃,no,ˈnɐ̃w̃,no,ˈnɐ̃w̃,1,1,,CV,CVg,não,no,Baptista2019[271-277],
Cape Verdean Sao Vicente,bed̠ʒ,CVCC,ˈveʎu,be.d̠ʒ,ˈve.ʎu,be,ˈve,1,1,,CV,CV,velho,old,Baptista2019[271-277],
Cape Verdean Sao Vicente,bed̠ʒ,CVCC,ˈveʎu,be.d̠ʒ,ˈve.ʎu,d̠ʒ,ʎu,2,2,dissimilation,CV,CV,velho,old,Baptista2019[271-277],
Cape Verdean Sao Vicente,uzɔd,VCVC,uˈzadu,u.zɔ.d,u.ˈza.du,u,u,1,1,,V,V,usado,old,Baptista2019[271-277],
Cape Verdean Sao Vicente,uzɔd,VCVC,uˈzadu,u.zɔ.d,u.ˈza.du,zɔ,ˈza,2,2,,CV,CV,usado,old,Baptista2019[271-277],
Cape Verdean Sao Vicente,uzɔd,VCVC,uˈzadu,u.zɔ.d,u.ˈza.du,d,du,3,3,metathesis,C,CV,usado,old,Baptista2019[271-277],
Cape Verdean Sao Vicente,antig,VCVC,ɐ̃ˈtiɡu,an.tig,ɐ̃.ˈti.ɡu,-,ɐ̃,-,1,,-,V,antigo,old,Baptista2019[271-277],
Cape Verdean Sao Vicente,antig,VCVC,ɐ̃ˈtiɡu,an.tig,ɐ̃.ˈti.ɡu,an,ˈti,1,2,,V,CV,antigo,old,Baptista2019[271-277],
Cape Verdean Sao Vicente,antig,VCVC,ɐ̃ˈtiɡu,an.tig,ɐ̃.ˈti.ɡu,tig,ɡu,2,3,assimilation,CVC,CV,antigo,old,Baptista2019[271-277],
Cape Verdean Sao Vicente,un,VC,ũ,un,ũ,un,ũ,1,1,assimilation,V,V,um,one,Baptista2019[271-277],
Cape Verdean Sao Vicente,ot,VC,ˈowtɾu,ot,ˈow.tɾu,ot,ˈow,1,1,,VC,V,outro,other,Baptista2019[271-277],
Cape Verdean Sao Vicente,ot,VC,ˈowtɾu,ot,ˈow.tɾu,-,tɾu,-,2,,-,CCV,outro,other,Baptista2019[271-277],
Cape Verdean Sao Vicente,psoa,CCVV,pɨˈsoɐ,p.so.a,pɨ.ˈso.ɐ,p,pɨ,1,1,,C,CV,pessoa,person,Baptista2019[271-277],
Cape Verdean Sao Vicente,psoa,CCVV,pɨˈsoɐ,p.so.a,pɨ.ˈso.ɐ,so,ˈso,2,2,,CV,CV,pessoa,person,Baptista2019[271-277],
Cape Verdean Sao Vicente,psoa,CCVV,pɨˈsoɐ,p.so.a,pɨ.ˈso.ɐ,a,ɐ,3,3,metathesis,V,V,pessoa,person,Baptista2019[271-277],
Cape Verdean Sao Vicente,ʒga,CCV,ʒuˈgaɾ,ʒ.ga,ʒu.ˈgaɾ,ʒ,ʒu,1,1,,C,CV,jogar,play,Baptista2019[271-277],
Cape Verdean Sao Vicente,ʒga,CCV,ʒuˈgaɾ,ʒ.ga,ʒu.ˈgaɾ,ga,ˈgaɾ,2,2,metathesis,CV,CVC,jogar,play,Baptista2019[271-277],
Cape Verdean Sao Vicente,pʃa,CCV,puˈʃaɾ,pʃa,pu.ˈʃaɾ,pʃa,pu,1,1,,CCV,CV,puxar,pull,Baptista2019[271-277],
Cape Verdean Sao Vicente,pʃa,CCV,puˈʃaɾ,pʃa,pu.ˈʃaɾ,-,ˈʃaɾ,-,2,metathesis,-,CVC,puxar,pull,Baptista2019[271-277],
Cape Verdean Sao Vicente,pint̠ʃa,CVCCV,pĩˈʃaɾ,pin.t̠ʃa,pĩ.ˈʃaɾ,pin,pĩ,1,1,,CV,CV,pinchar,push,Baptista2019[271-277],
Cape Verdean Sao Vicente,pint̠ʃa,CVCCV,pĩˈʃaɾ,pin.t̠ʃa,pĩ.ˈʃaɾ,t̠ʃa,ˈʃaɾ,2,2,assimilation,CCV,CVC,pinchar,push,Baptista2019[271-277],
Cape Verdean Sao Vicente,inpuɾa,VCVCV,ẽpuˈʀaɾ,in.pu.ɾa,ẽ.pu.ˈʀaɾ,in,ẽ,1,1,,V,V,empurrar,push,Baptista2019[271-277],
Cape Verdean Sao Vicente,inpuɾa,VCVCV,ẽpuˈʀaɾ,in.pu.ɾa,ẽ.pu.ˈʀaɾ,pu,pu,2,2,,CV,CV,empurrar,push,Baptista2019[271-277],
Cape Verdean Sao Vicente,inpuɾa,VCVCV,ẽpuˈʀaɾ,in.pu.ɾa,ẽ.pu.ˈʀaɾ,ɾa,ˈʀaɾ,3,3,assimilation,CV,CVC,empurrar,push,Baptista2019[271-277],
Cape Verdean Sao Vicente,dat̠ʃuva,CVCCVCV,ʃuˈveɾ,da.t̠ʃu.va,ʃu.ˈveɾ,da,-,1,-,,CV,,chover,rain,Baptista2019[271-277],
Cape Verdean Sao Vicente,dat̠ʃuva,CVCCVCV,ʃuˈveɾ,da.t̠ʃu.va,ʃu.ˈveɾ,t̠ʃu,ʃu,2,1,,CCV,CV,chover,rain,Baptista2019[271-277],
Cape Verdean Sao Vicente,dat̠ʃuva,CVCCVCV,ʃuˈveɾ,da.t̠ʃu.va,ʃu.ˈveɾ,va,ˈveɾ,3,2,,CV,CVC,chover,rain,Baptista2019[271-277],
Cape Verdean Sao Vicente,bɾumed̠ʒ,CCVCVCC,vɨɾˈmɐjʎu,bɾu.me.d̠ʒ,Vɨɾ.ˈmɐj.ʎu,bɾu,Vɨɾ,1,1,,CCV,CVC,vermelho,red,Baptista2019[271-277],
Cape Verdean Sao Vicente,bɾumed̠ʒ,CCVCVCC,vɨɾˈmɐjʎu,bɾu.me.d̠ʒ,Vɨɾ.ˈmɐj.ʎu,me,ˈmɐj,2,2,,CV,CVg,vermelho,red,Baptista2019[271-277],
Cape Verdean Sao Vicente,bɾumed̠ʒ,CCVCVCC,vɨɾˈmɐjʎu,bɾu.me.d̠ʒ,Vɨɾ.ˈmɐj.ʎu,d̠ʒ,ʎu,3,3,dissimilation,CC,CV,vermelho,red,Baptista2019[271-277],
