Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Casamancese,koˈsa,kuˈsaɾ,ko.ˈsa,ku.ˈsaɾ,ko,ku,1,1,,coçar,scratch,Biagui2012[106],
Casamancese,koˈsa,kuˈsaɾ,ko.ˈsa,ku.ˈsaɾ,ˈsa,ˈsaɾ,2,2,,coçar,scratch,Biagui2012[106],
Casamancese,koˈba,kɐˈvaɾ,ko.ˈba,kɐ.ˈvaɾ,ko,kɐ,1,1,,cavar,dig,Biagui2012[13],
Casamancese,koˈba,kɐˈvaɾ,ko.ˈba,kɐ.ˈvaɾ,ˈba,ˈvaɾ,2,2,,cavar,dig,Biagui2012[13],
Casamancese,jeˈnda,ɐ̃ˈdaɾ,je.ˈnda,ɐ̃.ˈdaɾ,je,ɐ̃,1,1,,"andar, caminhar",walk,Biagui2012[13],
Casamancese,jeˈnda,ɐ̃ˈdaɾ,je.ˈnda,ɐ̃.ˈdaɾ,ˈnda,ˈdaɾ,2,2,,"andar, caminhar",walk,Biagui2012[13],
Casamancese,beŋ,vɐ̃j,beŋ,vɐ̃j,beŋ,vɐ̃j,1,1,,vem,come,Biagui2012[158],
Casamancese,foj,mẽˈtiɾ,foj,mẽ.ˈtiɾ,,,,,,mentir,lie,Biagui2012[157],Not portuguese origin
Casamancese,siˈnta,sẽˈtaɾ,si.ˈnta,sẽ.ˈtaɾ,si,sẽ,1,1,,sentar,sit,Biagui2012[202],
Casamancese,siˈnta,sẽˈtaɾ,si.ˈnta,sẽ.ˈtaɾ,ˈnta,ˈtaɾ,2,2,,sentar,sit,Biagui2012[202],
Casamancese,labaˈnta,ɫɨvɐ̃ˈtaɾ,la.ba.ˈnta,ɫɨ.vɐ̃.ˈtaɾ,la,ɫɨ,1,1,,levantar,stand,Biagui2012[202],
Casamancese,labaˈnta,ɫɨvɐ̃ˈtaɾ,la.ba.ˈnta,ɫɨ.vɐ̃.ˈtaɾ,ba,vɐ̃,2,2,,levantar,stand,Biagui2012[202],
Casamancese,labaˈnta,ɫɨvɐ̃ˈtaɾ,la.ba.ˈnta,ɫɨ.vɐ̃.ˈtaɾ,ˈnta,ˈtaɾ,3,3,,levantar,stand,Biagui2012[202],
Casamancese,kaj,kɐˈiɾ,kaj,kɐ.ˈiɾ,kaj,kɐ,1,1,,cair,fall,Biagui2012[157],
Casamancese,kaj,kɐˈiɾ,kaj,kɐ.ˈiɾ,-,ˈiɾ,-,2,,cair,fall,Biagui2012[157],
Casamancese,ˈda,ˈdaɾ,ˈda,ˈdaɾ,ˈda,ˈdaɾ,1,1,,"dar, entregar",give,Biagui2012[77],
Casamancese,mperˈta,ɐpɨɾˈtaɾ,mper.ˈta,ɐ.pɨɾ.ˈtaɾ,-,ɐ,-,1,,"apertar, comprimir",squeeze,Biagui2012[59],
Casamancese,mperˈta,ɐpɨɾˈtaɾ,mper.ˈta,ɐ.pɨɾ.ˈtaɾ,mper,pɨɾ,2,2,,"apertar, comprimir",squeeze,Biagui2012[59],
Casamancese,mperˈta,ɐpɨɾˈtaɾ,mper.ˈta,ɐ.pɨɾ.ˈtaɾ,ˈta,ˈtaɾ,3,3,,"apertar, comprimir",squeeze,Biagui2012[59],
Casamancese,ferˈga,ʃfɾɨˈgaɾ,fer.ˈga,ʃ.fɾɨ.ˈgaɾ,-,ʃ,1,1,,"esfregar, friccionar",rub,Biagui2012[33],
Casamancese,ferˈga,ʃfɾɨˈgaɾ,fer.ˈga,ʃ.fɾɨ.ˈgaɾ,fer,fɾɨ,2,2,,"esfregar, friccionar",rub,Biagui2012[33],
Casamancese,ferˈga,ʃfɾɨˈgaɾ,fer.ˈga,ʃ.fɾɨ.ˈgaɾ,ˈga,ˈgaɾ,3,3,,"esfregar, friccionar",rub,Biagui2012[33],
Casamancese,laˈba,ɫɐˈvaɾ,la.ˈba,ɫɐ.ˈvaɾ,la,ɫɐ,1,1,,lavar,wash,Biagui2012[96],
Casamancese,laˈba,ɫɐˈvaɾ,la.ˈba,ɫɐ.ˈvaɾ,ˈba,ˈvaɾ,2,2,,lavar,wash,Biagui2012[96],
Casamancese,piˈŋca,ẽpuˈʁaɾ,pi.ˈŋca,ẽ.pu.ˈʁaɾ,,,,,,empurrar,push,Biagui2012[28],Not portuguese origin
Casamancese,koˈse,kuˈzeɾ,ko.ˈse,ku.ˈzeɾ,ko,ku,1,1,,"coser, costurar",sew,Biagui2012[193],
Casamancese,koˈse,kuˈzeɾ,ko.ˈse,ku.ˈzeɾ,ˈse,ˈzeɾ,2,2,,"coser, costurar",sew,Biagui2012[193],
Casamancese,faˈla,fɐˈɫaɾ,fa.ˈla,fɐ.ˈɫaɾ,fa,fɐ,1,1,,"falar, dizer",say,Biagui2012[23],
Casamancese,faˈla,fɐˈɫaɾ,fa.ˈla,fɐ.ˈɫaɾ,ˈla,ˈɫaɾ,2,2,,"falar, dizer",say,Biagui2012[23],
Casamancese,kaˈnta,kɐ̃ˈtaɾ,ka.ˈnta,kɐ̃.ˈtaɾ,ka,kɐ̃,1,1,,cantar,sing,Biagui2012[100],
Casamancese,kaˈnta,kɐ̃ˈtaɾ,ka.ˈnta,kɐ̃.ˈtaɾ,ˈnta,ˈtaɾ,2,2,,cantar,sing,Biagui2012[100],
Casamancese,ɟuˈga,ʒuˈgaɾ,ɟu.ˈga,ʒu.ˈgaɾ,ɟu,ʒu,1,1,,"jogar, brincar, tocar",play,Biagui2012[111],
Casamancese,ɟuˈga,ʒuˈgaɾ,ɟu.ˈga,ʒu.ˈgaɾ,ˈga,ˈgaɾ,2,2,,"jogar, brincar, tocar",play,Biagui2012[111],
Casamancese,boˈja,bojˈaɾ,bo.ˈja,boj.ˈaɾ,bo,boj,1,1,,"boiar, flutuar",float,Biagui2012[75],
Casamancese,boˈja,bojˈaɾ,bo.ˈja,boj.ˈaɾ,ˈja,ˈaɾ,2,2,,"boiar, flutuar",float,Biagui2012[75],
Casamancese,ˈluŋa,ˈɫuɐ,ˈlu.ŋa,ˈɫu.ɐ,ˈlu,ˈɫu,1,1,,lua,moon,Biagui2012[34],
Casamancese,ˈluŋa,ˈɫuɐ,ˈlu.ŋa,ˈɫu.ɐ,ŋa,ɐ,2,2,,lua,moon,Biagui2012[34],
Casamancese,jagu,ˈagwɐ,ja.gu,ˈa.gwɐ,ja,ˈa,1,1,,água,water,Biagui2012[24],
Casamancese,jagu,ˈagwɐ,ja.gu,ˈa.gwɐ,gu,gwɐ,2,2,,água,water,Biagui2012[24],
Casamancese,laˈguwa,ɫɐˈgoɐ,la.ˈgu.wa,ɫɐ.ˈgo.ɐ,la,ɫɐ,1,1,,lagoa,lagoon,Biagui2012[30],
Casamancese,laˈguwa,ɫɐˈgoɐ,la.ˈgu.wa,ɫɐ.ˈgo.ɐ,ˈgu,ˈgo,2,2,,lagoa,lagoon,Biagui2012[30],
Casamancese,laˈguwa,ɫɐˈgoɐ,la.ˈgu.wa,ɫɐ.ˈgo.ɐ,wa,ɐ,3,3,,lagoa,lagoon,Biagui2012[30],
Casamancese,ˈnubis,ˈnuvɐ̃jʃ,ˈnu.bis,ˈnu.vɐ̃jʃ,ˈnu,ˈnu,1,1,,nuvens,clouds,Biagui2012[38],
